Gene = DOLPP1
index = 461
Annotated 5SS: [ 108 3669 4008 4207 4517 5168 5699]
Annotated 3SS: [3567 3922 4106 4417 5038 5608 7870]
SMsplice 5SS: [ 108 3669 4008 4207 4517 5699]
SMsplice 3SS: [3567 3922 4106 4417 5608 7870]
top_k =  1000
Partition function (log Z): 10.960953601889251

Sorted 5' Splice Sites (High to Low Probability):
Position 3669: 0.9921096530802579
Position 5699: 0.9536682652205237
Position 4008: 0.9267427676633598
Position 4517: 0.9253406351752108
Position 4207: 0.7869587989432679
Position 108: 0.5104866982112414
Position 5168: 0.4971424629743464
Position 27: 0.3937398284919373
Position 1570: 0.27804684380393413
Position 1870: 0.22989184438931745
Position 7044: 0.20376151959786348
Position 4325: 0.17061123914373308
Position 5901: 0.12305970666022628
Position 7211: 0.08331213630699898
Position 5905: 0.08181059117582387
Position 1915: 0.056628450361514725
Position 1020: 0.05565957634079868
Position 5133: 0.04797706332294766
Position 2647: 0.04634905330309767
Position 7034: 0.0443949669428638
Position 8062: 0.042104422380046684
Position 3785: 0.0375271489019402
Position 370: 0.03496220853165876
Position 5679: 0.03291953841536644
Position 5443: 0.031806842197669306
Position 6174: 0.02880533238661305
Position 7671: 0.02804837906722253
Position 4132: 0.021544214392997616
Position 7911: 0.01969857747822588
Position 8021: 0.019410248431050374
Position 5997: 0.018718612036254176
Position 5434: 0.018411590655718887
Position 3423: 0.016508105217325535
Position 7724: 0.01649950508576569
Position 2930: 0.016450246782850633
Position 2006: 0.01598279783057154
Position 961: 0.015823583744857914
Position 77: 0.014777887188449409
Position 5921: 0.013978694450036357
Position 833: 0.013372509439118132
Position 8365: 0.013164461350012615
Position 4223: 0.012358050992859377
Position 3216: 0.00977034599968618
Position 530: 0.009671563551492493
Position 1193: 0.009234957461773491
Position 5070: 0.008804338767873187
Position 6060: 0.00871670365863672
Position 4045: 0.008485914905267202
Position 8661: 0.00825532094878722
Position 4035: 0.00778527122027913
Position 2719: 0.007463838700991609
Position 8498: 0.0072762800884092
Position 759: 0.007118393417094609
Position 7747: 0.006767086842922742
Position 7021: 0.006293621732610636
Position 7071: 0.00536259066583561
Position 7258: 0.005075323717996665
Position 7915: 0.004751834014012183
Position 4787: 0.004540496949799138
Position 1404: 0.0043645598185996495
Position 2791: 0.004132747138362989
Position 2246: 0.0038914223227289398
Position 2678: 0.0035964939819533967
Position 1575: 0.003501207711045547
Position 4949: 0.003022756626561494
