Gene = SMC4
index = 1276
Annotated 5SS: [  446  1662  2790  3564  5201 12781 13150 14310 15214 17112 18653 20240
 21598 24347 24537 25716 26897 29639 31440 31902 32522 33212 33906]
Annotated 3SS: [ 1517  2610  3371  5023 12615 13021 14168 15062 16946 18418 20053 21435
 24120 24456 25562 26769 29448 31294 31727 32338 32978 33721 34352]
SMsplice 5SS: [  380  1662  2790  3564  5201 10941 12781 13150 17112 18653 24347 24595
 25716 26897 29639 31440 32522]
SMsplice 3SS: [ 1563  2685  3371  5023 10859 12615 13021 16946 18418 24120 24456 25562
 26769 29448 31294 32338 34352]
top_k =  1000
Partition function (log Z): 19.9843724921733

Sorted 5' Splice Sites (High to Low Probability):
Position 5201: 0.9861098349987624
Position 17112: 0.971996559945633
Position 26897: 0.9194193929628923
Position 1662: 0.9024100390374099
Position 24347: 0.8991144016135666
Position 2790: 0.8786806636225636
Position 32522: 0.8757349853929317
Position 3564: 0.8260098823283606
Position 31440: 0.7700142973067791
Position 13150: 0.732413822997355
Position 25716: 0.6754650040264698
Position 29639: 0.6550544205613922
Position 5568: 0.6155616385026178
Position 10941: 0.554858131197497
Position 14310: 0.5285821169112663
Position 18653: 0.5282932652788845
Position 380: 0.48682950807688197
Position 15214: 0.48262080424434745
Position 12781: 0.46404604624772205
Position 14995: 0.4575380887185981
Position 31902: 0.4420501361366572
Position 24537: 0.42886188249913226
Position 24595: 0.4241831515172509
Position 33906: 0.3571170582043686
Position 49: 0.32740157986676743
Position 4101: 0.3112927371389264
Position 394: 0.26369609963589835
Position 21598: 0.25680780933453007
Position 33212: 0.24048763367385995
Position 20240: 0.20329503354498077
Position 18455: 0.18711095620166776
Position 446: 0.1814566372676284
Position 12844: 0.17825934977491506
Position 7160: 0.16970015276198802
Position 12346: 0.1585548965761829
Position 2224: 0.14850916651061477
Position 24555: 0.13868695937814923
Position 29226: 0.13222710130521098
Position 26100: 0.1300702443856935
Position 14293: 0.12211609448924512
Position 2433: 0.11041890304277614
Position 3209: 0.09182971059090828
Position 15542: 0.09027232656510954
Position 18283: 0.08631459803826205
Position 12674: 0.07937370683235068
Position 24313: 0.07155974248129841
Position 13428: 0.06414263479475342
Position 18859: 0.06056261434115954
