Gene = URGCP-MRPS24
index = 1536
Annotated 5SS: [   28 19175 24683 24931 37282 37627]
Annotated 3SS: [19103 24631 24891 37212 37514 39606]
SMsplice 5SS: [   28  5729 19175 24734 37133 37282 37627]
SMsplice 3SS: [ 5662 19103 24631 36978 37212 37514 39606]
top_k =  1000
Partition function (log Z): -18.735319888119296

Sorted 5' Splice Sites (High to Low Probability):
Position 5729: 0.6871355562348032
Position 28: 0.5895365694925105
Position 24734: 0.48820010174516176
Position 24931: 0.4168486509760506
Position 11040: 0.3202103222182479
Position 279: 0.2746894833294189
Position 1218: 0.25431231293472994
Position 5927: 0.16064671055608445
Position 24794: 0.15890792146461852
Position 6528: 0.12463870753068648
Position 4041: 0.1035825992694617
Position 8425: 0.07957898171262696
Position 969: 0.07114733741322334
Position 4045: 0.06714194712816651
Position 440: 0.052525848395855085
Position 2463: 0.048229048150506805
Position 5733: 0.030546778119991024
Position 322: 0.02040643086455427
Position 8575: 0.015338873676147996
Position 5154: 0.01469432428124359
Position 4226: 0.014375642303701522
Position 9142: 0.013778512451079942
Position 8446: 0.011899624249871142
Position 1308: 0.007450334887405424
Position 8801: 0.007095527365345141
Position 5704: 0.00695066162425473
Position 1272: 0.006110300611057451
Position 116: 0.005724159258161327
Position 4722: 0.0050479459603070195
Position 4250: 0.004951764862390134
Position 1748: 0.003833902356830983
Position 4128: 0.0036904637455853597
Position 4187: 0.003296738567197591
Position 1472: 0.0029565705137879804
Position 374: 0.002534546124102015
Position 9612: 0.0018917070272841208
Position 1820: 0.0017744851885047436
Position 2899: 0.0016656488420095851
Position 6043: 0.0016064028906092084
Position 8452: 0.0014303335672097386
Position 4031: 0.001423574386173456
Position 10350: 0.0013472573506956977
Position 1934: 0.0013251201857818703
Position 4238: 0.0010671064862915335
Position 983: 0.0008824473552901552
Position 273: 0.0008177450923753653
Position 585: 0.0006794736439033399
Position 5845: 0.0006698137704672152
Position 11174: 0.0004929520590532769
Position 858: 0.0004711248979174203
Position 7968: 0.0003323734025949688
Position 617: 0.00029068452017391353
Position 11176: 0.00020356315760112635
Position 6047: 0.00016387896527544232
Position 751: 0.00012990085115960941
Position 1068: 0.00011715461000395198
Position 510: 0.00010922859034126642
Position 1882: 9.038832723919711e-05
Position 1265: 6.525649778007283e-05
Position 3027: 6.218809360212029e-05
Position 6967: 6.0219010753945356e-05
Position 989: 5.68593604888816e-05
Position 380: 5.2735875687000305e-05
Position 971: 5.2723447111388084e-05
Position 521: 4.9866829887409376e-05
Position 1444: 4.897906010825115e-05
Position 1814: 4.438829695487192e-05
Position 703: 4.296675268375408e-05
Position 10998: 4.0586770954488936e-05
Position 1003: 3.60787779995763e-05
Position 4027: 3.322590428569267e-05
Position 707: 3.2654696981541325e-05
Position 219: 2.8806351665090103e-05
Position 255: 1.4599289212551518e-05
Position 456: 1.1091384417529594e-05
Position 975: 8.248522431041796e-06
Position 668: 7.297600199201252e-06
Position 7672: 2.678908573686011e-06
Position 8787: 2.3432474874029927e-06
Position 1480: 2.2987165250216466e-06
Position 912: 1.813912134244746e-06
Position 1437: 1.667799712258359e-06
Position 930: 1.4846495693363389e-06
Position 794: 1.3528682961203822e-06
Position 1081: 1.3030902697327572e-06
Position 1415: 1.121982372377377e-06
Position 870: 1.0671657313676212e-06
Position 4193: 8.924476593724312e-07
Position 473: 6.365444233319404e-07
Position 1519: 6.19689673067595e-07
Position 32: 4.780223503689543e-07
Position 1086: 4.2410279091060267e-07
