Gene = NASP
index = 912
Annotated 5SS: [  146  7211 18306 20957 22532 24278 29189 30122 30307 31142 31412 32334
 32644 33532]
Annotated 3SS: [ 7162 18194 20875 22421 23260 29108 30035 30232 30952 31244 32276 32565
 33402 34000]
SMsplice 5SS: [  146  7211 18306 20957 22532 29189 30122 30307 31142 32334 32644 33532]
SMsplice 3SS: [ 7108 18194 20875 22421 29108 30035 30232 30952 32276 32565 33402 34000]
top_k =  1000
Partition function (log Z): 7.039825337059

Sorted 5' Splice Sites (High to Low Probability):
Position 7211: 0.9997798016022371
Position 22532: 0.9709491423418206
Position 29189: 0.9706650865965153
Position 20957: 0.9656614246855657
Position 146: 0.9391377207450892
Position 31142: 0.8112128353562625
Position 32644: 0.789557984042247
Position 30122: 0.6940075084534058
Position 18306: 0.6730186564944729
Position 33532: 0.5721449482024711
Position 32334: 0.5680009102543818
Position 31412: 0.44278638761561123
Position 30307: 0.39880308011488685
Position 7024: 0.23294990973494803
Position 621: 0.23166346156778192
Position 7028: 0.14448974112168306
Position 6990: 0.13934144827625242
Position 403: 0.12635580518189887
Position 16020: 0.11375805137350606
Position 615: 0.0848333151404382
Position 332: 0.08170807453376937
Position 23647: 0.08094750035351243
Position 31071: 0.08067161255652233
Position 658: 0.0771864092669634
Position 25233: 0.07199785440908582
Position 22020: 0.058333046960765474
Position 28093: 0.05269502000003559
Position 30291: 0.04972003920211264
Position 31167: 0.044462753924025204
Position 33466: 0.04273218381863448
Position 30474: 0.04058651467049697
Position 30470: 0.03844071554720105
Position 25555: 0.03744309317159994
Position 30406: 0.03363094336650576
Position 1790: 0.030239363016768085
Position 6994: 0.02945585138076115
Position 23627: 0.02764568943388598
Position 22507: 0.02676808482426878
Position 1150: 0.024603057366690474
Position 26683: 0.024405102543579135
Position 22739: 0.024156983412629708
Position 19857: 0.022105481647926827
Position 1734: 0.021514020320169372
Position 31083: 0.02079613372284306
Position 23075: 0.020232337482510753
Position 34517: 0.020156357124416668
Position 2610: 0.01849225443975646
Position 33539: 0.017995694730208293
Position 33508: 0.01736958360077167
Position 19083: 0.017076567590258152
Position 20454: 0.016140632105988005
Position 31371: 0.016127962237096144
Position 20550: 0.015365060505002873
Position 24441: 0.01525587767444304
Position 32346: 0.014399299192881637
Position 32049: 0.013971181618875984
Position 16398: 0.013446207984038427
Position 34179: 0.012439029748136475
