Gene = NAIF1
index = 909
Annotated 5SS: [731]
Annotated 3SS: [3420]
SMsplice 5SS: [731]
SMsplice 3SS: [5494]
top_k =  1000
Partition function (log Z): -8.516735046488517

Sorted 5' Splice Sites (High to Low Probability):
Position 731: 0.4735128657556317
Position 131: 0.1766562630902955
Position 475: 0.16162036226966991
Position 454: 0.1500416378437424
Position 497: 0.13688175971047034
Position 3948: 0.13685354352421755
Position 127: 0.13021681526659418
Position 1175: 0.041296285151787446
Position 334: 0.03366310147491269
Position 1607: 0.025854190864861144
Position 1714: 0.020460409532731406
Position 313: 0.014953570351908663
Position 1124: 0.010669316087459456
Position 466: 0.007648116539453198
Position 2537: 0.007512340951992913
Position 1033: 0.006962606449301887
Position 2054: 0.005495426921816077
Position 4700: 0.005185088118476273
Position 3890: 0.004984683167626889
Position 120: 0.004937190914564758
Position 3855: 0.004773532589859605
Position 353: 0.004214979364485757
Position 5564: 0.003863632721943056
Position 1820: 0.0035930958792024788
Position 1956: 0.0032773657853341427
Position 32: 0.0024245547741307354
Position 3542: 0.002192019908788793
Position 421: 0.0016319226392328661
Position 3013: 0.0016261663273870414
Position 5725: 0.0015979955264912723
Position 5560: 0.0014160844024257455
Position 1974: 0.001407925912076229
Position 3771: 0.0013603602213532588
Position 5589: 0.0012378199993667983
Position 4633: 0.001201414941882733
Position 4607: 0.0011428122327871762
Position 3952: 0.0010126778460284914
Position 3033: 0.0009732483615524073
Position 1739: 0.0008815046032016794
Position 2006: 0.0008040032403259538
Position 4704: 0.000702352645934114
Position 5786: 0.000490695877783414
Position 2640: 0.0003353982552715137
Position 3627: 0.00033151598415384907
Position 715: 0.0003008254584590162
Position 1640: 0.0002884975344179984
Position 4548: 0.00026317930106637484
Position 3902: 0.0002627535184121396
Position 268: 7.301643164907893e-05
Position 826: 7.105047387765763e-05
Position 382: 4.782230345264234e-05
Position 59: 4.489354098693012e-05
Position 805: 4.3891426332957704e-05
Position 611: 3.5680484941956224e-05
Position 71: 2.8243805164543664e-05
Position 435: 1.9129717899893354e-05
Position 86: 1.8480378319488237e-05
Position 916: 1.43170799013758e-05
Position 1660: 1.2810616411119424e-05
Position 2230: 1.1655554472352739e-05
Position 494: 9.750873732842226e-06
Position 2164: 9.34676752987338e-06
Position 819: 6.843623193770427e-06
Position 3384: 6.3810200459630334e-06
Position 969: 5.152589470371711e-06
Position 735: 2.0471292325741977e-06
Position 766: 1.7975175091782683e-06
Position 1624: 9.659462170454494e-07
Position 3157: 3.9854632939950405e-07
Position 577: 3.984877287551809e-07
Position 2581: 2.2927484316968845e-07
Position 432: 2.240145398601593e-07
Position 1029: 1.2081662299262237e-07
Position 1067: 1.0605474719339909e-07
Position 280: 5.154017857924257e-09
Position 226: 2.23873426924181e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5494: 0.5723481596583962
Position 5532: 0.11901563093069908
Position 5686: 0.114147443837192
Position 3812: 0.110342599777685
Position 259: 0.07053648707202236
Position 3325: 0.06446876454585376
Position 1044: 0.05480325646899664
Position 232: 0.049013146186509544
Position 202: 0.04611566463333687
Position 3504: 0.034072254460086084
Position 4618: 0.031817456082283285
Position 407: 0.030558056345416293
Position 574: 0.028656728094263378
Position 1521: 0.02742664235083157
Position 1558: 0.020758810922220858
Position 3770: 0.016645368804553536
Position 647: 0.016559778643847233
Position 3854: 0.014617821222813309
Position 1871: 0.012939800819111296
Position 2378: 0.011010152429430176
Position 633: 0.010326441803627772
Position 4583: 0.009655864377854824
Position 5572: 0.009548401076175606
Position 4456: 0.008263932209612065
Position 656: 0.008017217423428237
Position 703: 0.007959809982597923
Position 3420: 0.007845423587990992
Position 912: 0.007457857880100219
Position 237: 0.00711337056520067
Position 586: 0.006706272449991137
Position 580: 0.0059394362250848876
Position 664: 0.005872256148123299
Position 1760: 0.005338427409799664
Position 2896: 0.005007008027281397
Position 3361: 0.004369877245104357
Position 547: 0.004168119355569124
Position 1154: 0.003642214374301981
Position 4781: 0.0030488131925331145
Position 3380: 0.0030351122387133576
Position 1446: 0.0019976900408542183
Position 1056: 0.0019600403455309564
Position 273: 0.0018077243602019589
