Gene = L1TD1
index = 756
Annotated 5SS: [   91  1698 12806]
Annotated 3SS: [ 1603 11687 14951]
SMsplice 5SS: [   91  1698 12806]
SMsplice 3SS: [ 1603 12680 14951]
top_k =  1000
Partition function (log Z): -6.394294921814609

Sorted 5' Splice Sites (High to Low Probability):
Position 1698: 0.9798473303257897
Position 12806: 0.6659877738085749
Position 2041: 0.27086921022286964
Position 91: 0.25593207566358456
Position 171: 0.24023789144781885
Position 15417: 0.21203790533165912
Position 131: 0.14854939374237147
Position 371: 0.10145773658695076
Position 386: 0.10038386904168138
Position 211: 0.06994217806281225
Position 16708: 0.04554166986955579
Position 251: 0.038377801409797956
Position 426: 0.026430789117920107
Position 6241: 0.016305863932782716
Position 13515: 0.016243960747969157
Position 445: 0.013776018713380394
Position 1737: 0.01229953919257714
Position 15212: 0.010117308855167423
Position 291: 0.009828123085665141
Position 8727: 0.00718583906110721
Position 2269: 0.0069360266436350425
Position 1065: 0.005299179776838015
Position 5620: 0.0045624712432105275
Position 13157: 0.004344556910465189
Position 2817: 0.0042340083277809535
Position 13961: 0.0038427031249630853
Position 9851: 0.0037912211855284867
Position 1721: 0.0037540088339210608
Position 1668: 0.003458627959963589
Position 14670: 0.0030524134768967733
Position 2867: 0.0029934830638046837
Position 13926: 0.0028130082390610484
Position 9175: 0.0026909589810927845
Position 12065: 0.0022771457102103076
Position 1997: 0.002156851205741664
Position 2070: 0.002144519365221346
Position 11915: 0.0018864502337241748
Position 6841: 0.0017073649642895543
Position 2835: 0.0015749392845321845
Position 430: 0.0015461803019363243
Position 13178: 0.0015369819655112452
Position 402: 0.0015218990017419921
Position 3524: 0.0014969206771520648
Position 9451: 0.0013240431739889407
Position 13364: 0.0013013448733146513
Position 11807: 0.0009796972171494775
Position 12977: 0.0008176377933815666
Position 3740: 0.0008093893748033529
Position 6706: 0.0007381164901750885
Position 5223: 0.000694874858391104
Position 5269: 0.0006772005705440116
Position 3589: 0.0006703985340023486
Position 13117: 0.0006254749184719816
Position 4936: 0.0005952764573750859
Position 390: 0.00048337519136545183
Position 1477: 0.00046022299989816257
Position 310: 0.00042928102438666223
Position 106: 0.0003364934308110263
Position 155: 0.00025805617294841763
Position 995: 0.00024216457729207822
Position 195: 0.00020577015983384942
Position 5862: 0.0001888085750616447
Position 710: 0.00017507219499675485
Position 1148: 0.00012077451769186252
Position 315: 0.00012003048292109237
Position 1479: 0.00010492393229975028
Position 600: 9.48894314516869e-05
Position 1702: 7.41951164213889e-05
Position 1513: 7.250192350330291e-05
Position 1423: 6.152914331454076e-05
Position 5844: 5.904419051210511e-05
Position 5959: 5.739421291092023e-05
Position 562: 5.715867481704753e-05
Position 235: 5.605456600043846e-05
Position 275: 5.4076067076751565e-05
Position 3406: 3.233715834786129e-05
Position 150: 2.5699757372146107e-05
Position 1256: 2.4497070728814186e-05
Position 322: 1.9410010480572765e-05
Position 1889: 1.8153048073514767e-05
Position 3029: 1.7611172183303807e-05
Position 497: 1.73263761182602e-05
Position 5254: 1.607195932677442e-05
Position 190: 1.587954587790657e-05
Position 362: 1.459687025993696e-05
Position 1543: 1.0923784279830898e-05
Position 2024: 1.0202362222295064e-05
Position 751: 9.951111533547074e-06
Position 1705: 9.7136951371483e-06
Position 5645: 7.909740437645855e-06
Position 3172: 6.8817205791272e-06
Position 2342: 6.332079022554698e-06
Position 2237: 5.826692499062239e-06
Position 3569: 5.591880592611108e-06
Position 798: 5.452512064058655e-06
Position 3483: 5.28457387503648e-06
Position 5285: 4.8842438898655415e-06
Position 6646: 4.626104145121831e-06
Position 6334: 2.932738186358822e-06
Position 2279: 2.812094899605555e-06
Position 1857: 2.6527121372012647e-06
Position 2498: 1.2637660531351111e-06
Position 2539: 1.0664410653383347e-06
Position 1710: 8.820624470177162e-07
Position 2104: 5.916946473785883e-07
Position 1743: 4.885083566652884e-07
Position 202: 1.925714366362108e-07
Position 1741: 1.6897716779766486e-07
Position 1649: 1.1620696960791818e-07
Position 1943: 7.926708562091552e-08
Position 603: 6.980783151075326e-08
Position 220: 3.2703694256417256e-08
Position 857: 2.820758539893629e-08
Position 586: 2.5014711844952184e-08
Position 340: 2.4251020102484852e-08
Position 50: 1.5395653032051938e-08
Position 785: 9.73095232860195e-09
Position 19: 7.451713757156995e-09
Position 782: 3.2493565551639332e-09
Position 242: 2.6150823415662637e-09
Position 122: 1.052782433150408e-09
Position 62: 1.0189911090605844e-09
Position 570: 9.525507744188246e-10
Position 260: 7.511366286590994e-10
Position 300: 7.215340828895762e-10
Position 270: 5.758859317589638e-10
Position 1201: 5.675099948282321e-10
Position 434: 4.710780248206679e-10
Position 230: 3.927008438093337e-10
Position 26: 1.6949048692024708e-10
Position 1142: 1.2661745756057241e-10
Position 458: 1.146750125558266e-11
Position 65: 1.4295019860091813e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1603: 0.9541378565564275
Position 12680: 0.6661981339730318
Position 14951: 0.6012795831537272
Position 16582: 0.2806952845460838
Position 1806: 0.21204828661308628
Position 15363: 0.13173390683478187
Position 13267: 0.059079441827837684
Position 1781: 0.05171522172483994
Position 15687: 0.040140650135833573
Position 16886: 0.02175526965948602
Position 16821: 0.019608617587273107
Position 12926: 0.017018672174022136
Position 6118: 0.016244232703130045
Position 12901: 0.014611653600628818
Position 11687: 0.012334774076590905
Position 1529: 0.012016169546666726
Position 1410: 0.01009160806729553
Position 15524: 0.009555104810457323
Position 8615: 0.009326479592001646
Position 282: 0.00911193251134442
Position 1943: 0.006641369358004797
Position 6146: 0.006543349961476271
Position 1493: 0.006383169370091233
Position 13743: 0.006327152264799903
Position 1946: 0.006226544261044505
Position 15027: 0.0061197978563778165
Position 9757: 0.005739563473279046
Position 5390: 0.005704375819468921
Position 2759: 0.005614960603216443
Position 1441: 0.005360468414026515
Position 2713: 0.005260117200002738
Position 1297: 0.004768486349283769
Position 6779: 0.004276060958851478
Position 959: 0.004169841352056833
Position 9956: 0.00415431347701421
Position 16059: 0.004041001044082166
Position 14598: 0.004038615926634242
Position 14238: 0.0037409018273969457
Position 7869: 0.0035171367803477137
Position 15864: 0.0034510542659238457
Position 13314: 0.003358845416533476
Position 2138: 0.0031162136684669338
Position 16134: 0.00310270690632306
Position 13832: 0.003079998746092749
Position 17227: 0.002919265296313419
Position 1353: 0.0028910103561522304
Position 1787: 0.0028625597626577154
Position 2161: 0.0024321741906393112
Position 16246: 0.0023709223676465756
Position 13423: 0.0023040322985713097
Position 5195: 0.0022523166637420594
Position 1542: 0.0020427965678258705
Position 9338: 0.0019395673091083575
Position 15030: 0.0017898680641890135
Position 255: 0.0016194948709227332
Position 17323: 0.0012585173264832456
Position 7774: 0.001211906885795658
Position 1971: 0.0011578339867569273
Position 6499: 0.0011423731480881055
Position 5766: 0.001127095951966252
Position 3371: 0.0010143519897172835
Position 7898: 0.0009946757456119372
Position 9079: 0.0009914673623663648
Position 12907: 0.000985592849314583
Position 9076: 0.0009643929171668311
Position 15711: 0.0009336097258917955
Position 2178: 0.000932119894001784
Position 11817: 0.0008852301942586913
Position 15623: 0.0007988203819647666
Position 5911: 0.0007782729590846125
Position 7732: 0.0006717176411681837
Position 3275: 0.0006687249140845708
Position 15741: 0.0006193069072445068
Position 3659: 0.0005950844243073979
Position 1611: 0.0005657188601917023
Position 4783: 0.0005389937448754249
Position 8936: 0.000535074703941173
Position 8611: 0.0005010027919601306
Position 10040: 0.0004700071580076696
Position 1464: 0.00046906454495951024
Position 6964: 0.0004295905385020077
Position 11368: 0.0004008650710511842
Position 10250: 0.00038217912851383273
Position 14637: 0.0003691160661905565
Position 295: 0.00036642146936143857
Position 7770: 0.0003607496842770869
Position 9481: 0.00034789312030473335
Position 4744: 0.000336665799982808
Position 1996: 0.00031169983727724875
Position 1374: 0.0002883818626932126
Position 4254: 0.00028372092938636566
Position 4418: 0.00028040522960831485
Position 12976: 0.00027603818704443185
Position 1617: 0.00027350863841785786
Position 3396: 0.0002575462034712811
Position 8347: 0.0002497464180922439
Position 3388: 0.00024390981041876167
Position 5521: 0.00023880558627369436
Position 12875: 0.0002375409643191008
Position 2114: 0.00023688507706434448
Position 13116: 0.00023443572343934005
Position 9105: 0.00022866900897373652
Position 3349: 0.00022031496089908048
Position 1948: 0.00021375603831529753
Position 9783: 0.00021362462366129195
Position 9015: 0.0002105501929441748
Position 2227: 0.00020942926506361
Position 265: 0.00020721015380633235
Position 11085: 0.0002055379627899458
Position 10695: 0.0001984755142117739
Position 7530: 0.00019546487079305508
Position 1328: 0.00018949059066286934
Position 6479: 0.00018339212887293164
Position 11758: 0.00017425666135156544
Position 13283: 0.00016973481450583149
Position 1662: 0.0001654316686108004
Position 5524: 0.0001549492558819039
Position 6579: 0.0001532130104531137
Position 2024: 0.00014931974268249452
Position 11722: 0.00014200524327480441
Position 674: 0.0001377292554514556
Position 4031: 0.00013577616326717747
Position 1508: 0.00013569770434855935
Position 1622: 0.00013187698138106068
Position 8509: 0.00012635538466238856
Position 7865: 0.00012483775387670567
Position 11400: 0.00012112238835879702
Position 7588: 0.00011997148110003808
Position 8768: 0.00011805346932760224
Position 1649: 0.00011445774862199888
Position 10784: 0.00011118971283480931
Position 215: 0.00010909345067419688
Position 1371: 0.00010619044587864901
Position 12283: 0.00010467878324398306
Position 7221: 0.0001030274661799748
Position 11703: 9.800829345056277e-05
Position 6799: 9.538102171780823e-05
Position 7068: 9.11095473277346e-05
Position 8572: 8.902418791598612e-05
Position 5781: 8.745339510536778e-05
Position 3633: 8.398801010778606e-05
Position 10995: 8.36430042519593e-05
Position 11239: 7.803064606520097e-05
Position 8678: 7.67962727611239e-05
Position 2175: 7.586066205577202e-05
Position 291: 7.241948881863475e-05
Position 1880: 7.099828268765131e-05
Position 3630: 6.83111603151716e-05
Position 335: 6.809999684763046e-05
Position 9157: 6.0844994823073165e-05
Position 5365: 6.045148369299719e-05
Position 9433: 5.9180181908320187e-05
Position 10272: 5.3815657103154135e-05
Position 10623: 5.257180326984702e-05
Position 4553: 5.187781501678517e-05
Position 2774: 5.180185474432443e-05
Position 3716: 5.152443611805093e-05
Position 3668: 4.977054230263388e-05
Position 9988: 4.869931943267939e-05
Position 4125: 4.8395475743859644e-05
Position 2689: 4.706607712689073e-05
Position 2681: 4.020668979820705e-05
Position 9642: 3.8962921097496924e-05
Position 2148: 3.679655373320421e-05
Position 9834: 3.5021614648214326e-05
Position 6279: 3.498170857499863e-05
Position 4051: 3.4497036554920636e-05
Position 8640: 3.2099520392423745e-05
Position 320: 3.192440765390543e-05
Position 6282: 3.1128905803322476e-05
Position 2306: 2.9012772841776343e-05
Position 5865: 2.898619451495059e-05
Position 9213: 2.8445971040885338e-05
Position 892: 2.802656189408581e-05
Position 7831: 2.78370108662295e-05
Position 5299: 2.7010975549953662e-05
Position 3970: 2.3682283783948934e-05
Position 3874: 2.3468277880763135e-05
Position 976: 2.342724599312113e-05
Position 931: 2.303391198079312e-05
Position 6934: 1.8896436622041412e-05
Position 7078: 1.888364807067173e-05
Position 6570: 1.6029721378720632e-05
Position 225: 1.5825314479641653e-05
Position 3017: 1.42003759352712e-05
Position 6124: 1.4145854731654958e-05
Position 305: 1.4085817435033123e-05
Position 410: 1.377174844897901e-05
Position 3721: 1.3623828721940577e-05
Position 5697: 1.3444290267167958e-05
Position 6193: 1.3411814442587382e-05
Position 5447: 1.3091099789868868e-05
Position 7122: 1.2566477623423304e-05
Position 6361: 1.1820308907916472e-05
Position 175: 1.1499360418103438e-05
Position 5051: 1.1463223257284054e-05
Position 3946: 1.1202630711519106e-05
Position 4996: 1.1131242506230038e-05
Position 375: 1.1070862273236629e-05
Position 1667: 1.095361421065393e-05
Position 807: 1.0486327533571441e-05
Position 2236: 9.128415090113164e-06
Position 2739: 8.216449811040815e-06
Position 6333: 7.850311029106199e-06
Position 3162: 7.839457198372749e-06
Position 856: 7.838982681526075e-06
Position 3846: 6.236398828612196e-06
Position 345: 5.81219965080913e-06
Position 2794: 5.586166338863337e-06
Position 4935: 4.5031763743969675e-06
Position 854: 4.233959913087883e-06
Position 308: 4.018161060099381e-06
Position 4370: 4.001356287231304e-06
