Gene = DR1
index = 470
Annotated 5SS: [ 978 8184]
Annotated 3SS: [ 8019 14604]
SMsplice 5SS: [ 978 3576 4114 8184]
SMsplice 3SS: [ 3495  4030  8019 12509]
top_k =  1000
Partition function (log Z): -8.008080175661416

Sorted 5' Splice Sites (High to Low Probability):
Position 8184: 0.9847975252979245
Position 978: 0.7990664096627541
Position 4114: 0.7660097940343124
Position 3576: 0.5744281924135279
Position 9555: 0.543482875635909
Position 1969: 0.502323577176128
Position 360: 0.3317133050908186
Position 13031: 0.222587013804457
Position 7890: 0.21991341236009337
Position 1252: 0.14397032252945
Position 8879: 0.1130695587541034
Position 9888: 0.09524876189430326
Position 2765: 0.08616975242713203
Position 1537: 0.06432787583186497
Position 17071: 0.06128940347195273
Position 4589: 0.05938150610812591
Position 1076: 0.056407415829179026
Position 11982: 0.032686931009239306
Position 753: 0.03254631477434398
Position 11978: 0.028680786055862578
Position 13751: 0.026326710466892278
Position 12582: 0.023818789278879662
Position 9168: 0.021776149871814844
Position 3664: 0.018763239219637483
Position 8348: 0.013109934102018418
Position 349: 0.012371564773166135
Position 8452: 0.012230795253587499
Position 459: 0.009787027216883072
Position 3627: 0.008624393986899992
Position 8865: 0.007539776349500652
Position 13079: 0.0073619183477149725
Position 10091: 0.006655472853302857
Position 3983: 0.006612348155781367
Position 1361: 0.003950874338426319
Position 265: 0.0036949166164316695
Position 1580: 0.0035755305968597478
Position 12807: 0.002919249433795072
Position 6551: 0.0028368525801120933
Position 13852: 0.0027993307130897097
Position 5885: 0.0018588066786586297
Position 14139: 0.0017170482612772473
Position 1010: 0.0015077593843513014
Position 7270: 0.0014188210809277428
Position 9602: 0.0013902906671626615
Position 12318: 0.0010657382079504985
Position 10524: 0.000985633058412821
Position 9182: 0.0009366647567296255
Position 13772: 0.0009095148908951202
Position 694: 0.0007931876779374412
Position 251: 0.000700695585015783
Position 8188: 0.0006568558688463808
Position 420: 0.0006085048141346537
Position 5474: 0.0006036396603821954
Position 6541: 0.000597944483495937
Position 234: 0.0005456638515476739
Position 10507: 0.0005208548849229766
Position 13358: 0.0004696437830932038
Position 6986: 0.00042770501852036586
Position 989: 0.00041890703715510857
Position 10132: 0.0004031939684419501
Position 10281: 0.0003870289780728469
Position 4649: 0.0003694807827018401
Position 1018: 0.00036533430809675545
Position 1180: 0.0003434167194844397
Position 1506: 0.00024196880748727484
Position 9959: 0.00022770656998837813
Position 11197: 0.00021275998350498698
Position 10249: 0.00021233054767209474
