Gene = TSPAN12
index = 1499
Annotated 5SS: [  538  1660 18331 19581 42629 47895 51809]
Annotated 3SS: [ 1523 18247 19444 42553 47786 51664 69459]
SMsplice 5SS: [  154   538  1660 14810 18331 18820 19581 19757 24016 35597 42629 45386
 47470 47895 51809]
SMsplice 3SS: [  368  1523 14604 18247 18731 19444 19649 23873 35504 42553 45228 47365
 47786 51664 69459]
top_k =  1000
Partition function (log Z): -20.01449742641746

Sorted 5' Splice Sites (High to Low Probability):
Position 538: 0.9321147210553609
Position 1660: 0.8146011676551861
Position 24016: 0.7681831037820359
Position 19581: 0.7332847606659382
Position 18331: 0.7302853141754805
Position 19757: 0.6978247696919166
Position 14810: 0.6777086212502677
Position 18820: 0.6046921695852903
Position 154: 0.48858990829239035
Position 124: 0.4319619322811084
Position 13243: 0.34047608216800335
Position 25919: 0.3136958104188477
Position 13987: 0.2936857877324331
Position 18494: 0.26395664191029955
Position 18606: 0.2591220051758838
Position 14207: 0.22344204923369987
Position 1664: 0.17259616834645972
Position 19551: 0.1325960785341659
Position 10141: 0.11943370322347954
Position 29813: 0.10974985051076956
Position 10103: 0.08540720201545678
Position 14795: 0.07547852835809557
Position 14726: 0.07312485533389239
Position 15862: 0.06591705403151762
Position 484: 0.06585924568860625
Position 16274: 0.06220654969328863
Position 12405: 0.05297252009211861
Position 302: 0.05212275001733895
Position 14203: 0.05164471406578249
Position 27091: 0.03809786611969223
Position 8791: 0.028812385838462105
Position 12871: 0.027869216444829717
Position 8942: 0.024328531728383763
Position 14801: 0.02412995259428599
Position 1319: 0.023771364214994022
Position 28502: 0.023313276265659613
Position 29673: 0.021785939626886488
Position 14022: 0.017656428560064635
Position 5549: 0.01719587001481273
Position 2682: 0.01405831094105885
Position 15720: 0.0133609113796685
Position 1335: 0.012848592891713272
Position 19175: 0.01210362345545552
Position 19532: 0.011879831205773898
Position 10867: 0.01182750260465263
Position 16318: 0.01176154637108534
Position 1686: 0.01173416828802846
Position 3038: 0.010517464634847148
Position 18553: 0.009687291017527872
Position 18558: 0.00835138119574617
Position 19120: 0.008099934079422742
Position 14156: 0.005311200017762961
Position 22140: 0.005255864287432944
Position 1037: 0.004943321426148711
Position 1272: 0.004243523101551243
Position 19206: 0.0034867151072221405
Position 1125: 0.0027763733951993
Position 15024: 0.0027148510287840497
Position 1029: 0.0023149651748045736
Position 15436: 0.0022413115504024477
Position 222: 0.00217886515153968
Position 16046: 0.0021773120766749223
Position 4025: 0.002165399730078448
Position 258: 0.002020255748050051
Position 1485: 0.0018831585208155515
Position 3542: 0.001671176537878686
Position 5657: 0.0009724347812947021
Position 1204: 0.0007397693159711059
Position 19983: 0.0007251762318814655
Position 6511: 0.0007048571438958634
Position 8771: 0.000675333042753743
Position 6568: 0.0006349179715758485
Position 9312: 0.0006328074114405005
Position 703: 0.0005505266812704439
Position 1195: 0.0005337040427149551
Position 19944: 0.0004508863663350302
Position 8138: 0.00042452178170052015
