Gene = VGLL4
index = 1548
Annotated 5SS: [  488 42092 79128 84593]
Annotated 3SS: [41901 78904 84468 85096]
SMsplice 5SS: [  195 10113 10808 20879 33669 36996 42092 46665 51862 67797 68009 73854
 75320 79128 84593]
SMsplice 3SS: [10006 10684 20713 33628 36883 41901 46550 51768 67666 67933 73591 75178
 78904 84468 85096]
top_k =  1000
Partition function (log Z): -31.941238764226696

Sorted 5' Splice Sites (High to Low Probability):
Position 10808: 0.8614380391106973
Position 10113: 0.8099930665900875
Position 20879: 0.7527641014461762
Position 195: 0.6347410527218608
Position 488: 0.6230616841257227
Position 23785: 0.6181603118883381
Position 24522: 0.5449160085423627
Position 11737: 0.5044114801750031
Position 17274: 0.4717407124576598
Position 17568: 0.32598555373308236
Position 24162: 0.2573714905768165
Position 20546: 0.2552828779739353
Position 29285: 0.2531524114414784
Position 27653: 0.23123829663097162
Position 33669: 0.2268467015658197
Position 5632: 0.21760969635666458
Position 217: 0.18121939107765525
Position 10117: 0.14871912397644796
Position 24372: 0.12173491506132957
Position 21189: 0.11146235861545371
Position 10380: 0.10919428065054253
Position 5279: 0.09593227332980406
Position 24169: 0.0885514735022766
Position 20954: 0.08513660608307295
Position 11134: 0.08284954616696487
Position 6510: 0.06873396127982345
Position 30692: 0.066406787150988
Position 23991: 0.05796666158693613
Position 7731: 0.04678376075732634
Position 21243: 0.04181769652958252
Position 5179: 0.03994124001222112
Position 23631: 0.03855355816279769
Position 4521: 0.03804424696781266
Position 9334: 0.0347150883069471
Position 6214: 0.0328883823423094
Position 24175: 0.03158957942497571
Position 24122: 0.03073089457668145
Position 27705: 0.03056461656580066
Position 2590: 0.028486504369075245
Position 20486: 0.02591656413126759
Position 24539: 0.024724995214272346
Position 21743: 0.02455062972075146
Position 20997: 0.02318367768552527
Position 4679: 0.02266128330577238
Position 5733: 0.021558074569442663
Position 20950: 0.021546557314702116
Position 11529: 0.021497458956399276
Position 25269: 0.020842403855972358
Position 24096: 0.02063232282206575
Position 5442: 0.019312252039270533
Position 1819: 0.017116180037510764
Position 4783: 0.01607202434133
Position 11191: 0.015908844423471197
Position 770: 0.01486356131236679
Position 47: 0.01365210574633494
Position 131: 0.012966054355418415
Position 21725: 0.011483948948839424
Position 4525: 0.009873012259030993
Position 21754: 0.009231495102064726
Position 5060: 0.008747837635659592
Position 5763: 0.008621272948489774
Position 29273: 0.007205780116801599
Position 3895: 0.0071341097027854405
Position 1208: 0.0066801938063597325
Position 4955: 0.006106714915789126
Position 29651: 0.006009071619283339
Position 958: 0.005317617105787757
Position 6306: 0.0050803639527707365
Position 20822: 0.004795118512687713
Position 24021: 0.004734106895889274
Position 10516: 0.004493531498064549
Position 21573: 0.004473798993609831
Position 5514: 0.004335664148129555
Position 8384: 0.0037369062920280683
Position 21159: 0.0028779821181268215
Position 11213: 0.0016441891113475016
Position 5809: 0.001533514384187667
Position 20872: 0.0009329374026891142
Position 21801: 0.0009062313228707007
Position 860: 0.0008219861303670396
Position 210: 0.0007926222888468931
Position 17764: 0.0006579207584056244
Position 24392: 0.0006504828310643823
Position 176: 0.00042884306565400967
Position 3309: 0.00028728864708629147
Position 628: 0.00020051235525342528
Position 20: 0.00019388236678698044
Position 623: 0.00010158623292233558
Position 1508: 7.576253807681535e-05
Position 10799: 5.7440424474848566e-05
Position 4560: 4.74173188277579e-05
Position 2933: 3.130181281399941e-05
Position 828: 2.7664583578773638e-05
Position 640: 2.664891833074199e-05
Position 4173: 2.5938166324144102e-05
Position 4312: 2.573814513135946e-05
Position 3557: 2.460565334925713e-05
Position 4747: 2.459855627164105e-05
Position 2482: 2.2324262021932907e-05
Position 2586: 2.081894038615144e-05
Position 4221: 1.7789973803557928e-05
Position 1975: 1.487904082091277e-05
Position 2581: 1.427712387105425e-05
Position 215: 8.475155694182882e-06
Position 4270: 6.613576483200785e-06
Position 716: 6.137192105928432e-06
Position 1385: 5.26874430474246e-06
Position 234: 4.872672117758081e-06
Position 187: 3.6486438878867374e-06
Position 309: 3.467018132858398e-06
Position 441: 2.9139649275683366e-06
Position 70: 2.0808556165249895e-06
Position 700: 1.3354005455336184e-06
Position 592: 1.239700950721776e-06
Position 644: 1.2152229134055778e-06
Position 494: 1.1204289974016634e-06
Position 304: 1.0332375681111274e-06
Position 91: 8.942821376342296e-07
Position 477: 8.591122611120073e-07
Position 553: 8.130217177320658e-07
Position 544: 6.915306109480255e-07
Position 11862: 6.142470153219865e-07
Position 834: 4.993638850596862e-07
Position 789: 3.868662302467147e-07
Position 695: 3.596900978006099e-07
Position 1326: 3.289565633029688e-07
Position 1246: 2.7238416239064325e-07
Position 670: 2.665317498371838e-07
Position 546: 2.3749221787915195e-07
Position 280: 1.4346879606127746e-07
Position 502: 1.2135791360023618e-07
Position 1017: 1.0342871401464778e-07
Position 384: 9.947127163116907e-08
Position 590: 5.998284380024269e-08
Position 151: 2.972162284008221e-08
Position 736: 2.6986474737008314e-08
Position 271: 2.2637923204140624e-08
Position 774: 1.7266849237184677e-08
Position 817: 1.3508267422386624e-08
