Gene = GAP43
index = 572
Annotated 5SS: [  396 53287]
Annotated 3SS: [52688 97469]
SMsplice 5SS: [  396  9728 13942 36599 51849 53287 70753 79634 92536 92843]
SMsplice 3SS: [ 9606 13823 36511 51772 53123 70546 79549 92422 92643 97469]
top_k =  1000
Partition function (log Z): -41.11176604112022

Sorted 5' Splice Sites (High to Low Probability):
Position 9728: 0.9230401901296987
Position 13942: 0.8794128840084097
Position 396: 0.87538023807822
Position 1544: 0.6248737936273502
Position 14463: 0.40660573519095555
Position 7989: 0.3476066266147611
Position 12389: 0.3411715546691442
Position 3868: 0.30188291750568846
Position 898: 0.1895106283290117
Position 15647: 0.1610002715267825
Position 13377: 0.15673524658538893
Position 16998: 0.1557327077159375
Position 19426: 0.14603059739726776
Position 20556: 0.12977337080949308
Position 13267: 0.12592981815520232
Position 8155: 0.10325528495722526
Position 2597: 0.09872018026031856
Position 7312: 0.09170474656009428
Position 21044: 0.07615793456691897
Position 22015: 0.05752943178637493
Position 2534: 0.04769087349558471
Position 1147: 0.029466966300150284
Position 4364: 0.025772119357632253
Position 7288: 0.022642807925726517
Position 1168: 0.02193089339151146
Position 11906: 0.01920918832852883
Position 6799: 0.016276712385359878
Position 523: 0.014093425160956335
Position 1514: 0.013234520421463768
Position 12651: 0.011876907010779932
Position 601: 0.010651754799394777
Position 20545: 0.009908409211175738
Position 208: 0.009773756002884028
Position 10710: 0.008554452130045891
Position 9761: 0.007782055943516242
Position 920: 0.007539408639214569
Position 3558: 0.007505995363632311
Position 159: 0.0063981769561735164
Position 8392: 0.005426874512187577
Position 2199: 0.005116550742719925
Position 1682: 0.00506256920319476
Position 7552: 0.004760398638141756
Position 3077: 0.004549356701885371
Position 20473: 0.004511985113422637
Position 7054: 0.0018366330958234894
Position 2159: 0.0017795333945037296
Position 268: 0.0014419643580498415
Position 1087: 0.0013600782686681544
Position 3351: 0.001359145865765606
Position 1552: 0.0012766527412648439
Position 214: 0.0012741944633047422
Position 20747: 0.0012233214803797341
Position 1797: 0.0010820498152435422
Position 1334: 0.0010522989147732573
Position 9651: 0.0010073762592652036
Position 12417: 0.0009437132247469557
Position 3419: 0.000843864661070945
Position 3315: 0.0008074337542336662
Position 2487: 0.0007523070690439683
Position 3178: 0.0006974870819498911
Position 1855: 0.0005494555591526516
Position 376: 0.0005406807036218346
Position 1804: 0.0005234030075128892
Position 18398: 0.0004682178158210774
Position 11376: 0.00042079387396437074
Position 1100: 0.0003814503318297322
Position 1253: 0.0003620125413751476
Position 3397: 0.00032638366289247157
Position 1210: 0.0002902148342454145
Position 1531: 0.00028118230279866206
Position 1248: 0.00027996290196515147
Position 2187: 0.00026552615585806255
Position 1556: 0.00023377246011408508
Position 10416: 0.00022969995737786303
Position 914: 0.0002196394157255225
Position 210: 0.00020039956816779843
Position 2444: 0.00018530355974274298
Position 291: 0.00015685548430518042
Position 3386: 0.0001362826627831985
Position 442: 0.00013456221723534445
Position 607: 0.0001283301821080287
Position 1499: 8.388234316074082e-05
Position 3073: 7.625146901366005e-05
Position 1548: 6.151581511556055e-05
Position 1977: 5.8910782923004744e-05
Position 694: 5.117637701719073e-05
Position 10051: 4.551830933308872e-05
Position 447: 3.609763850306801e-05
Position 3382: 3.0714087578783334e-05
Position 1577: 2.234295355163923e-05
Position 1397: 2.1891364121105085e-05
Position 1571: 1.7760362189640373e-05
Position 1425: 1.4878718998615705e-05
Position 2254: 1.3286617079511676e-05
Position 10082: 1.21894648600674e-05
Position 2493: 8.091340967903632e-06
Position 712: 7.845386711386e-06
Position 678: 7.5258244773862705e-06
Position 499: 6.6614676048424415e-06
Position 10331: 6.619732121526218e-06
Position 457: 4.4135549534228625e-06
Position 212: 2.468132732959887e-06
Position 371: 2.2381597051857847e-06
Position 3753: 2.228349788884033e-06
Position 425: 1.718746472702167e-06
Position 728: 1.5657181712870845e-06
Position 1583: 1.3627215716917041e-06
Position 189: 1.2253008551058058e-06
Position 575: 1.1882081545654807e-06
Position 934: 1.089420403176868e-06
Position 964: 6.321312502148537e-07
Position 533: 5.95753289950894e-07
Position 786: 5.581846188696585e-07
Position 812: 4.4943452650405467e-07
Position 1588: 3.824394827528993e-07
Position 1664: 3.300707190092597e-07
Position 685: 2.8302142238964466e-07
Position 658: 2.137425284897638e-07
Position 1550: 1.324288119383881e-07
Position 496: 9.787134725196925e-08
Position 428: 9.641736648254314e-08
Position 714: 7.292284695309453e-08
Position 702: 5.236213784440968e-08
Position 845: 1.4027411274489395e-08
Position 624: 7.532563887723765e-09
Position 177: 4.846488988881136e-09
Position 560: 2.844711049159706e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 9606: 0.9110290614177627
Position 13823: 0.8916432357701721
Position 1435: 0.48711981236012375
Position 12289: 0.2806524722689769
Position 25031: 0.27546662408360034
Position 20937: 0.2457044219733202
Position 14389: 0.23297904913796627
Position 3547: 0.22047304547741936
Position 19281: 0.21915410344139455
Position 13252: 0.20013738971840914
Position 7785: 0.18775410829103353
Position 20425: 0.18302412794159795
Position 15556: 0.14769522639623986
Position 21902: 0.14252582820824294
Position 7117: 0.11435672319702246
Position 14435: 0.10323057641244672
Position 8088: 0.09959655131907152
Position 7924: 0.09867562880723142
Position 13181: 0.09675484987078198
Position 1333: 0.08350206921191274
Position 16854: 0.07291391118031829
Position 18240: 0.06929720324171265
Position 14356: 0.06542739445453884
Position 12256: 0.06162221844542381
Position 21678: 0.05916797691659691
Position 16719: 0.05855040526220034
Position 3737: 0.05413884335133058
Position 2567: 0.04948250850380066
Position 20118: 0.03941391051660269
Position 658: 0.0365061950336637
Position 16955: 0.035022644872888975
Position 7871: 0.03484109387687638
Position 2380: 0.033011901451388936
Position 1374: 0.03136131430778779
Position 781: 0.030695808222509374
Position 7952: 0.029899524146843034
Position 24946: 0.029085808315198972
Position 784: 0.028126302555107147
Position 18486: 0.0279310454565843
Position 2416: 0.026849523598432422
Position 993: 0.02678858771023295
Position 3752: 0.026191810536732456
Position 1383: 0.02253725213160713
Position 2338: 0.021880244377375707
Position 9565: 0.021738377159163214
Position 6686: 0.018149146882234835
Position 4257: 0.015131576525995578
Position 10503: 0.014068920992156212
Position 15463: 0.01374447463914367
Position 805: 0.013538099621568345
Position 11744: 0.011278236941567935
Position 1060: 0.010241527279713808
Position 18502: 0.010215725831730518
Position 2317: 0.009760990207912669
Position 14322: 0.009239845444609724
Position 14736: 0.008563258997711504
Position 19541: 0.008542193673519929
Position 11831: 0.007930951386960884
Position 12564: 0.007176057789932744
Position 19890: 0.0064742432800466015
Position 21176: 0.006324082823830995
Position 8319: 0.005709681248515894
Position 3770: 0.005637894147514357
Position 2525: 0.0055234574301165
Position 975: 0.005413897627757034
Position 1456: 0.005119202032171281
Position 19723: 0.005084507117971797
Position 15313: 0.004944786116854614
Position 3294: 0.00485360354203641
Position 1270: 0.004740706859527747
Position 12509: 0.004598249165637863
Position 856: 0.0045799170012749985
Position 745: 0.004295625543788747
Position 4164: 0.0041395307543461955
Position 14453: 0.004114364529435858
Position 15283: 0.003850952831937498
Position 7419: 0.0037802576420356863
Position 998: 0.0036211147905571457
Position 16167: 0.0035739527995801673
Position 1676: 0.0035089226295558283
Position 516: 0.0034621308733084914
Position 4234: 0.003387303863276549
Position 16250: 0.0032687179092138713
Position 13074: 0.0030589833967874167
Position 1083: 0.003034732745535968
Position 2899: 0.002848306862901945
Position 2107: 0.0027597145011077186
Position 20733: 0.002711253129163564
Position 17157: 0.0025768079053546476
Position 14510: 0.0024187889079234433
Position 2015: 0.002353624830889261
Position 14903: 0.001858732745728374
Position 1986: 0.0016407710884847567
Position 19561: 0.001530529341291946
Position 4325: 0.0014976624855480374
Position 14988: 0.0013750280123503251
Position 3025: 0.001267074993507244
Position 995: 0.001257475511043163
Position 15109: 0.0012313562779999927
Position 14834: 0.0011102416844929561
Position 3964: 0.001094634502485037
Position 1214: 0.001081636803200118
Position 7425: 0.0009801409961060759
Position 3591: 0.0009669054265176464
Position 15633: 0.0009628298510610452
Position 1342: 0.0009426175491262721
Position 1636: 0.0008948078867210868
Position 1681: 0.0008590112947085615
Position 633: 0.0008543903573558807
Position 705: 0.0008003451901226213
Position 1068: 0.0007812297530951411
Position 3708: 0.0007000331030019124
Position 1167: 0.0006934643986467777
Position 2973: 0.0006454027647504936
Position 462: 0.0005929017914487519
Position 4206: 0.0005495000584223524
Position 1065: 0.0005435172193120715
Position 1037: 0.0005215578247047569
Position 1410: 0.0005194561781282958
Position 13462: 0.0005129320217421618
Position 11203: 0.0004936787597796361
Position 14049: 0.00039832372339578784
Position 2052: 0.00034745843478163645
Position 3271: 0.00034499255017558133
Position 692: 0.00034348190834617527
Position 2343: 0.0003138633587237813
Position 7693: 0.00028623243102846203
Position 812: 0.0002528626760999212
Position 2500: 0.0002524814408520521
Position 2970: 0.00021947498336892377
Position 10246: 0.0001661100361396818
Position 12485: 0.00013922540779955054
Position 1043: 0.0001347459461614935
Position 2384: 0.0001325048294836781
Position 1040: 0.00012026006422940314
Position 2468: 0.00011127157887502734
Position 669: 0.00010175156138996789
Position 11101: 9.121885645527364e-05
Position 1622: 8.718803763420911e-05
Position 10744: 8.591617138279172e-05
Position 2859: 7.699793693580734e-05
Position 1469: 7.44737985336168e-05
Position 2909: 7.285190387806124e-05
Position 10819: 7.247904652831574e-05
Position 10273: 7.020965335970738e-05
Position 1098: 6.772531169162929e-05
Position 2444: 6.473933418559926e-05
Position 2787: 6.471284054486112e-05
Position 599: 5.8969333482733734e-05
Position 2939: 5.7958982470469254e-05
Position 544: 5.2758241650675915e-05
Position 1116: 4.390329308897046e-05
Position 2121: 4.332584745764662e-05
Position 5357: 4.1741157355285945e-05
Position 1612: 3.986679178773334e-05
Position 5094: 3.812308956499381e-05
Position 677: 3.413310736166692e-05
Position 4926: 3.26552031795141e-05
Position 6057: 3.262784971967086e-05
Position 2476: 2.8981389096362175e-05
Position 791: 2.8615821851688788e-05
Position 9982: 2.498767021588186e-05
Position 934: 2.238743837022044e-05
Position 919: 2.2159354301982334e-05
Position 11560: 2.208636383203708e-05
Position 2423: 2.1538841658915532e-05
Position 385: 2.053739570221226e-05
Position 3438: 1.8830848178651365e-05
Position 3847: 1.6498908894168187e-05
Position 10578: 1.6170579304881124e-05
Position 10702: 1.5240423698267967e-05
Position 10664: 1.4785104032217792e-05
Position 2811: 1.4104020750669201e-05
Position 1227: 1.27385343775946e-05
Position 709: 1.0058911412776919e-05
Position 897: 8.41819761564966e-06
Position 1274: 8.188785959538194e-06
Position 5000: 6.079923655377157e-06
Position 1513: 6.051128119929032e-06
Position 310: 5.5605971698527826e-06
Position 1022: 5.29375315474466e-06
Position 889: 5.192215954268925e-06
Position 1466: 5.066733258773596e-06
Position 1726: 4.7083289764924145e-06
Position 1221: 4.588013252568116e-06
Position 1609: 4.557259264836862e-06
Position 1401: 4.475984695048961e-06
Position 1947: 3.708876457870052e-06
Position 9839: 3.644444834151678e-06
Position 283: 3.3686695251560022e-06
Position 323: 2.6246366976554026e-06
Position 228: 2.3552086269335223e-06
Position 1276: 2.2232824981311137e-06
Position 1294: 2.1852450868687845e-06
Position 314: 2.0080062140682594e-06
Position 268: 1.7257734554508655e-06
Position 5384: 1.72534148555193e-06
Position 4543: 1.2415312521714235e-06
Position 3925: 1.0730592131471454e-06
Position 1093: 1.026016003817587e-06
Position 753: 9.52378819541986e-07
Position 881: 9.264531123218288e-07
Position 2182: 6.19588201006028e-07
Position 224: 6.12909015994517e-07
Position 246: 4.225273838349467e-07
Position 2350: 2.538546146695019e-07
Position 2699: 2.3328060892473034e-07
Position 610: 1.8450767594522057e-07
Position 447: 1.750018078744573e-07
Position 1248: 1.671621158050509e-07
Position 395: 1.6557681203467584e-07
Position 722: 1.4444999850140588e-07
Position 1003: 1.2880728405097708e-07
Position 318: 9.869169821252103e-08
Position 290: 9.619879774832079e-08
Position 320: 7.932827027990813e-08
Position 296: 7.582165825243156e-08
Position 382: 7.193747932437252e-08
Position 264: 6.754961723072192e-08
Position 2358: 5.1777522874033455e-08
Position 222: 4.518567255079062e-08
Position 1289: 3.742743710374785e-08
Position 340: 2.1456258543404174e-08
Position 226: 1.9482337769651707e-08
Position 242: 1.2409693096118796e-08
Position 336: 1.1160315099120305e-08
Position 442: 8.360731357539886e-09
Position 276: 7.521085031459779e-09
Position 280: 6.65163135225858e-09
Position 288: 6.639034515240427e-09
Position 260: 6.254888889436904e-09
Position 232: 6.002378582731026e-09
Position 605: 5.8712821221725605e-09
Position 298: 5.6362764715389175e-09
Position 254: 4.154016197947795e-09
Position 244: 4.0159089916514035e-09
Position 316: 3.3388994018433455e-09
Position 347: 3.207789439549646e-09
Position 331: 2.4065468661381e-09
Position 1776: 2.2460243443171656e-09
Position 262: 2.0367381754534848e-09
Position 240: 1.775958798724888e-09
Position 399: 1.2124783566587148e-09
Position 328: 4.714680890056614e-10
Position 401: 3.6692663026878094e-10
Position 236: 3.1582075576576545e-10
Position 333: 2.1455388912846246e-10
Position 1096: 1.287855431898981e-10
Position 272: 1.2075293196445701e-10
Position 344: 1.19296562834561e-10
Position 359: 1.0133782413390254e-10
Position 352: 9.839472666704176e-11
Position 407: 2.551539937389601e-11
