Gene = ATPAF1
index = 116
Annotated 5SS: [  398  3199  9768 10328 14638 15874 23294 25261]
Annotated 3SS: [ 3089  9716 10264 14586 15825 23197 25152 32483]
SMsplice 5SS: [  398  3199  3476 14638 25261 32558]
SMsplice 3SS: [ 3089  3364 14586 25152 32483 34625]
top_k =  1000
Partition function (log Z): -3.4589651389525518

Sorted 5' Splice Sites (High to Low Probability):
Position 32558: 0.988411898088142
Position 398: 0.9808036053369735
Position 15893: 0.9534150995540424
Position 3199: 0.9518205494785172
Position 14638: 0.740574469941704
Position 4622: 0.551127768943355
Position 3476: 0.5203316135080462
Position 10328: 0.4705207886462019
Position 10430: 0.428854016149624
Position 23294: 0.36435770058006944
Position 2164: 0.34391669700131217
Position 9768: 0.28153988133440727
Position 34678: 0.2631634199693317
Position 15006: 0.25872704326546725
Position 3462: 0.22536581056257074
Position 3703: 0.21274353894712222
Position 1824: 0.1847799128164674
Position 34764: 0.16800094751937952
Position 2580: 0.16391827054640526
Position 23017: 0.14846826280981748
Position 9878: 0.12637370883607144
Position 2808: 0.09846453477627844
Position 3719: 0.09834060731006744
Position 32858: 0.09495325201426597
Position 10123: 0.08173767256628434
Position 1797: 0.07563920149933692
Position 14681: 0.07443772968549985
Position 10018: 0.06662650278166328
Position 4365: 0.0611048466365831
Position 34701: 0.05984937745038535
Position 14259: 0.05080139489049473
Position 1144: 0.045256164171801186
Position 13480: 0.043657278429584306
Position 35351: 0.04096241775907214
Position 13686: 0.040939818351723785
Position 2134: 0.03942719716245094
Position 4369: 0.037868866767459576
Position 6821: 0.03458621219203203
Position 4595: 0.03348739059434376
Position 9873: 0.028591647096536284
Position 14811: 0.027735795088422183
Position 11249: 0.027169755491398138
Position 6527: 0.026069272155120757
Position 3170: 0.023694241967872672
Position 15874: 0.021448080820675845
Position 2095: 0.019615387768228392
Position 3891: 0.01209901400931197
Position 923: 0.011515134658882643
Position 2447: 0.010732959242301535
Position 15152: 0.010230459811254963
Position 216: 0.009121692515445194
Position 35400: 0.008835651399455515
Position 186: 0.008558809235615666
Position 10924: 0.006683965436606619
Position 3465: 0.0056813529724774915
Position 8558: 0.004733123397406542
Position 6328: 0.004413805338092476
Position 2734: 0.004080058190764934
Position 9898: 0.0034837449472856306
Position 2584: 0.003325183119535789
Position 10523: 0.002818726909495056
Position 1152: 0.0024832177985417265
Position 3409: 0.0024466618177907957
Position 2766: 0.0022317277007552487
Position 3707: 0.0020692957657071423
Position 410: 0.001924865960632888
Position 1951: 0.0018674513802397188
Position 3398: 0.0012858536582558517
Position 5444: 0.0005763770031724621
Position 482: 0.0004652762641976963
Position 1107: 0.0004261727528704641
Position 941: 0.00039591357155544963
Position 644: 0.0003551308138014247
Position 160: 0.00034376621748021354
Position 209: 0.00032645078375229185
Position 4200: 0.0003004138631081614
Position 3864: 0.00028978227190550423
Position 3090: 0.0002818475394598034
Position 2716: 0.00024895004270847804
Position 2425: 0.00024264237097221004
Position 4379: 0.0002366186316850932
Position 3275: 0.00021843366800539856
Position 1454: 0.00021747095931960348
Position 1042: 0.00020818103536528534
Position 1535: 0.00016925972582807595
Position 1423: 0.00016778053430082575
Position 746: 0.00013110450908079648
Position 3439: 9.683530813366456e-05
Position 3291: 9.299405288356958e-05
Position 276: 8.712226875755081e-05
Position 3548: 8.462824522086269e-05
Position 2232: 7.90167627567321e-05
Position 193: 7.861052927376413e-05
Position 177: 6.083845700195135e-05
Position 16189: 3.984959663588522e-05
Position 2064: 3.8466616498684324e-05
