Gene = NADK
index = 907
Annotated 5SS: [  182 13243 16519 21290 21968 22213 23097 23927 24187 24420 24904]
Annotated 3SS: [13023 16434 21159 21861 22126 22993 23771 24086 24261 24820 25409]
SMsplice 5SS: [  182 13243 16519 21790 21968 22213 23927 24187 24420 24904]
SMsplice 3SS: [13023 16434 21691 21861 22126 23771 24086 24261 24820 27205]
top_k =  1000
Partition function (log Z): 11.89654888723678

Sorted 5' Splice Sites (High to Low Probability):
Position 24187: 0.9815304308669434
Position 24904: 0.9571746474578154
Position 182: 0.9270589223528023
Position 21968: 0.9173716148619889
Position 16519: 0.9144064116111537
Position 13243: 0.7887182504896453
Position 22213: 0.72172570151068
Position 24420: 0.6663691038135321
Position 23927: 0.6508979848628205
Position 21790: 0.5412025631205629
Position 26642: 0.4818260725983122
Position 23097: 0.41832473115509533
Position 19370: 0.32763046159431986
Position 7198: 0.32272099885131783
Position 23951: 0.2937041721726509
Position 16894: 0.23215285876330408
Position 19274: 0.2219372241580943
Position 16340: 0.21049858211406086
Position 26234: 0.14431845683932404
Position 22245: 0.13967208252888
Position 2796: 0.11918464625030144
Position 24609: 0.10146648729605412
Position 24451: 0.0958611543597934
Position 18737: 0.09403396539633219
Position 16580: 0.08491841023113385
Position 18994: 0.08068222048636946
Position 24447: 0.07882847383800903
Position 3057: 0.07689768908718483
Position 18998: 0.06792441034109334
Position 93: 0.06640207609645088
Position 23087: 0.057480692188714363
Position 14176: 0.056562397888103216
Position 22257: 0.053433291438774434
Position 13356: 0.04603894314383988
Position 2857: 0.042635972177666646
Position 24757: 0.03873082957117811
Position 25567: 0.036066156344814956
Position 27093: 0.034463626521276325
Position 14790: 0.031027784774696456
Position 19227: 0.025737711029249356
Position 18426: 0.02544256651342571
Position 24715: 0.023622423743064704
Position 27069: 0.021239879825465588
Position 1306: 0.01993967963263048
Position 23862: 0.01933268190903622
Position 4982: 0.019100546577493417
Position 19254: 0.01889682343588171
Position 21364: 0.01746830676199696
Position 16837: 0.016891937246246488
Position 18092: 0.015324641745340189
Position 13441: 0.015277037073482498
Position 6892: 0.014884951908461744
Position 22378: 0.014338502731857793
Position 14649: 0.013648311792742781
Position 22365: 0.012869552674992221
Position 14476: 0.012545021450200389
Position 22883: 0.012350428296455739
Position 14167: 0.011669516496884358
Position 18932: 0.01080171148095817
Position 6882: 0.0097059357335065
