Gene = SIL1
index = 1257
Annotated 5SS: [   130  70660  77364 147461 155779 171598 177228 246611 247228]
Annotated 3SS: [ 70544  77224 147351 155678 171405 177105 246513 247062 250924]
SMsplice 5SS: [   130   1958   5906  56207  62065  73039  77364  80236  80547  81308
  88042  96546 104375 104588 108096 147461 155779 163793 171598 177228
 179077 182925 246611 247228]
SMsplice 3SS: [  1771   5787  56089  61948  72933  77224  80213  80414  81202  87925
  96352 104249 104478 108003 147351 155664 163698 171405 177105 178940
 182741 246513 247062 250303]
top_k =  1000
Partition function (log Z): -111.04419100542074

Sorted 5' Splice Sites (High to Low Probability):
Position 5906: 0.8394711945021606
Position 130: 0.6479061760204717
Position 1958: 0.6316516644869389
Position 139: 0.33547134425300207
Position 15658: 0.11740121336138354
Position 1911: 0.08861133862294972
Position 9964: 0.056586891550369924
Position 8307: 0.05530912054873254
Position 1901: 0.051358540796400225
Position 11473: 0.04829979619862475
Position 668: 0.042441914345288836
Position 2524: 0.01662846368321823
Position 15793: 0.01327362435757598
Position 1772: 0.013176401346757668
Position 589: 0.011803278309042459
Position 7775: 0.007938195818272379
Position 6134: 0.007660665354624771
Position 281: 0.006234608093996266
Position 831: 0.005835901800224968
Position 11861: 0.00578207578952787
Position 11277: 0.005685951903076495
Position 13257: 0.005356813073577191
Position 7385: 0.004995824875476606
Position 1783: 0.004894793888191562
Position 3218: 0.004380912554248145
Position 911: 0.004008140446202105
Position 1421: 0.0030245059368880604
Position 7427: 0.0027711967424704155
Position 499: 0.0026907108829926636
Position 706: 0.002639065827141287
Position 7124: 0.0024345223042887263
Position 1208: 0.0018068190174008623
Position 14787: 0.0017692351321012198
Position 3173: 0.0016440280233870914
Position 1348: 0.0016032423898390436
Position 10296: 0.0014850874039299235
Position 13632: 0.001341030847115383
Position 1535: 0.0010328015968003698
Position 4659: 0.0009596176334637034
Position 4605: 0.0009504341149045612
Position 5811: 0.0008294990561372726
Position 6010: 0.0006878841204605062
Position 747: 0.0005455139804015533
Position 453: 0.0005207048260723668
Position 2042: 0.00048344066568561955
Position 5919: 0.0004051930703957828
Position 2040: 0.0002827689385187163
Position 578: 0.00018749161672182958
Position 8876: 0.00017018157671722285
Position 682: 0.00016870837872477008
Position 2860: 0.00016537914474893973
Position 2763: 0.00016170863030806978
Position 475: 0.00015416413282247942
Position 2811: 0.00014299252980087956
Position 3635: 0.00013813631260936138
Position 1512: 0.0001128815771480647
Position 1456: 9.770143009475672e-05
Position 829: 9.741979086396299e-05
Position 1458: 9.172361574993219e-05
Position 1460: 8.074976766450679e-05
Position 96: 6.714971071843886e-05
Position 90: 6.025747469530391e-05
Position 501: 5.920099407295746e-05
Position 1606: 4.678481985350195e-05
Position 795: 3.6205787167558434e-05
Position 1595: 3.599608148248046e-05
Position 259: 3.0807404025801176e-05
Position 1787: 3.0722393736500735e-05
Position 472: 2.8696658669861808e-05
Position 459: 2.8033411696848942e-05
Position 65: 2.2929067685994213e-05
Position 337: 2.274662454370276e-05
Position 1454: 1.571552251446798e-05
Position 515: 1.4258569637577682e-05
Position 1327: 1.2893828910796481e-05
Position 1304: 1.2453480059039186e-05
Position 35: 1.1817840140958915e-05
Position 1375: 1.1730810124264641e-05
Position 672: 1.1294334339720549e-05
Position 101: 1.0439069121085013e-05
Position 1021: 9.65512633124009e-06
Position 6054: 9.581745464936081e-06
Position 957: 7.531589330645787e-06
Position 7135: 7.4627351456093534e-06
Position 7131: 7.459605511407535e-06
Position 447: 6.734892992725327e-06
Position 1560: 5.041503330709214e-06
Position 7292: 4.495594271656832e-06
Position 694: 3.709697542788703e-06
Position 1824: 1.953863608786562e-06
Position 503: 8.991892414090984e-07
Position 1945: 8.910907853813874e-07
Position 99: 5.050319162305955e-07
Position 230: 3.786746886717705e-07
Position 1989: 2.1211518223619923e-07
Position 480: 1.937093975267331e-07
Position 257: 8.86718074257293e-08
Position 46: 6.563835005798714e-08
Position 482: 4.5277480991996306e-08
Position 275: 4.1554083636966506e-08
Position 526: 2.3100232164926976e-08
Position 1041: 2.0546399561730614e-08
Position 709: 1.2866398469644168e-08
Position 415: 8.831506528484253e-09
Position 1437: 6.600089308898213e-09
Position 623: 5.819274037498656e-09
Position 1087: 3.510852784774159e-09
Position 1026: 2.9704065298042307e-09
Position 427: 2.892652364459659e-09
Position 228: 2.8898951325856886e-09
Position 5: 1.0727499343083941e-09
Position 408: 4.189097525173164e-10
Position 544: 2.2374072385617133e-10
Position 374: 5.908257314742386e-11
Position 554: 1.393374065405749e-11
Position 595: 4.177931972952348e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 5787: 0.7170551350355532
Position 1771: 0.7026388102342609
Position 15740: 0.19505172710639485
Position 14691: 0.1602016065538607
Position 15461: 0.12123524233359513
Position 5717: 0.11336757313553603
Position 9817: 0.06473023618294757
Position 10061: 0.06371846186924543
Position 23924: 0.06299673776872367
Position 8136: 0.06185395862867199
Position 1869: 0.057255146490047225
Position 11344: 0.05688165284774773
Position 8584: 0.0419644935912461
Position 10175: 0.03859235573755617
Position 16070: 0.0382797265442983
Position 16680: 0.037448804425286794
Position 18044: 0.03666523792809546
Position 17695: 0.03032641833751248
Position 615: 0.024728338117418907
Position 16616: 0.021310116209324128
Position 1691: 0.020986535956860897
Position 5810: 0.020389802251081456
Position 13432: 0.01947840573001701
Position 7183: 0.01868020346259822
Position 14911: 0.0176594416770616
Position 7714: 0.016731647522499393
Position 15872: 0.01549786607117816
Position 9657: 0.012878734663477723
Position 441: 0.012174920453321044
Position 5994: 0.011225956894160186
Position 13712: 0.00932459308879712
Position 11183: 0.008974690809786239
Position 18019: 0.008712401280096567
Position 2380: 0.007729476016588058
Position 18741: 0.007328284559979829
Position 12954: 0.007047503752727868
Position 17549: 0.00689892872893811
Position 1157: 0.0067364571180226875
Position 8948: 0.006572294791135032
Position 15948: 0.006376518327766969
Position 11730: 0.006319279377816968
Position 2211: 0.006095253730620235
Position 10340: 0.005107123327427844
Position 415: 0.0049273525881006865
Position 8061: 0.004754013714191919
Position 14660: 0.00471139576729253
Position 333: 0.004669022082335264
Position 1927: 0.004510437453306269
Position 13169: 0.00450213847222351
Position 3116: 0.004468099056847116
Position 12610: 0.0044431040517955
Position 9485: 0.004438430058036486
Position 705: 0.004350893191515386
Position 6177: 0.0042519399116834325
Position 10908: 0.004089903987229945
Position 1643: 0.003960657656773345
Position 5732: 0.003840380195722534
Position 17504: 0.0036927790523513413
Position 228: 0.0034067388075250567
Position 2406: 0.003124381059369737
Position 13199: 0.0029395209421752924
Position 15217: 0.002837944106965144
Position 16959: 0.0028003582966094347
Position 8379: 0.002601628049765307
Position 1874: 0.002579772513448384
Position 8461: 0.002576642256557481
Position 7243: 0.002374852992554117
Position 5820: 0.0020815455299597234
Position 6862: 0.002047382444839873
Position 7620: 0.0020288722275167066
Position 225: 0.00196857480053932
Position 8654: 0.001870346683155619
Position 14197: 0.001857489374404339
Position 3726: 0.0018351524232874303
Position 9521: 0.0017697908695840248
Position 575: 0.001729560648434319
Position 362: 0.00167709494661912
Position 13892: 0.0016083582625468934
Position 466: 0.0015562994071632449
Position 12224: 0.001507648542593127
Position 7994: 0.0013920120019481053
Position 2386: 0.001381427141863211
Position 6997: 0.001350689173005939
Position 14626: 0.0012807021979629118
Position 10883: 0.001262460845202815
Position 14148: 0.0012619921830150868
Position 3087: 0.0012531063493242157
Position 9203: 0.0012220390773098222
Position 12563: 0.0011461222331314819
Position 9506: 0.0011239383530248538
Position 13751: 0.0010960622900483912
Position 7179: 0.0010560599317074365
Position 14271: 0.0010469617110468294
Position 4559: 0.0010439124468781661
Position 6400: 0.0010402158299523913
Position 12271: 0.0010219193686878362
Position 1132: 0.0009021167239711519
Position 5930: 0.0007872373836645494
Position 11976: 0.0007693615454601289
Position 10367: 0.0007094608141395626
Position 6201: 0.0007008059878774101
Position 1744: 0.0006897028185353128
Position 2555: 0.0006695894060370512
Position 5305: 0.0006477262544746414
Position 744: 0.0005912842281382668
Position 11497: 0.0005468750095268932
Position 7546: 0.0005405941247127302
Position 4562: 0.0005308018985589821
Position 9618: 0.0005176831757317514
Position 12148: 0.0005120863992841761
Position 10575: 0.0004989002988493134
Position 11467: 0.0004934826382063564
Position 2025: 0.00047668802012548777
Position 7522: 0.0004598868563097249
Position 6782: 0.0004587772131086852
Position 8094: 0.000436395490543457
Position 7916: 0.0004224543903889471
Position 3595: 0.00041991337450440205
Position 690: 0.00039682839513074665
Position 10128: 0.00039199599785496995
Position 1893: 0.00038711655159371684
Position 3043: 0.00036282885943055265
Position 8910: 0.0003450747562198009
Position 10965: 0.00033994283553104537
Position 8794: 0.0003394140430680062
Position 257: 0.00032091279100030076
Position 3073: 0.0003164448607388044
Position 4460: 0.0003144081114287165
Position 8580: 0.00031234669530715275
Position 7330: 0.0003110264932277455
Position 11515: 0.0003070523754873728
Position 6350: 0.00030460855380805285
Position 2745: 0.0002993785476646878
Position 664: 0.00029044871766024493
Position 11045: 0.00028790637095759834
Position 1322: 0.0002793234292118107
Position 1490: 0.0002740639504379594
Position 11254: 0.00026984168933101376
Position 3502: 0.0002649626219855177
Position 10679: 0.00026201472301371295
Position 9097: 0.0002536657299581823
Position 1296: 0.00024073417489292899
Position 469: 0.00022610066582497826
Position 8740: 0.00020461838489446238
Position 5224: 0.00020357124521597838
Position 10513: 0.0001855950328767696
Position 9042: 0.00018148242898581563
Position 6487: 0.00016562976458679016
Position 10090: 0.0001627174407928505
Position 2382: 0.00016212761518572775
Position 4816: 0.0001515635963810504
Position 6330: 0.00015069578373137259
Position 8604: 0.00014788747418442036
Position 6490: 0.0001428552606392845
Position 5428: 0.00013352995029462732
Position 1347: 0.00013107132995544233
Position 8743: 0.00012587182089267185
Position 9661: 0.00012396880987893338
Position 1105: 0.0001237773419380822
Position 1512: 0.00012312444750627884
Position 9368: 0.00011843275207182244
Position 4857: 0.0001176887749085417
Position 8769: 0.00010887140061869315
Position 6812: 0.00010588639319113556
Position 9401: 0.00010416996583594394
Position 1790: 0.00010255649214679975
Position 1599: 0.00010049376812548982
Position 6946: 9.976183545418027e-05
Position 6788: 9.689663866076475e-05
Position 8156: 9.405096393120361e-05
Position 7038: 8.404424005897758e-05
Position 2131: 8.256240807125078e-05
Position 4621: 7.547774682433e-05
Position 1420: 7.414320232868146e-05
Position 584: 6.995928085251896e-05
