Gene = HMHB1
index = 657
Annotated 5SS: [144]
Annotated 3SS: [8318]
SMsplice 5SS: [144]
SMsplice 3SS: [8318]
top_k =  1000
Partition function (log Z): -9.585499607251059

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.9850756861688399
Position 1029: 0.10606297944528387
Position 2489: 0.06469010171699108
Position 3294: 0.05346213482234939
Position 3510: 0.045428549787825304
Position 5938: 0.03677628878684548
Position 3289: 0.022085660663943425
Position 487: 0.014373248341130896
Position 475: 0.014159225316058592
Position 1498: 0.013293188001469973
Position 250: 0.010530316919188449
Position 6055: 0.005582388209212188
Position 1510: 0.005155696183275794
Position 1298: 0.00466830168741011
Position 686: 0.004215234593201287
Position 4744: 0.0029640553705067895
Position 1719: 0.002507869509544815
Position 8421: 0.0023921875186156357
Position 5470: 0.002130921535576779
Position 928: 0.0017835330457519076
Position 1789: 0.0017648755065177832
Position 6141: 0.0015451251773988017
Position 1560: 0.0012439660761938843
Position 1158: 0.0010597823138705524
Position 6146: 0.0010022577049077414
Position 4752: 0.000782667460645898
Position 5353: 0.0007429573445292147
Position 7082: 0.0006996072399312628
Position 2754: 0.000555939348048395
Position 2543: 0.00047890291234582667
Position 7240: 0.0004642564274050311
Position 2937: 0.00041298646280167156
Position 285: 0.0003215540649526419
Position 338: 0.00027819767407744056
Position 448: 0.00026175400266645007
Position 3134: 0.00020484668087984915
Position 2263: 0.0001411888564942332
Position 1568: 0.0001260544332303908
Position 1367: 0.00010580738915515923
Position 2971: 0.00010244927058597608
Position 465: 7.292698818918685e-05
Position 1331: 6.648397778534674e-05
Position 976: 5.779810335613166e-05
Position 873: 4.121080360722282e-05
Position 1462: 4.0991234288222464e-05
Position 2140: 3.409145946431026e-05
Position 1350: 3.140997703838092e-05
Position 2343: 2.8992286059832244e-05
Position 1825: 2.4494405784161636e-05
Position 1735: 2.2532798196926205e-05
Position 1949: 1.9245541912471456e-05
Position 1705: 1.790736506666634e-05
Position 2891: 1.2333649546859767e-05
Position 519: 1.0158473389428162e-05
Position 3136: 8.715730907463494e-06
Position 1831: 8.565390614526518e-06
Position 628: 8.427375661079244e-06
Position 2502: 7.264232404299539e-06
Position 1199: 5.1608033114185914e-06
Position 332: 3.6576640168550586e-06
Position 796: 1.6436314648035262e-06
Position 224: 1.2710473371463e-06
Position 879: 9.910437598555979e-07
Position 800: 7.556110478397362e-07
Position 1319: 4.791136654808249e-07
Position 875: 3.201090958925106e-07
Position 804: 2.59674610458094e-07
Position 1777: 2.2757840248320864e-07
Position 784: 1.6564960425504633e-07
Position 92: 1.6381949712789474e-07
Position 343: 1.5067594715622963e-07
Position 701: 1.4284801063330405e-07
Position 504: 1.2794779656101375e-07
Position 376: 1.0389497983356544e-07
Position 971: 9.711359545302936e-08
Position 325: 7.364128247584702e-08
Position 964: 4.1513945900796884e-08
Position 857: 4.070791140116034e-08
Position 1521: 3.729221379447336e-08
Position 787: 2.0341106222753066e-08
Position 299: 1.785662378517911e-08
Position 1236: 9.840598530146159e-09
Position 1630: 7.605713940056213e-10
Position 397: 5.681089301302615e-10
Position 1020: 9.387030006884063e-11
Position 789: 1.0303803695032108e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 8318: 0.28070229008181047
Position 3206: 0.1308314602648354
Position 1662: 0.1159867592260215
Position 3381: 0.11123144396477368
Position 2336: 0.09595371803153427
Position 8400: 0.054446539374160385
Position 373: 0.052935986704498415
Position 869: 0.05280652202622591
Position 4062: 0.05145204226115029
Position 837: 0.04662681891271048
Position 2205: 0.04264474415072058
Position 6018: 0.02356051779013528
Position 5850: 0.021760125558239845
Position 1677: 0.020239263517261904
Position 1126: 0.01871752803267388
Position 576: 0.015055101333915764
