Gene = HNRNPCL2
index = 660
Annotated 5SS: [62]
Annotated 3SS: [272]
SMsplice 5SS: [62]
SMsplice 3SS: [272]
top_k =  1000
Partition function (log Z): -6.611461899262458

Sorted 5' Splice Sites (High to Low Probability):
Position 62: 0.9689054826980579
Position 570: 0.015143846394146912
Position 79: 0.015110174500524511
Position 123: 0.0127124708841379
Position 503: 0.0039552471986682046
Position 375: 0.003520729356489039
Position 29: 0.0024677393376167827
Position 765: 0.0013606433971566252
Position 740: 0.0003957086276955255
Position 362: 0.00021245513013899687
Position 493: 0.00020759847154327936
Position 95: 0.0001314569528691393
Position 348: 9.200150575988093e-05
Position 105: 7.668809380996715e-05
Position 129: 3.1983915275261176e-05
Position 1090: 1.59047324134207e-05
Position 822: 1.4447752569145318e-05
Position 113: 1.2524045489306672e-05
Position 550: 1.0580212612667186e-05
Position 507: 9.349738528081463e-06
Position 66: 9.075547864482963e-06
Position 1096: 8.94041736287078e-06
Position 688: 4.7834638882680295e-06
Position 161: 4.381204358149836e-06
Position 505: 1.7997179590335363e-06
Position 595: 1.5685851121356473e-06
Position 1159: 7.764660025354231e-07
Position 721: 4.336568758486291e-07
Position 535: 3.9604819995779456e-07
Position 317: 1.55742109396604e-08
Position 229: 1.2691560895893178e-08
Position 295: 1.1705895966480323e-08
Position 466: 8.872110246650572e-09
Position 532: 5.478826812646724e-09
Position 243: 4.2480474451423674e-09
Position 827: 2.454275074994494e-09
Position 841: 1.175482098567849e-09
Position 616: 1.0618297665947874e-09
Position 6: 6.802085505514425e-10
Position 280: 5.297156489559526e-10
Position 249: 4.5522558405458454e-10
Position 652: 3.7871835173406763e-10
Position 246: 3.6167801862085537e-10
Position 226: 1.909444516308753e-10
Position 417: 1.8769637921686067e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 272: 0.9756292718896342
Position 712: 0.017956318485157934
Position 874: 0.009810974036885455
Position 287: 0.006077914400132495
Position 658: 0.0038109677136401133
Position 739: 0.0020282013378344244
Position 655: 0.0013663432603290406
Position 757: 0.0010697870983900658
Position 365: 0.000986468710926386
Position 433: 0.0007967924901720628
Position 603: 0.0007924149522264198
Position 891: 0.0005846386957753043
Position 1266: 0.00040248400544358297
Position 540: 0.00033590389006230405
Position 1008: 0.00026379285677405806
Position 1234: 0.0002538296185340502
Position 477: 0.00023758660582971566
Position 461: 0.0001901560953881571
Position 901: 0.00016929357965007863
Position 942: 0.00016731093582878135
Position 996: 0.000143326677441489
Position 687: 0.00013062036494154602
Position 630: 0.0001012763625885576
Position 1239: 9.026058085062187e-05
Position 342: 8.167946395050756e-05
Position 1071: 7.63796951374343e-05
Position 694: 7.508900889001786e-05
Position 196: 7.180692943860497e-05
Position 683: 6.990826573822965e-05
Position 966: 5.8241931914322654e-05
Position 827: 5.215588234590196e-05
Position 1029: 5.147316648319084e-05
Position 714: 4.825791314915107e-05
Position 1077: 3.7980082053702746e-05
Position 633: 3.766614087656839e-05
Position 300: 3.632976163969928e-05
Position 1186: 3.2776435570781936e-05
Position 570: 3.126167287233556e-05
Position 1189: 2.5623802045465648e-05
Position 917: 2.468895052911539e-05
Position 348: 2.2285530851922358e-05
Position 1005: 2.1213217432296856e-05
Position 149: 1.8283378126915258e-05
Position 1251: 1.4338997088757582e-05
Position 926: 1.3437975124455965e-05
Position 730: 1.294494466486352e-05
Position 762: 1.255129902388276e-05
Position 1020: 1.1810327187239574e-05
Position 975: 8.406309942035574e-06
Position 835: 7.088007696828329e-06
Position 951: 6.318023913975375e-06
Position 302: 5.3270861929314585e-06
Position 555: 5.005816844830106e-06
Position 378: 4.4306010521642935e-06
Position 105: 4.379547806414804e-06
Position 375: 4.37798316699104e-06
Position 1170: 4.270217141091664e-06
Position 1164: 4.191255997927798e-06
Position 1343: 3.8196387809972656e-06
Position 1147: 3.5836588810421533e-06
Position 1143: 3.2923367115232238e-06
Position 721: 3.287203894148655e-06
Position 308: 3.219207791247004e-06
Position 1203: 2.057005137778067e-06
Position 129: 1.8964692814608624e-06
Position 134: 1.4789474962036598e-06
Position 1279: 1.3375698041804661e-06
Position 982: 1.2661395684443651e-06
Position 1336: 1.1154557717206594e-06
Position 1323: 9.209298843032794e-07
Position 1095: 8.343513480880985e-07
Position 1291: 5.445225021040406e-07
Position 944: 5.411166500551217e-07
Position 352: 5.261777514224393e-07
Position 671: 4.6874527109904225e-07
Position 1033: 4.067854593746384e-07
Position 1079: 3.436646765811729e-07
Position 1200: 2.942206718185952e-07
Position 661: 6.373799522172427e-08
Position 663: 2.847432752396637e-08
Position 387: 8.246801527469397e-09
Position 109: 2.0597966230019477e-09
Position 381: 1.3613622617247432e-09
Position 118: 1.2402570416249627e-09
Position 314: 5.636762614268123e-10
Position 83: 1.6768579689050203e-12
