Gene = PODXL2
index = 1048
Annotated 5SS: [  109 10343 31979 33131 39417 40022 42433]
Annotated 3SS: [10063 31196 33055 39259 39959 42252 43086]
SMsplice 5SS: [  109 31454 34345 39173 39417 40022 42433]
SMsplice 3SS: [31196 34261 38968 39259 39959 42252 43086]
top_k =  1000
Partition function (log Z): -23.040228475306826

Sorted 5' Splice Sites (High to Low Probability):
Position 109: 0.715561263569735
Position 387: 0.2760613130974424
Position 7055: 0.22919186364671693
Position 2197: 0.1832365234314432
Position 10799: 0.14558709950029983
Position 6923: 0.14167740522022743
Position 8594: 0.06272944199725329
Position 10343: 0.04950453153896417
Position 10962: 0.04198242473684716
Position 6852: 0.04180712665409268
Position 576: 0.027134187012576895
Position 15638: 0.021577063658487154
Position 1438: 0.01939474368416929
Position 275: 0.017980551956380344
Position 1877: 0.010495273581349827
Position 4117: 0.008853396569820425
Position 15698: 0.008053105636277529
Position 2023: 0.005794665785041106
Position 2845: 0.005701907327929683
Position 5014: 0.005289554631131559
Position 5837: 0.005155677275846568
Position 1397: 0.004543138249027411
Position 1335: 0.004468348069869076
Position 826: 0.00393896768181813
Position 1026: 0.003456856227429693
Position 4843: 0.0034026468998396794
Position 14585: 0.003077821420561779
Position 3155: 0.00295069754129913
Position 7554: 0.0029187287167741854
Position 766: 0.002772273712734259
Position 1789: 0.0026612628518654347
Position 7921: 0.0026498435034757184
Position 4803: 0.002588810015746427
Position 7068: 0.0016983800945183504
Position 4696: 0.0016210460076690972
Position 6521: 0.0015724196041771027
Position 951: 0.001561257644565104
Position 627: 0.0014936193528531164
Position 2122: 0.0014784933057026318
Position 113: 0.0014755575912389954
Position 6999: 0.0013096221079171117
Position 6010: 0.0011029146921423462
Position 2451: 0.0009977001144333229
Position 7477: 0.000984317854302022
Position 939: 0.0007018796838139667
Position 7510: 0.0006303746622871652
Position 2863: 0.0004982502469720424
Position 1976: 0.0004760361343445423
Position 102: 0.00040459238026362685
Position 8986: 0.00037392447137124936
Position 544: 0.00020331381460996786
Position 335: 0.00019430966663232506
Position 1233: 0.00012717744020185917
Position 855: 9.185506722063237e-05
Position 445: 8.112240780197489e-05
Position 1182: 6.31120334870271e-05
Position 641: 5.000870806442563e-05
Position 429: 4.6897125562864415e-05
