Gene = RSRP1
index = 1216
Annotated 5SS: [ 211 1076 2370 3970]
Annotated 3SS: [ 489 2217 3885 4813]
SMsplice 5SS: [ 211 2370 3970]
SMsplice 3SS: [2217 3885 4813]
top_k =  1000
Partition function (log Z): 2.275227769366816

Sorted 5' Splice Sites (High to Low Probability):
Position 211: 0.9824281398360087
Position 3970: 0.9635254672160227
Position 2370: 0.9109969683624225
Position 1076: 0.5063478712359382
Position 624: 0.0997859668379815
Position 4981: 0.07018249321082957
Position 550: 0.06901771156933742
Position 2383: 0.056522202612263636
Position 4685: 0.051054693655882624
Position 3226: 0.044049089855660285
Position 885: 0.03837009295559287
Position 633: 0.037276460413213475
Position 1080: 0.033079662803172004
Position 3066: 0.03211134586567911
Position 2350: 0.016677186428105426
Position 5146: 0.015247726217020564
Position 3096: 0.012823438962839608
Position 744: 0.012571056789105976
Position 1038: 0.011276719054068655
Position 568: 0.004414878851890972
Position 909: 0.00400741233483122
Position 774: 0.003651968460935567
Position 3146: 0.0033522591770996446
Position 5025: 0.0030587321577816716
Position 1529: 0.0029630282102626024
Position 3241: 0.002944862250736984
Position 852: 0.0018239481396903816
Position 1106: 0.0015196705804275405
Position 4382: 0.0014397935019152767
Position 5135: 0.0012904747561930088
Position 579: 0.0012041490958466404
Position 2341: 0.0011436272321974053
Position 927: 0.0010630637165605756
Position 4315: 0.001026276227704527
Position 1258: 0.0010062965805130739
Position 4952: 0.0009753396597105094
Position 810: 0.0009247487208747502
Position 3498: 0.0008759719773452624
Position 687: 0.0007162538829365733
Position 1996: 0.000701168625245693
Position 4902: 0.0006780007802966735
Position 2016: 0.0006505733147660419
Position 2343: 0.0005915010670019794
Position 2374: 0.0005713188551989995
Position 3974: 0.0005497101273279311
Position 4746: 0.0005325330643528601
Position 87: 0.0004829625896486027
Position 2356: 0.00046746854538536433
Position 3195: 0.0004293566683879088
Position 1286: 0.00041080393564758193
Position 3156: 0.0004086165622085991
Position 1448: 0.0003839470203631027
Position 2102: 0.00035849917637135423
Position 93: 0.000354971807471683
Position 945: 0.00033038388145290807
Position 4015: 0.0003129426731456998
Position 80: 0.0003093982317257937
Position 3464: 0.00028150774914273744
Position 3395: 0.00027758489487766675
Position 738: 0.0002753689044264778
Position 4343: 0.000274157837302735
Position 3526: 0.00027157683227812016
Position 4137: 0.0002504702880354735
Position 4161: 0.00024391655234505866
Position 32: 0.00024301268357984163
Position 3416: 0.00023669156467741155
Position 3062: 0.000223344973496465
Position 412: 0.00021344312477422793
Position 5169: 0.00021067641539034728
Position 3546: 0.0002040389099660756
Position 5059: 0.0002016100318814733
Position 4668: 0.00019943858753779424
Position 1111: 0.00018144036955947265
Position 3108: 0.0001664858534821907
Position 891: 0.00016159100227585742
Position 3502: 0.00015855290064240095
Position 3898: 0.00014873725413950254
Position 654: 0.00014263697650417843
Position 1361: 0.00013801555237807385
Position 2882: 0.0001366661664688112
Position 264: 0.00013437660150013636
Position 186: 0.00012939355024464282
Position 897: 0.0001229942815008957
Position 792: 0.00011112352434101542
Position 3142: 0.00010841899337756217
Position 4776: 0.00010823234413540942
Position 3203: 0.0001002165670618635
Position 3375: 8.988692088627784e-05
Position 4048: 8.26640378197683e-05
Position 434: 7.857853286553385e-05
Position 1067: 7.477720588731644e-05
Position 3235: 6.063362657552038e-05
Position 5189: 5.3084153392217556e-05
Position 66: 5.0369300498626415e-05
Position 1593: 4.816467092303865e-05
Position 4915: 4.814541368386882e-05
Position 1251: 4.213125797664985e-05
Position 4306: 3.907731463539926e-05
Position 500: 3.782527362587091e-05
Position 166: 3.7044166864836605e-05
Position 1084: 2.9638596480509326e-05
Position 993: 2.877631516512281e-05
Position 3366: 2.8723430231153904e-05
Position 1323: 2.783591420445375e-05
Position 5184: 2.7640162416139883e-05
Position 4654: 2.582763949883466e-05
Position 206: 2.5702092702218185e-05
Position 2065: 2.194986823491318e-05
Position 162: 2.132067886836924e-05
Position 1587: 2.0982871792460047e-05
Position 493: 1.9664295656328155e-05
Position 4539: 1.9511775390791003e-05
Position 711: 1.5067465630836975e-05
Position 873: 1.4715189738006049e-05
Position 2036: 1.3720126365779471e-05
Position 55: 1.0626391706455659e-05
Position 1764: 9.454406666865042e-06
Position 4625: 7.977795120189514e-06
Position 558: 7.189712713432506e-06
Position 4987: 6.015173340333756e-06
Position 3846: 5.673849545182452e-06
Position 700: 5.478836108375867e-06
Position 5093: 5.449311506095656e-06
Position 5159: 4.224477878129999e-06
Position 231: 2.9369580227548842e-06
Position 215: 2.7895429591787432e-06
Position 108: 2.5193570295736597e-06
Position 2583: 2.0243431054775557e-06
Position 2890: 1.7682514948042661e-06
Position 253: 1.549495433355703e-06
Position 2570: 1.3422612163729213e-06
Position 2473: 1.1862269273322691e-06
Position 363: 9.790462706596652e-07
Position 349: 6.390514471726163e-07
Position 2930: 4.747770427855129e-07
Position 481: 4.183898926061317e-07
Position 2759: 2.654692455117588e-07
Position 423: 1.8570896463969253e-07
Position 45: 1.6053433773355902e-07
Position 2387: 1.3937194140086815e-07
Position 183: 1.263014148387754e-07
Position 645: 1.114183192191063e-07
Position 280: 8.282347905078416e-08
Position 197: 7.792971852883967e-08
Position 378: 7.686097910131828e-08
Position 648: 2.3747372441714163e-08
Position 369: 1.0492825330508096e-08
Position 58: 1.0005138121054616e-08
Position 250: 6.577628079248334e-09
Position 294: 4.1160685954528606e-09
Position 310: 6.737559675354635e-10
Position 96: 6.572214387830211e-10
Position 146: 3.8740896198502903e-10
Position 393: 1.8438889343715275e-10
Position 139: 5.330986800007801e-11
Position 466: 3.653293457284851e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2217: 0.9853560489642891
Position 3885: 0.9391759547266838
Position 4813: 0.8923731887629984
Position 489: 0.2571707222813614
Position 905: 0.1369635682518653
Position 908: 0.1316592441423198
Position 991: 0.10471172656800547
Position 3020: 0.08434965392021307
Position 5271: 0.08371211758888583
Position 4432: 0.06444847121795905
Position 677: 0.05501346719329852
