Gene = PARS2
index = 1000
Annotated 5SS: [54]
Annotated 3SS: [5323]
SMsplice 5SS: [ 395 5421 5581 6896]
SMsplice 3SS: [5323 5493 6813 6984]
top_k =  1000
Partition function (log Z): -6.27893846741078

Sorted 5' Splice Sites (High to Low Probability):
Position 5581: 0.7047906438295134
Position 6896: 0.6658724299504242
Position 5421: 0.5806772879434907
Position 395: 0.5119764887379664
Position 54: 0.36901252852059335
Position 6716: 0.21530272436365178
Position 5555: 0.18186533427000445
Position 3994: 0.12731177256608958
Position 4932: 0.11169444269845066
Position 5151: 0.09769604064448356
Position 660: 0.07001705470135343
Position 5158: 0.04908526242214205
Position 714: 0.04802553389721451
Position 6697: 0.043103515395396814
Position 7131: 0.04185332385063999
Position 4070: 0.04182324188132183
Position 1355: 0.04016707406661417
Position 5751: 0.02449885627102202
Position 1288: 0.02446527286543097
Position 383: 0.02231926756590552
Position 2650: 0.01954650416166012
Position 3177: 0.017312932704293814
Position 6271: 0.012831301123253416
Position 1313: 0.01275861259221536
Position 64: 0.012269461699104213
Position 777: 0.01219592672300532
Position 151: 0.012040071386716087
Position 3145: 0.011805533880134562
Position 773: 0.009626085212861001
Position 2787: 0.007979359464548082
Position 122: 0.007978322825830475
Position 4382: 0.007263682231300407
Position 6494: 0.00725213829013717
Position 6028: 0.007195448699814823
Position 1403: 0.007030459762841571
Position 5436: 0.006331371413259492
Position 3299: 0.005899475995545123
Position 5324: 0.004967742279383282
Position 58: 0.004877059448162803
Position 1194: 0.0042859214532349945
Position 5635: 0.003740504687421235
Position 6721: 0.003642506002681313
Position 571: 0.00352227494977705
Position 3341: 0.0026559690161201024
Position 2893: 0.002086639028591811
Position 681: 0.001471403659516882
Position 1464: 0.0012709292393394533
Position 6574: 0.0012004680356601986
Position 6082: 0.0011408276586343232
Position 5518: 0.0011282744329248727
Position 6906: 0.0008060946430316289
Position 7267: 0.0006281085759589147
Position 3194: 0.0005097056345778682
Position 284: 0.00037313905803211024
Position 499: 0.0003729058793932007
Position 149: 0.0003703211216235586
