Gene = PLGRKT
index = 1037
Annotated 5SS: [   90  1310  5982 76121 76801]
Annotated 3SS: [ 1183  5894 75989 76690 79517]
SMsplice 5SS: [   90  1310  5982 24569 45405 46001 53397 55722 56016 66788 76121 76801]
SMsplice 3SS: [ 1183  5894 24392 45228 45919 53268 55641 55846 66606 75989 76690 78037]
top_k =  1000
Partition function (log Z): -33.34458451461911

Sorted 5' Splice Sites (High to Low Probability):
Position 5982: 0.9975923740548718
Position 1310: 0.8812339891431232
Position 90: 0.8794357524629028
Position 14327: 0.5426771396374505
Position 24569: 0.2968972181142116
Position 1445: 0.22822778764123333
Position 11028: 0.09637307281924
Position 5687: 0.0944309173880086
Position 5514: 0.09261013677048859
Position 1864: 0.07936356102295361
Position 11259: 0.07146726187959188
Position 24494: 0.062156023261277484
Position 3073: 0.05656589937743036
Position 247: 0.049178976184025676
Position 7144: 0.033033139662196044
Position 1756: 0.028104228521812002
Position 5324: 0.02737321565999872
Position 2111: 0.025328785621118954
Position 953: 0.019824162496899878
Position 525: 0.01878708373283561
Position 4578: 0.017476900943234466
Position 6605: 0.016962164789933506
Position 586: 0.013772661628985036
Position 115: 0.012365988611481324
Position 11010: 0.009350782986338348
Position 5601: 0.009047608916703455
Position 4539: 0.008740193637681323
Position 48: 0.008373194683148242
Position 5529: 0.006305760602808316
Position 4500: 0.005547645651980865
Position 10644: 0.005048123334881523
Position 19121: 0.004830671549787634
Position 127: 0.004611477744088132
Position 10659: 0.004329225100700288
Position 202: 0.003714920368853172
Position 2861: 0.003461644349158284
Position 5727: 0.003362060755772497
Position 651: 0.0025410543984640942
Position 1932: 0.0022606523510918506
Position 7004: 0.0018864441699032322
Position 676: 0.0016038248452085687
Position 7267: 0.0014776159970725149
Position 237: 0.001109516945434977
Position 3368: 0.0010793727236553046
Position 327: 0.0007824747607473562
Position 8674: 0.000716674735541661
Position 6317: 0.0007115115722401634
Position 635: 0.0006973371546468353
Position 141: 0.000683401047185989
Position 985: 0.0006329369270604556
Position 1930: 0.0006260926189163603
Position 1672: 0.0005571381366775044
Position 3943: 0.0005540758923645834
Position 1184: 0.000532422728348659
Position 1159: 0.0005056459780377613
Position 1547: 0.00047874610989652016
Position 1105: 0.00042473309908170497
Position 6840: 0.0004041911438371074
