Gene = P3H2
index = 993
Annotated 5SS: [   678 125640 126836 132023 133403 134142 136380 137884 146372 147021
 148056 149040 150114 156972]
Annotated 3SS: [125486 126645 131890 133259 134051 136338 137788 146243 146924 147904
 148921 150037 156830 162924]
SMsplice 5SS: [   120    678  12249  16616  24223  27387  61312  72966 125640 126836
 129365 132023 133403 134142 136380 137884 146372 149040 150114 156972]
SMsplice 3SS: [   562  12203  16526  24102  27254  61200  72855 125486 126645 129284
 131890 133259 134051 136338 137788 146243 148921 150037 156830 162924]
top_k =  1000
Partition function (log Z): -64.01883585353885

Sorted 5' Splice Sites (High to Low Probability):
Position 16616: 0.9947467085697348
Position 678: 0.950805873116445
Position 12249: 0.9476823007437053
Position 24223: 0.8295321241656168
Position 27387: 0.8032813591637271
Position 120: 0.5858261934773722
Position 14241: 0.4315536156761055
Position 1239: 0.37917002073133677
Position 4350: 0.3692337957906843
Position 927: 0.27645000655145835
Position 2677: 0.15935713839633425
Position 387: 0.15686927895633018
Position 18669: 0.14516076659579966
Position 14987: 0.12298104246730898
Position 8419: 0.12250935678093262
Position 14356: 0.12037036110460168
Position 23732: 0.10675127144746059
Position 34254: 0.10240162517116717
Position 21757: 0.09434623774982584
Position 7517: 0.09183097788739038
Position 3973: 0.08256427781307923
Position 18584: 0.07119608229405455
Position 2594: 0.06329227291350091
Position 13657: 0.06163385535073369
Position 2707: 0.06085234681695788
Position 9543: 0.05962679325616741
Position 14473: 0.02634580185312759
Position 145: 0.026325597020940988
Position 14505: 0.026124955028161805
Position 36163: 0.018907844044322553
Position 21258: 0.016769449425062522
Position 14145: 0.012945281402862104
Position 1284: 0.00899256524792524
Position 2887: 0.008721227969087784
Position 3323: 0.008714952508490838
Position 2589: 0.00823846594708279
Position 13598: 0.006114043589653245
Position 3739: 0.005539236214614813
Position 27402: 0.004037105576790727
Position 939: 0.0034187082335445287
Position 1642: 0.0018875399354983738
Position 167: 0.0014077205954297956
Position 13743: 0.001393483576775476
Position 1227: 0.0012263352580539144
Position 1214: 0.0011782208429945637
Position 2211: 0.0011347883471870134
Position 4113: 0.001014190832099347
Position 24448: 0.0008144926901860876
Position 1342: 0.000792014549296349
Position 448: 0.0007905768897194758
Position 986: 0.0007851060893650186
Position 40: 0.0006990480339404048
Position 263: 0.0005653753626808319
Position 1950: 0.0004889129433088707
Position 18023: 0.000442626993079923
Position 1431: 0.0004040827763511513
Position 7716: 0.0002557900282128699
Position 16658: 0.00018564249592488546
Position 3629: 0.0001667278580228525
Position 17708: 0.00014210470109075017
Position 5038: 0.00013489127096965467
Position 2299: 0.00013178309585519627
Position 618: 0.00010441984472386077
Position 839: 5.7011064889990144e-05
Position 96: 5.5666178431070055e-05
Position 2099: 5.226859173259509e-05
Position 763: 4.056517279726028e-05
Position 2819: 2.678254587756461e-05
Position 782: 1.6438132855209267e-05
Position 804: 1.4834119305501587e-05
Position 565: 1.335870197686906e-05
Position 58: 9.424576467662995e-06
Position 2512: 6.5719926545836165e-06
Position 3115: 6.2860020932922555e-06
Position 2407: 4.591905585424026e-06
