Gene = FCGR2C
index = 550
Annotated 5SS: [  210  7103  8480 10059 10903 14251]
Annotated 3SS: [ 7081  8221  9803 10788 14212 18289]
SMsplice 5SS: [  210  2475  7103  8480 10059 10903]
SMsplice 3SS: [ 2380  7081  8221  9803 10788 14212]
top_k =  1000
Partition function (log Z): -4.899893129873433

Sorted 5' Splice Sites (High to Low Probability):
Position 210: 0.9165557247482785
Position 2475: 0.8469032006792258
Position 8480: 0.7892762835855606
Position 10903: 0.694467576862595
Position 10059: 0.6499703355790829
Position 7103: 0.5751332357756965
Position 1193: 0.5285465566928627
Position 14045: 0.34687871674775717
Position 15192: 0.2702394871515665
Position 9533: 0.26376223101798135
Position 1854: 0.22939799226610472
Position 596: 0.17623693690180198
Position 7229: 0.10945041539971358
Position 787: 0.09546019193073356
Position 14918: 0.0802958949053404
Position 6831: 0.07035560634374559
Position 9899: 0.06989746249254544
Position 9325: 0.05479353837943305
Position 7957: 0.053657555283916206
Position 14460: 0.050028447879796656
Position 10378: 0.0480164594249875
Position 14049: 0.03987136117206607
Position 1869: 0.039331108263118045
Position 5547: 0.037672065457796666
Position 4001: 0.03269705088860255
Position 2880: 0.032451331261150115
Position 10366: 0.03137981255414092
Position 1845: 0.02746987631814859
Position 9311: 0.026265710046677916
Position 7304: 0.019446812602182863
Position 9865: 0.01906568603315658
Position 1818: 0.018604333555549028
Position 10675: 0.016015395204820586
Position 9298: 0.015628769011903798
Position 8388: 0.014023403911313764
Position 9105: 0.013228708133293706
Position 8879: 0.0132086565542375
Position 14102: 0.01263976697591814
Position 2649: 0.011500587969576965
Position 9987: 0.011210586865894741
Position 1683: 0.010848631824282716
Position 8549: 0.01075261859720953
Position 14486: 0.010662887586311648
Position 1303: 0.010418316652869073
Position 5640: 0.010017103833400966
Position 11510: 0.008577116952152884
Position 9733: 0.008400825005714933
Position 2221: 0.006509370609630058
Position 7175: 0.006022689041001078
Position 7870: 0.005519194870690044
Position 8593: 0.0054206268264386445
Position 13847: 0.004919172879772005
Position 3158: 0.00488959906140408
Position 2537: 0.0044185775915177574
Position 3055: 0.003902398433295889
Position 14580: 0.00386872150454553
Position 10601: 0.0038032445357948762
Position 7662: 0.0038017796119210394
Position 603: 0.00356722370245225
Position 2976: 0.0035300507803492226
Position 6196: 0.0034661158071465025
Position 3139: 0.0030667309136119553
Position 7726: 0.0030644418319897048
Position 3013: 0.0028383456063666825
Position 12143: 0.0027864007412619195
Position 15196: 0.0027859813219882294
Position 1546: 0.0027732666648677077
Position 13437: 0.0027227487391910466
Position 13565: 0.0023841609530174963
Position 1000: 0.0023032680946407547
Position 4394: 0.002154933866710711
Position 6624: 0.002003067870741491
Position 7855: 0.0019264389617931776
Position 3105: 0.0016948084226869424
Position 3364: 0.0014371505126431997
Position 11112: 0.0013994959002684873
Position 14033: 0.0011380681589067392
Position 706: 0.0011370803902220562
Position 1562: 0.0010775862454478707
Position 6860: 0.0010591874331286023
Position 7915: 0.0009710605846761887
Position 1352: 0.0009444270760731343
Position 7212: 0.0009421339925329301
Position 6214: 0.0008221041791913995
Position 1833: 0.0008176238228584504
Position 12918: 0.0006942048764157607
Position 7672: 0.000663307234835262
Position 9893: 0.0006263140152185253
Position 9453: 0.0006211287462252019
Position 489: 0.0005697415559953316
Position 2023: 0.0005615086019944233
Position 13533: 0.0005021152820152123
Position 617: 0.00045448243599887603
Position 1912: 0.00031277396849073685
Position 331: 0.00028090100468852513
Position 3045: 0.00022361530028868986
Position 3263: 0.00021352556983276073
Position 7674: 0.0001713038314399676
Position 864: 0.00016887429406394185
Position 1253: 0.00014595903861496312
Position 1096: 0.00011958925158739698
Position 388: 0.00011785721123314451
Position 1279: 8.895837055847916e-05
Position 27: 8.646316104575396e-05
Position 1241: 8.196178731363887e-05
Position 2765: 7.235991214258214e-05
Position 975: 5.0630987261478916e-05
Position 640: 4.96177020554603e-05
Position 5292: 4.3106418102197134e-05
Position 157: 4.2232829493383355e-05
Position 138: 4.175429825620208e-05
Position 2479: 3.620067515958973e-05
Position 894: 3.1693300571265275e-05
Position 299: 2.9129261791809166e-05
Position 1287: 2.7911794543938016e-05
Position 1308: 2.749763745972212e-05
Position 1207: 2.649508976875369e-05
Position 395: 2.38011162062118e-05
Position 1258: 2.064898484252863e-05
Position 370: 1.913819874423945e-05
Position 4022: 1.8350206054874266e-05
Position 2528: 1.709749740703431e-05
Position 214: 1.3462541532261175e-05
Position 95: 1.2942247949606753e-05
Position 2769: 1.1014179996453623e-05
Position 253: 1.0747047645851319e-05
Position 2690: 9.198519869822401e-06
Position 4446: 9.100318642035606e-06
Position 4934: 8.117320081005697e-06
Position 3873: 7.995044154530527e-06
Position 4044: 7.149358485867492e-06
Position 174: 6.9525808436958446e-06
Position 1106: 6.87243987319321e-06
Position 484: 4.927028852282518e-06
Position 3059: 4.861138540680191e-06
Position 1566: 4.617526920240051e-06
Position 445: 4.26934212244701e-06
Position 197: 1.98664561883772e-06
Position 380: 1.3713407483444914e-06
Position 57: 1.2920620311958816e-06
Position 614: 1.022372179746093e-06
Position 283: 4.15861461568372e-07
Position 584: 3.9588766058054353e-07
Position 1101: 3.665312493224626e-07
Position 526: 1.9295014278689096e-07
Position 746: 1.408297096271467e-07
Position 404: 1.1147540636545099e-07
Position 187: 6.814061120077858e-08
Position 1123: 5.2727639571408335e-08
Position 66: 5.007419494092923e-08
Position 109: 3.798885338699662e-08
Position 13: 1.645011284120559e-08
Position 122: 1.5224906931111187e-08
Position 646: 4.2688968136255674e-09
Position 680: 3.2456836922408476e-09
Position 406: 1.2151134133487409e-09
Position 972: 7.101789957731844e-11
Position 450: 5.1275895519656094e-11
Position 704: 1.2189818381205034e-11
Position 524: 1.2126780738888792e-11
Position 659: 5.281489414921847e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 9803: 0.7553293659432205
Position 2380: 0.7372542758622559
Position 10788: 0.709578069935451
Position 7081: 0.6103511594667467
Position 8221: 0.5358074059769111
Position 13946: 0.4410551372995661
Position 1069: 0.340515913167009
Position 14212: 0.27966262818204296
Position 15046: 0.2652417459486925
Position 1749: 0.2466900718365719
Position 8376: 0.19673710229394506
Position 9368: 0.17320626842389836
Position 14141: 0.15112608408083691
Position 466: 0.1369639614613413
Position 17131: 0.1127925106271903
Position 1165: 0.10041969257370294
Position 8224: 0.08910735854894186
Position 2348: 0.08695475277923241
Position 10292: 0.08470192683998641
Position 9391: 0.07613398650440778
Position 6982: 0.06905397622084539
Position 15004: 0.06247457305455865
Position 9172: 0.0563383757628167
Position 1761: 0.04788058406640557
Position 14787: 0.04518417641992981
Position 686: 0.04505666645211686
Position 6665: 0.04464559429682157
Position 5503: 0.043684379534418526
Position 13910: 0.04101061849493842
Position 14772: 0.039366256706186174
Position 1116: 0.039210087825238354
Position 16624: 0.03682941731336344
Position 16552: 0.034805587161749516
Position 17476: 0.031086744407123862
Position 16214: 0.028970258925983716
Position 9192: 0.028887447730717383
Position 3803: 0.02826015981020328
Position 7160: 0.027414087416797645
Position 18318: 0.026051137419000538
Position 7775: 0.025645065518723722
Position 7707: 0.019992496690946767
Position 2929: 0.01976328973772079
Position 17080: 0.019509146478542978
Position 1675: 0.019377506313794483
Position 9474: 0.018366608975618162
Position 2271: 0.015394262147072246
Position 17059: 0.014730143597854935
Position 9696: 0.014633556507445914
Position 9030: 0.01448392988296254
Position 7526: 0.014066561334969462
Position 849: 0.013592464284440978
Position 2591: 0.01258504494784169
Position 16708: 0.012135185914291783
Position 15642: 0.012099215591137432
Position 11417: 0.011779793233815002
Position 8740: 0.011382667842821255
Position 9841: 0.011331819747026472
Position 16677: 0.011240155772938866
Position 6728: 0.010996220518435768
