Gene = UTP11L
index = 1541
Annotated 5SS: [  124  3679  5029  5836  6411  6642 10068]
Annotated 3SS: [ 3616  4925  5721  6316  6510  9956 10802]
SMsplice 5SS: [  124  3679  5029  5836  6411 10068]
SMsplice 3SS: [ 3616  4925  5721  6316  9956 10802]
top_k =  1000
Partition function (log Z): 8.71581279221139

Sorted 5' Splice Sites (High to Low Probability):
Position 5836: 0.9974493024622963
Position 124: 0.9730115474813035
Position 10068: 0.9721298578715591
Position 5029: 0.9475373800162382
Position 6411: 0.8461803353718359
Position 3679: 0.8455163360241191
Position 6642: 0.47088830527269065
Position 10982: 0.3194337466051743
Position 434: 0.22395328812310963
Position 5274: 0.18561250258098247
Position 9529: 0.16626443344962982
Position 4103: 0.09935229768515703
Position 10256: 0.08842368837783131
Position 1580: 0.08368627359580824
Position 3697: 0.07496077003011191
Position 7503: 0.07251380041626655
Position 738: 0.06405195127484066
Position 10298: 0.0632356579291067
Position 10720: 0.05528859445291159
Position 3492: 0.05496312663111724
Position 391: 0.04997536178296006
Position 9745: 0.042334785113856674
Position 5260: 0.0345599849232449
Position 5607: 0.03444926737167619
Position 6668: 0.027864022094753832
Position 7161: 0.027094022034898472
Position 9841: 0.020891955896066763
Position 10941: 0.02077012462293194
Position 5609: 0.018964321966034932
Position 1555: 0.017912200648155633
Position 549: 0.017616429912172948
Position 4275: 0.017429939851510576
Position 742: 0.01613002831699901
Position 11003: 0.01439608537025168
Position 3193: 0.014212483076759689
Position 4107: 0.012072609177148455
Position 10839: 0.011945116454122495
Position 3423: 0.011621469895263374
Position 5017: 0.010214201746740538
Position 10824: 0.009917608212443368
Position 11552: 0.009814074339509643
Position 5048: 0.008906662296338847
Position 3113: 0.008741720834458044
Position 446: 0.008624074029525032
Position 6428: 0.008366969200011646
Position 4052: 0.008164256776225056
Position 10730: 0.008135101923605781
Position 10986: 0.007240450606567449
Position 7355: 0.005969023515869737
Position 5156: 0.005723341664592961
Position 7022: 0.0053779914369598385
Position 243: 0.004925019972549244
Position 10914: 0.004900053515387633
Position 10508: 0.004300769280644264
Position 6130: 0.0039965203283290835
Position 9789: 0.0035574955681421895
Position 8323: 0.003504198871879754
Position 3461: 0.0031553746168594926
Position 9431: 0.0031525826214902175
Position 10308: 0.0029880720255328367
Position 4785: 0.002708300811897088
Position 1116: 0.002612750740672762
Position 1584: 0.002597854630498552
Position 10025: 0.002424083187513033
Position 10882: 0.0023889362013942064
Position 7667: 0.002356958183535921
Position 10359: 0.0020209521223013695
Position 3542: 0.002009015711334531
Position 5147: 0.002004869237638464
Position 3434: 0.0019593409904710185
Position 546: 0.001908806293404493
Position 4279: 0.001785776967167424
Position 383: 0.00177492184745901
Position 11259: 0.0017291350094280262
