Gene = SETD9
index = 1249
Annotated 5SS: [ 484 2277 3875 4730 5707]
Annotated 3SS: [1908 3750 4613 5600 7554]
SMsplice 5SS: [ 201 3875 4730 5707]
SMsplice 3SS: [3750 4613 5600 7554]
top_k =  1000
Partition function (log Z): -1.8098788281798954

Sorted 5' Splice Sites (High to Low Probability):
Position 3875: 0.9302718796860163
Position 5707: 0.9180303130508323
Position 201: 0.8739479964454023
Position 4730: 0.8159039425193549
Position 2277: 0.2561620613045688
Position 605: 0.08896836224322129
Position 621: 0.06329763797724894
Position 484: 0.053629646940497884
Position 206: 0.04365508239684083
Position 5092: 0.04235883319491808
Position 1852: 0.03306825070707232
Position 925: 0.03135245993443828
Position 2261: 0.031300926760376754
Position 2269: 0.03078155970715779
Position 2220: 0.030628161165605423
Position 4707: 0.029020546400440245
Position 5268: 0.023377448605207095
Position 6473: 0.022798187391841505
Position 1135: 0.02232043040961576
Position 919: 0.015007983223353883
Position 2368: 0.012069588757475838
Position 4751: 0.011812312394022025
Position 1663: 0.010720690505311548
Position 749: 0.01056738330413505
Position 5137: 0.010323270673894222
Position 2623: 0.00964739427222081
Position 2243: 0.008921346308221393
Position 2099: 0.007692547996433552
Position 1118: 0.0074107624939591145
Position 872: 0.006289164013629192
Position 5792: 0.006232936600486729
Position 2133: 0.0060681994240582285
Position 2999: 0.005825660904322757
Position 1985: 0.005295119454190895
Position 5301: 0.005020865068407482
Position 4267: 0.004959668432528468
Position 7460: 0.0046446652921898635
Position 6251: 0.003998671922750035
Position 698: 0.003913655876941916
Position 2754: 0.003811937536325241
Position 634: 0.0027486023938329096
Position 1220: 0.0021432756472506893
Position 6433: 0.0020921256637287384
Position 436: 0.0017388019587527223
Position 1310: 0.0016890757643164608
Position 2643: 0.0013089505285213347
Position 6571: 0.0012149888592096736
Position 7330: 0.0011859619756373855
Position 5180: 0.001040981446210516
Position 1964: 0.0009811694223331112
Position 58: 0.0009283137784386094
Position 1684: 0.0009219633335302268
Position 7666: 0.0008564033722561776
Position 959: 0.0008084607513974466
Position 27: 0.0008040067195567801
Position 6919: 0.0007980528075068411
Position 3828: 0.0007628346529066457
Position 4404: 0.0006639875504731222
Position 6757: 0.0006287769123781078
Position 1946: 0.0005563856065786423
Position 5309: 0.0005303445863915837
Position 3864: 0.00048588012289352733
Position 7117: 0.0003691533342007206
Position 6122: 0.0003563293163241668
Position 1262: 0.0002947092713232463
Position 4814: 0.00027114826254021496
Position 5067: 0.00025769314352523155
Position 7634: 0.000236105712257891
Position 5358: 0.00020404992157134388
Position 5749: 0.00020228315705051237
Position 5025: 0.00020206489726922562
Position 6563: 0.00019659463396979102
Position 1355: 0.00018474683183458882
Position 5184: 0.0001692564154352572
