Gene = PXK
index = 1103
Annotated 5SS: [  211 33045 36599 49821 57780 58341 58968 62223 62880 64321 64843 66498
 71031 76122 76739 77280 80084]
Annotated 3SS: [32993 36550 49633 57701 58266 58892 62117 62777 64158 64724 66418 70981
 76043 76651 77209 80020 91871]
SMsplice 5SS: [  211  2573 33045 36599 45185 58341 59084 62223 62880 64321 64843 71031
 76122 76739 77280]
SMsplice 3SS: [ 2476 32993 36550 45028 58266 58996 62117 62777 64158 64724 70981 76043
 76651 77209 91871]
top_k =  1000
Partition function (log Z): -40.53827387811171

Sorted 5' Splice Sites (High to Low Probability):
Position 211: 0.9859103063527294
Position 2573: 0.9610055023925863
Position 8356: 0.6966714192927674
Position 3752: 0.08803472376319126
Position 745: 0.0578275627757493
Position 712: 0.04666440633355028
Position 2275: 0.04177795305019168
Position 3705: 0.04038593504387087
Position 3490: 0.03936021797433164
Position 1612: 0.038942732695593334
Position 17665: 0.03779350373420846
Position 20716: 0.026681514004897176
Position 2558: 0.022822619141545656
Position 8157: 0.014386078064485141
Position 10321: 0.01315673363551221
Position 1311: 0.012911445675319738
Position 1960: 0.011071746323551169
Position 13139: 0.009294134635687006
Position 2265: 0.0075025985318591506
Position 9451: 0.006344789996688871
Position 808: 0.005209391478999635
Position 2637: 0.004737935193761534
Position 160: 0.002223358131463331
Position 1110: 0.0016942048193095249
Position 142: 0.0016860503118983116
Position 1103: 0.0013903724364049237
Position 324: 0.0010899902737248426
Position 1392: 0.0010449166835212683
Position 2332: 0.0009399454161819546
Position 9614: 0.0009325190210006558
Position 1468: 0.0008945684861668289
Position 10742: 0.0007990141003453622
Position 5281: 0.0007570812935302235
Position 2847: 0.0006732185341455331
Position 2049: 0.000506526353835143
Position 5079: 0.0004663861857969627
Position 2410: 0.00041963836842053053
Position 2043: 0.0004134897828891181
Position 611: 0.0003633684809159325
Position 776: 0.00029747243800102305
Position 1144: 0.0002867141828388747
Position 3494: 0.00024206868044001975
Position 2259: 0.00023870640989376754
Position 810: 0.00022835975704127374
Position 370: 0.00020834524101092462
Position 799: 0.00016196911090241725
Position 2021: 0.00015781503891391517
Position 725: 0.0001153168691126131
Position 818: 0.00010527330245120215
Position 1332: 0.00010079232978120795
Position 2351: 9.711851987242351e-05
Position 1358: 9.47695215141053e-05
Position 1134: 9.397836415206416e-05
Position 1528: 8.912916880356933e-05
Position 1966: 8.152977266164931e-05
Position 1197: 7.997391033799558e-05
Position 656: 7.523394126464642e-05
Position 2009: 6.597277451137303e-05
Position 364: 5.3529500778028334e-05
Position 851: 4.998275190345545e-05
Position 912: 4.9635883614617925e-05
Position 635: 4.839095658334544e-05
Position 1568: 4.7146650071262735e-05
Position 488: 4.469893011678321e-05
Position 903: 4.393122080769118e-05
Position 641: 4.319178683093535e-05
Position 1952: 3.881147502604786e-05
Position 763: 3.8105754871175105e-05
Position 1789: 3.7460875613074835e-05
Position 2139: 2.7785253101734892e-05
Position 1439: 2.1550405834442002e-05
Position 2407: 1.853836820891067e-05
Position 1180: 1.375297910099437e-05
Position 927: 1.0354368639714087e-05
Position 1303: 9.121106524450628e-06
Position 4073: 6.40709554676772e-07
Position 297: 4.652118915788898e-07
Position 4801: 3.7428826740366674e-07
Position 240: 3.5234738465328325e-07
Position 64: 3.3652955851133774e-07
Position 896: 3.1193652156525384e-07
Position 1084: 2.95045422889354e-07
Position 449: 2.388975979926088e-07
Position 773: 1.7747207610693288e-07
Position 2621: 1.6801135749427364e-07
Position 949: 1.5935159759976386e-07
Position 841: 7.402435169903884e-08
Position 28: 5.029944182655204e-08
Position 883: 4.354767351935731e-08
Position 1139: 3.303842718093811e-08
Position 201: 2.2464277842895837e-08
Position 349: 1.898615937528342e-08
Position 2872: 1.7866132917005444e-08
Position 51: 1.5496473026616012e-08
Position 12: 1.4110683682376765e-08
Position 2820: 1.2868708707264738e-08
Position 675: 1.164121768509681e-08
Position 696: 1.0989100734363171e-08
Position 300: 3.2429800912475973e-09
Position 866: 2.2044116790669236e-09
Position 677: 2.065970410628397e-09
Position 737: 1.6717077109739786e-09
Position 10: 1.564005696468916e-09
Position 788: 1.4982979351179761e-09
Position 1148: 1.2938917806963827e-09
