Gene = HGD
index = 650
Annotated 5SS: [  475  6780  7671 12145 29980 31798 34695 35599 36305 38253 40983 44117
 49425]
Annotated 3SS: [ 6707  7581 12038 29919 31705 34659 35518 36204 38127 40877 43989 49242
 54041]
SMsplice 5SS: [  475  7671 12145 31798 32221 34695 34998 35599 36305 38253 40983 44117
 49425]
SMsplice 3SS: [ 7581 12038 31705 32143 34659 34810 35518 36204 38127 40877 43989 49242
 53307]
top_k =  1000
Partition function (log Z): -19.857946573149167

Sorted 5' Splice Sites (High to Low Probability):
Position 12145: 0.9963336174803987
Position 7671: 0.9360337235026932
Position 475: 0.8040783917973084
Position 4318: 0.5196549272763233
Position 6780: 0.4824613828837509
Position 7862: 0.4704013333096809
Position 11731: 0.31314806585858523
Position 13955: 0.275217569445371
Position 4668: 0.2689453245942808
Position 3387: 0.21998662181690248
Position 963: 0.11362594971869908
Position 8081: 0.10163256299093859
Position 12887: 0.1015345095788623
Position 4779: 0.09442289362415893
Position 184: 0.08672718982605686
Position 9079: 0.0860004756710217
Position 14676: 0.07248980765826644
Position 14667: 0.07178506824785225
Position 654: 0.06167956252498208
Position 11487: 0.05165818386728593
Position 13713: 0.04770212241324408
Position 6069: 0.0462309575642655
Position 11146: 0.044285866366228145
Position 2368: 0.04417857982974511
Position 11962: 0.043968268714944365
Position 8636: 0.04303796067871594
Position 8337: 0.03860361569945003
Position 3434: 0.03248450910170912
Position 1747: 0.029214112938326778
Position 11932: 0.02842907025457994
Position 5318: 0.025788893109620067
Position 12643: 0.02442929405716536
Position 8514: 0.023983586979673496
Position 7709: 0.023648434128192942
Position 11842: 0.022152643464847774
Position 10298: 0.02077249230982015
Position 8716: 0.019125062080656306
Position 3481: 0.015225679868501237
Position 10353: 0.011952036408503335
Position 8785: 0.011934091769485412
Position 3765: 0.011360995987747171
Position 1140: 0.010865892412872856
Position 13238: 0.010704360402668532
Position 7705: 0.010388960605842264
Position 13693: 0.010131617062702639
Position 254: 0.009529735586827112
Position 547: 0.009304387955199918
Position 2204: 0.0081274984586864
Position 5370: 0.007151574461296213
Position 10460: 0.006655361962774683
Position 4206: 0.006652035274603511
Position 8696: 0.004494062471130054
Position 1484: 0.004383656435525405
Position 4097: 0.004109072945904344
Position 13391: 0.004018853756282333
Position 4895: 0.003608884490454748
Position 9391: 0.0034857885277075405
Position 7517: 0.003471190001479953
Position 247: 0.002828202794363414
Position 12604: 0.002826438336743047
Position 3364: 0.0027418725411786538
Position 1335: 0.0024141596111304153
Position 5489: 0.002290711105298204
Position 2432: 0.0021647275766219225
Position 12668: 0.0021380321013283765
Position 7273: 0.002121733541756784
Position 3929: 0.0019885289856367764
Position 3174: 0.0016029101252206127
Position 969: 0.0015237663876095078
Position 844: 0.0014376682432904195
Position 9064: 0.001417233744353198
Position 4672: 0.001346177577451316
Position 6760: 0.0011087941332698803
Position 6049: 0.0008344385094178781
Position 988: 0.0008205425681667638
Position 2840: 0.0007955267859405433
Position 13266: 0.0007879773969090923
Position 6899: 0.0007778691268463853
Position 7102: 0.0007082544499191451
Position 2015: 0.000657693925000977
Position 8302: 0.00063488322135534
Position 226: 0.0006065994497068224
Position 4640: 0.0005380390939956605
Position 3270: 0.0005215465568614792
Position 8312: 0.0004886983625076403
Position 4442: 0.000485609992106758
Position 4928: 0.0004796290144535441
Position 14330: 0.0004694045294916459
Position 7351: 0.00046194562630803344
Position 12549: 0.0004151523684961778
Position 2697: 0.000407224416802714
Position 14322: 0.0003998365382191409
Position 7529: 0.0003977646946282871
Position 2873: 0.0003555352324384463
Position 4008: 0.00035252661819552573
Position 2191: 0.00030894844048921875
Position 1434: 0.0002980169215541157
