Gene = SGOL1
index = 1250
Annotated 5SS: [  133  2306  2584  7921  9591 15149 15468]
Annotated 3SS: [ 2156  2386  7843  9531 14958 15375 24964]
SMsplice 5SS: [  133  2306  2584  9591 15149]
SMsplice 3SS: [ 2156  2386  9531 14958 24964]
top_k =  1000
Partition function (log Z): -7.990135639222199

Sorted 5' Splice Sites (High to Low Probability):
Position 2584: 0.9177204874424947
Position 9591: 0.8585934482862309
Position 2306: 0.8282557319843004
Position 15149: 0.7708741585117244
Position 3803: 0.6164847678568155
Position 7921: 0.5488732762766293
Position 133: 0.3658872822346286
Position 232: 0.3255983179348506
Position 14519: 0.2366769741976488
Position 244: 0.20916061191505358
Position 2274: 0.13845544976838883
Position 6088: 0.11353908966268365
Position 15552: 0.10735985194309965
Position 2880: 0.10512560227262784
Position 880: 0.09585146517487182
Position 15468: 0.07597150152795344
Position 735: 0.06569179922891986
Position 15103: 0.05218113648088915
Position 15571: 0.038249344160115564
Position 8872: 0.025777394870340257
Position 24: 0.02398965863464399
Position 490: 0.02344767695076725
Position 11187: 0.02166955128630039
Position 9943: 0.0211178742097741
Position 91: 0.02044590943383657
Position 11574: 0.018542380115543405
Position 2810: 0.015732324056905157
Position 7964: 0.013447265796207282
Position 25083: 0.012519537872316952
Position 3433: 0.009981888230610908
Position 699: 0.008599438805954315
Position 7671: 0.008396928489024943
Position 1868: 0.006866261668971812
Position 3131: 0.0066228694928902035
Position 1161: 0.006376377842216076
Position 1758: 0.006075329195374716
Position 704: 0.004915137626495068
Position 3869: 0.004713592467684159
Position 2433: 0.004477780197577529
Position 5762: 0.004393318922215269
Position 15490: 0.003986205713019588
Position 4798: 0.003810224697430716
Position 15160: 0.003670577547891552
Position 5738: 0.0034158423279359623
Position 7586: 0.0032769170752111306
Position 603: 0.0032390990530127865
Position 3778: 0.0032132531530041477
Position 2525: 0.002977085882401422
Position 4854: 0.0028675112678567603
Position 15023: 0.0028275847382683776
Position 9636: 0.0025210160868754986
Position 1412: 0.002429883443102203
Position 671: 0.002298539427729313
Position 388: 0.0019327030236835781
Position 236: 0.0017035937237085037
Position 15107: 0.0015491607656318864
Position 10657: 0.0014986063399856035
Position 44: 0.0012250694383239642
Position 2922: 0.001138792666683972
Position 259: 0.001050183836378317
Position 11505: 0.0010241455626262698
Position 10972: 0.0009463395542294387
Position 1166: 0.0009384622349299155
Position 859: 0.0009063504708358007
Position 11943: 0.0008104145683118745
Position 21: 0.000724753693987513
Position 2619: 0.0006168732605940222
Position 434: 0.0005248207630659985
Position 2024: 0.0005165123349413391
Position 29: 0.0005024661862592655
Position 121: 0.00048053695515926976
Position 443: 0.0004394783875196444
Position 2467: 0.0003567928123520747
Position 164: 0.00032989464780229375
Position 1568: 0.0003174041079288848
Position 3435: 0.0003169820283173846
Position 1378: 0.0002879239809817336
Position 3861: 0.00023178467537160853
Position 2569: 0.0001868818459683896
Position 1777: 0.00018197538193258722
Position 2769: 0.000179284768273468
Position 2058: 0.00017176016614033553
Position 530: 0.0001662539509769817
Position 4391: 0.00013418907876353302
Position 990: 0.00013324139786671874
Position 5730: 0.00011997253331740644
Position 1297: 0.00010956523479869574
Position 2837: 0.00010377351133437382
Position 1081: 9.186954461827211e-05
Position 2913: 8.812980581497903e-05
Position 2614: 7.516541604407228e-05
Position 828: 7.150552743306795e-05
Position 294: 6.876802069357282e-05
Position 1659: 6.591011061903872e-05
Position 172: 5.8195876151974506e-05
Position 448: 5.626936087670885e-05
Position 4027: 5.515921697355788e-05
Position 10961: 4.846019450417852e-05
Position 287: 4.611507339052099e-05
Position 359: 4.361346145462452e-05
Position 538: 4.3030661327165135e-05
Position 3501: 3.5052581032108375e-05
Position 1806: 3.226359101382671e-05
Position 2858: 3.148008992941937e-05
Position 4640: 3.037148440808255e-05
Position 837: 2.8436428610384875e-05
Position 4302: 2.5743546430251068e-05
Position 1059: 2.5489297614371084e-05
Position 933: 2.417420446164789e-05
Position 1416: 2.043579452225879e-05
Position 2635: 1.7348255052420587e-05
Position 1317: 1.0273261656585943e-05
Position 213: 9.91471882939326e-06
Position 2190: 6.462369434878567e-06
Position 3827: 2.7457514706176907e-06
Position 3914: 2.489976767339222e-06
Position 5025: 1.9873078416368646e-06
Position 523: 1.296148917412885e-06
Position 553: 1.085770033678292e-06
Position 432: 6.945681733421396e-07
Position 262: 5.177781038175062e-07
Position 311: 4.604619623483533e-07
Position 516: 2.2046076678979832e-07
Position 3982: 1.976651029395041e-07
Position 4192: 1.543668708071488e-07
Position 4678: 1.5296364978667578e-07
Position 271: 1.0855891323903369e-07
Position 124: 9.752608717232445e-08
Position 3967: 2.5981114116252188e-08
Position 3851: 1.600849975022259e-08
Position 4016: 7.515346828567034e-09
Position 112: 5.594206445582728e-09
Position 138: 1.4145700269405163e-09
Position 335: 4.166415854276481e-10
Position 60: 2.4616230372995396e-10
Position 330: 1.6617340156410565e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2156: 0.9623887650837194
Position 2386: 0.9114064330222391
Position 14958: 0.7808977382369896
Position 7843: 0.544417851434286
Position 24964: 0.47189749174659035
Position 9531: 0.4430039057407769
Position 15375: 0.4421440274560698
Position 3668: 0.41131074850861615
Position 9399: 0.3881585187269256
Position 3671: 0.20459673928024366
Position 14426: 0.1575366066455485
Position 627: 0.09997068163293496
Position 5912: 0.09706108591441487
Position 2715: 0.0777574951742221
Position 14941: 0.056788226009541455
Position 14392: 0.045540102449768714
Position 16365: 0.03877576838015772
Position 14299: 0.034749359610957174
Position 11135: 0.03255858463065163
Position 630: 0.029881580438609116
Position 18124: 0.025821608850012563
Position 15766: 0.025534306224870056
Position 15820: 0.023100522147771224
Position 19790: 0.021879624874189242
Position 9744: 0.02101499476039596
Position 15541: 0.02099342930517587
Position 2809: 0.0194337125898545
Position 294: 0.018398244453122773
Position 22474: 0.017565751763815335
Position 9286: 0.017523598708799618
Position 18695: 0.01677297522471608
Position 8776: 0.016406816510277464
Position 18908: 0.015015239602041899
Position 2806: 0.014197859504634347
Position 7810: 0.013736013030658141
Position 7491: 0.012758356300376127
Position 25487: 0.012519537872316975
Position 23472: 0.01230056838632291
Position 5824: 0.011085222089124365
Position 24329: 0.011017464222273794
Position 15439: 0.008277149161931565
Position 23811: 0.008011641373812321
Position 3746: 0.00796599620585542
Position 5560: 0.007883596259940184
Position 16412: 0.007866038785790865
Position 15404: 0.0073410136267103455
Position 8577: 0.007228578896804278
Position 558: 0.0071443347916465005
Position 9548: 0.007120176107049233
Position 2443: 0.00676271602925506
Position 2750: 0.0066460780428872195
