Gene = PSMG3
index = 1092
Annotated 5SS: [870]
Annotated 3SS: [2142]
SMsplice 5SS: [870]
SMsplice 3SS: [2142]
top_k =  1000
Partition function (log Z): -12.248299707679518

Sorted 5' Splice Sites (High to Low Probability):
Position 870: 0.6742744352626621
Position 720: 0.08759221169505561
Position 723: 0.07333748367812241
Position 1487: 0.05496053132593774
Position 727: 0.048963343519696084
Position 2287: 0.041897746872007674
Position 1833: 0.03905163906363938
Position 2269: 0.027903747174981727
Position 1790: 0.022223543491635137
Position 696: 0.017108714506328452
Position 1781: 0.013489771675906963
Position 1305: 0.011968493377995052
Position 699: 0.011720826127842584
Position 2029: 0.00954493156421867
Position 1115: 0.009217838904013356
Position 152: 0.005871241333971088
Position 270: 0.004569405279137457
Position 146: 0.004406740475273869
Position 2278: 0.0038812286567173494
Position 2036: 0.003236964095698222
Position 389: 0.0028557260791920104
Position 759: 0.0028431066013800865
Position 338: 0.0028095168486184535
Position 2039: 0.002364101361776445
Position 701: 0.0021025821550573576
Position 1270: 0.002032059812451414
Position 140: 0.0019901926531893633
Position 906: 0.0018109203212764691
Position 185: 0.0017319940696488654
Position 580: 0.0016203289073641785
Position 259: 0.001249448029560725
Position 822: 0.0012480501299058284
Position 1414: 0.0011085665180299129
Position 1452: 0.0009864362303445753
Position 753: 0.0009302314129706531
Position 849: 0.0006736392311801728
Position 237: 0.0005728871529607758
Position 1601: 0.0005294937889360872
Position 66: 0.0005272294479024635
Position 817: 0.0004134709938383756
Position 672: 0.00037754984203305187
Position 1377: 0.0003512901321794484
Position 256: 0.00033664160627430934
Position 1984: 0.0003333591049144126
Position 2292: 0.00030355303251534466
Position 875: 0.00028522661230118927
Position 30: 0.00027334479598830545
Position 57: 0.00026220881603615867
Position 138: 0.0002594014883868352
Position 1948: 0.00023576045689305185
Position 1187: 0.0002210218661217358
Position 708: 0.00019017325429555862
Position 789: 0.0001597370490174827
Position 471: 0.0001587836335984254
Position 2101: 0.00015814661606120502
Position 756: 0.00010032779364686881
Position 1877: 9.369906726603828e-05
Position 367: 8.917427313047047e-05
Position 2333: 8.317922358953396e-05
Position 1440: 7.177133961302003e-05
Position 1960: 7.045367567250605e-05
Position 2173: 6.941315621004885e-05
Position 1663: 6.752205508191292e-05
Position 1958: 5.8842545267352696e-05
Position 1977: 5.291746510624785e-05
Position 2041: 4.742410281961343e-05
Position 424: 4.487044553222768e-05
Position 401: 2.959030504744536e-05
Position 2499: 2.054491100091463e-05
Position 585: 1.0515046137070393e-05
Position 1264: 7.427577023469248e-06
Position 272: 7.2130708483390645e-06
Position 55: 6.64991846797972e-06
Position 998: 5.643584681412219e-06
Position 60: 5.479488171669647e-06
Position 1016: 4.86754054199635e-06
Position 1052: 4.836457870218399e-06
Position 668: 3.5479081646737663e-06
Position 1966: 3.1990830951193293e-06
Position 552: 2.2373243259039864e-06
Position 2058: 2.003560351194581e-06
Position 533: 1.96465489481779e-06
Position 1808: 1.6969078992426558e-06
Position 455: 1.2769434562932408e-06
Position 1942: 8.042666026362558e-07
Position 411: 2.5076169404500446e-07
Position 539: 5.130273770462057e-08
Position 767: 4.7080592223933494e-08
Position 215: 4.369900898658957e-08
Position 23: 1.0241858896708332e-08
Position 834: 3.676266265257917e-09
Position 450: 1.1231272970491025e-10
Position 725: 2.1464942269962677e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2142: 0.6664375796216943
Position 1886: 0.14267092101437234
Position 1693: 0.055564523465844326
Position 1716: 0.053014490778373564
Position 1396: 0.041858122253269334
Position 2466: 0.04108621426814047
Position 2530: 0.03359258590946548
Position 2166: 0.032955004358987766
Position 1732: 0.012655026086915966
Position 2606: 0.012428336289868233
Position 1861: 0.01220654874234655
Position 1601: 0.007927365088816045
Position 2643: 0.006734857187751285
Position 2498: 0.006000355574526763
Position 1640: 0.005249407317856108
Position 2441: 0.0049095278724544415
Position 719: 0.004797680414975588
Position 2194: 0.004777464712713546
Position 800: 0.0041212165461457385
Position 644: 0.0036627982088827437
Position 1584: 0.0034759826246930484
Position 1709: 0.003398166441716921
Position 2388: 0.0033471327998936666
Position 632: 0.003048861459749388
Position 805: 0.002717699105118193
Position 2445: 0.002557773477107875
Position 2191: 0.0022391939494810814
Position 1674: 0.002135483586712693
Position 1214: 0.002125009812887523
Position 1729: 0.0020569853610234866
Position 2327: 0.0018941129133453543
Position 2488: 0.0017984066102262068
Position 2111: 0.0017244526156448806
Position 1763: 0.00149390492023724
Position 2066: 0.0011043742865572634
Position 1079: 0.0008880991871462383
