Gene = SLC35B4
index = 1267
Annotated 5SS: [  377  7686 10380 12247 15023 15291 16900 17529 20661]
Annotated 3SS: [ 7571 10276 12196 14940 15229 16789 17452 20584 21971]
SMsplice 5SS: [  377 10380 12427 15023 16900 17529]
SMsplice 3SS: [10276 12376 14940 16789 17452 25874]
top_k =  1000
Partition function (log Z): 3.0246479934341353

Sorted 5' Splice Sites (High to Low Probability):
Position 10380: 0.9892073066304969
Position 17529: 0.9732901566416311
Position 16900: 0.9464854421703526
Position 12427: 0.8829349905629464
Position 15023: 0.863195095881023
Position 377: 0.7921983805265345
Position 7686: 0.45125944862083966
Position 4518: 0.4054779621927876
Position 21972: 0.34368180274111665
Position 18049: 0.33217725270848
Position 20784: 0.2423700921491225
Position 12247: 0.22643719543570737
Position 20855: 0.18380125160624172
Position 1818: 0.15800196509041392
Position 9978: 0.14575103216739918
Position 22231: 0.14365844476161096
Position 2013: 0.10208780591064877
Position 20661: 0.09628454619005113
Position 26: 0.08305494123704292
Position 3310: 0.07281423613332515
Position 17055: 0.06514307804503532
Position 6115: 0.06157783321204987
Position 6976: 0.06088102823952441
Position 196: 0.05898418066477058
Position 248: 0.05187066473744721
Position 25132: 0.050938714211164166
Position 8076: 0.04647966091473007
Position 20702: 0.0420742102404844
Position 25452: 0.037369808751885086
Position 9182: 0.036982217455290754
Position 4485: 0.0361668595986215
Position 11400: 0.03568097826773372
Position 22273: 0.0335192002094065
Position 10836: 0.02878650044351789
Position 17367: 0.019577248689794338
Position 15020: 0.019555801004577416
Position 17290: 0.019150167388242892
Position 2317: 0.01825191401782957
Position 174: 0.017985672267615237
Position 7460: 0.013867633684083936
Position 1801: 0.01245840796401746
Position 20859: 0.011641661175935462
Position 3798: 0.01159075803935098
Position 22057: 0.011400153163933368
Position 9940: 0.009976314812805906
Position 16637: 0.009606581107685216
Position 17981: 0.009452007818200577
Position 15487: 0.009029467909914412
Position 14206: 0.009020846116726376
Position 10472: 0.0089999551389455
Position 10965: 0.008989463674132074
Position 19308: 0.008867678580711249
Position 9100: 0.008623875293985188
Position 22187: 0.008193667853578442
Position 20851: 0.007364944491536354
Position 22714: 0.007332712272289701
Position 7691: 0.006800442105842481
Position 32: 0.006282776921274185
Position 6691: 0.005894138030946292
Position 16790: 0.005431855017540935
Position 3314: 0.005213508124154988
Position 19972: 0.004685109841884034
Position 1796: 0.004535549423835674
Position 242: 0.004379894905703943
Position 2774: 0.004372747206206196
Position 18261: 0.004206252979447823
Position 7916: 0.00382656121573893
Position 4532: 0.0037947844381474656
Position 713: 0.0037181121139811084
Position 18377: 0.0033191063680568897
Position 346: 0.0031401292700142885
Position 18911: 0.0028912605479564537
Position 23902: 0.002844361320869622
Position 12273: 0.002808324663783492
Position 16926: 0.002742247475007787
Position 1524: 0.002728617698750703
Position 23010: 0.0025334870948104465
Position 6714: 0.00234646901349723
Position 25468: 0.0022056686897650815
Position 16993: 0.0021549735838841603
