Gene = WLS
index = 1573
Annotated 5SS: [  360 38599 73431 77455 79037 82366 83991 84418 86685 87985 94774]
Annotated 3SS: [ 38325  73305  77292  78899  82196  83892  84353  86540  87900  94619
 106217]
SMsplice 5SS: [  360 11616 38405 41277 73431 73751 77455 82366 82924 83991 84136 84418
 87985 94774]
SMsplice 3SS: [ 11532  38325  41152  73305  73508  77292  82196  82769  83892  84056
  84353  87900  94619 106719]
top_k =  1000
Partition function (log Z): -47.12093264903612

Sorted 5' Splice Sites (High to Low Probability):
Position 360: 0.9754628836221659
Position 11616: 0.9275929462964704
Position 4395: 0.4105375747072709
Position 12978: 0.40789302461369803
Position 2617: 0.3888624329413025
Position 8498: 0.23263498764357027
Position 11423: 0.19538020986706275
Position 14013: 0.12478059833374593
Position 4404: 0.08111403035448389
Position 3391: 0.07273640541434341
Position 4333: 0.05463037707451364
Position 9424: 0.052205232276309764
Position 966: 0.048355294885765523
Position 12404: 0.04812501690394978
Position 11413: 0.04535761524741964
Position 987: 0.02523415065761873
Position 2545: 0.023911274660962368
Position 1489: 0.023665716455302396
Position 6713: 0.019013142218182347
Position 9192: 0.018785032585046057
Position 13895: 0.017970989358707536
Position 17532: 0.016842176615038743
Position 3023: 0.01664959141053121
Position 1314: 0.015884286057708117
Position 2472: 0.015824389649788065
Position 16161: 0.01566825088586845
Position 2626: 0.012684953085330273
Position 7501: 0.012096226447606818
Position 13763: 0.011771666571266028
Position 1217: 0.011411573453361943
Position 9174: 0.00830240440020823
Position 181: 0.0078046444376286
Position 9168: 0.006662450503866367
Position 344: 0.006490007669720062
Position 16036: 0.0053338063644230715
Position 2896: 0.004201661078810111
Position 11237: 0.003740346801646432
Position 2506: 0.0034515748981245216
Position 992: 0.003226066375305639
Position 6949: 0.002456036092381087
Position 2335: 0.0023337215818490277
Position 6786: 0.002253536707683993
Position 14219: 0.002011539826004206
Position 4594: 0.0019576558435142064
Position 4775: 0.001619168139788328
Position 9493: 0.0015833587460941736
Position 177: 0.0015175254182214456
Position 9233: 0.0014870878235377688
Position 851: 0.0014478583538518111
Position 9821: 0.0013863932395303787
Position 2606: 0.0011290214645013133
Position 14066: 0.000823228743581006
Position 854: 0.0007594714492335246
Position 1738: 0.0007060319119876295
Position 364: 0.0007036739477874983
Position 7034: 0.0005693398133278535
Position 306: 0.0004975831222646444
Position 2285: 0.0004852650595621171
Position 2395: 0.00039065377550283434
Position 1049: 0.0002703410830921479
Position 302: 0.0002651469206486466
Position 890: 0.00023767890207226222
Position 581: 0.00023406142858195807
Position 139: 0.00020091848366456583
Position 85: 0.00017485543530925337
Position 1144: 0.00017410985578998096
Position 1065: 0.00015234063840842315
Position 3055: 9.476821166299202e-05
Position 179: 9.392602429790105e-05
Position 1002: 8.229222964284553e-05
Position 1592: 8.068312635838339e-05
Position 1723: 7.743595887216648e-05
Position 1076: 6.96209054008125e-05
Position 2424: 6.765778121123721e-05
Position 6309: 5.3094751798975474e-05
Position 2165: 4.9937914693755546e-05
Position 867: 4.906840648699134e-05
Position 1007: 4.717231465513221e-05
Position 1693: 4.670672525774481e-05
Position 2187: 4.039126853462397e-05
Position 1494: 2.6606504465257377e-05
Position 2331: 2.3259683806568906e-05
Position 2534: 2.0465072046876953e-05
Position 975: 1.9925231661274507e-05
Position 1773: 1.97481788590077e-05
Position 106: 1.2503377197628206e-05
Position 443: 8.747714549753845e-06
Position 5851: 7.166762453990432e-06
Position 669: 5.97965478443986e-06
Position 760: 4.292877712681809e-06
Position 616: 1.7550437401236621e-06
Position 801: 1.3711110892650425e-06
Position 564: 4.1195547968339195e-07
Position 1859: 3.3589766094985504e-07
Position 295: 2.87632772187334e-07
Position 517: 2.8308254257857536e-07
Position 100: 2.1954819209214272e-07
Position 661: 1.2911225610808238e-07
Position 485: 1.1874191399183733e-07
Position 8: 1.1060433520839157e-07
Position 729: 1.0397338265418932e-07
Position 790: 4.6139213721517294e-08
Position 537: 4.2134921442397656e-08
Position 474: 3.456690916134352e-08
Position 1040: 1.7220934873829815e-08
Position 1985: 1.5997730166936872e-08
Position 904: 1.3371527084078853e-08
Position 1369: 1.2128207676001935e-08
Position 1150: 8.530313452180576e-09
Position 322: 7.46037869332105e-09
Position 320: 4.218020592452902e-09
Position 575: 3.951422217612952e-09
Position 1017: 2.8279514561976933e-09
Position 1103: 4.818322924171684e-10
Position 532: 1.040835769678164e-10
Position 826: 4.480179102440403e-11
Position 437: 1.751955919147227e-11
Position 396: 5.817512832373807e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 11532: 0.9725208810014571
Position 4297: 0.44346836708212384
Position 2532: 0.40378846892997594
Position 12896: 0.3864113229139618
Position 25473: 0.34355589353572336
Position 11318: 0.24298330803263393
Position 8355: 0.13442858290400891
Position 18374: 0.10663724389793618
Position 8408: 0.09942069026154407
Position 13847: 0.09418016535513554
Position 17441: 0.0812855618559496
Position 13798: 0.06732553348641684
Position 15975: 0.06149336748452903
Position 22246: 0.056188455685904054
Position 4214: 0.051475154408509645
Position 3291: 0.051381285479697725
Position 26996: 0.05110690347760172
Position 12268: 0.048187234392212376
Position 9030: 0.048093361208451056
Position 9282: 0.04634243261317069
Position 744: 0.038885054354226706
Position 2352: 0.032056404483340066
Position 15838: 0.029049654915185935
Position 13750: 0.026959198659179392
Position 12842: 0.025815925372340367
Position 16993: 0.02347404224149309
Position 4228: 0.02212883549135758
Position 14484: 0.021451308118318274
Position 23360: 0.02123458020537444
Position 880: 0.021074320198741243
Position 20504: 0.017032508767045533
Position 21804: 0.016930722925372094
Position 1180: 0.016839591390846856
Position 3145: 0.016399057793142786
Position 6417: 0.014271753777391481
Position 11824: 0.013935241372504355
Position 13701: 0.013399302910116744
Position 776: 0.012451994901005334
Position 7405: 0.012351941079485762
Position 6681: 0.011157743944384079
Position 1129: 0.010631786074742553
Position 16463: 0.010574511370380915
Position 1430: 0.010384418361124857
Position 4046: 0.01031277107990012
Position 14459: 0.009755137358100257
Position 2930: 0.009022867797842636
Position 11745: 0.00813566445080946
Position 1216: 0.007175291793384972
Position 4369: 0.006743695125978772
Position 2238: 0.006654307993722669
Position 17479: 0.006156995438857274
Position 10979: 0.005813583193161741
Position 12678: 0.005813521602299924
Position 13679: 0.005147302147625498
Position 13809: 0.005019041268504441
Position 2769: 0.004868076260012099
Position 17885: 0.004719290674241193
Position 15389: 0.003971190425811644
Position 14130: 0.0039003999341900237
Position 16160: 0.003858701713357573
Position 1206: 0.003542908864714924
Position 4523: 0.0033637927292936107
Position 4247: 0.0029846883398659324
Position 4211: 0.002978333605709681
Position 2862: 0.002950214205608414
Position 15031: 0.002400726842735296
Position 12040: 0.002352574428100786
Position 4275: 0.0023073797530825386
Position 17621: 0.002075624782366044
Position 4169: 0.0020507408258248665
Position 15645: 0.0020269110223181687
Position 13370: 0.0019204439531450644
Position 11785: 0.00191544714856187
Position 3330: 0.0018508980505684222
Position 2196: 0.0017803674678334722
Position 2110: 0.0017070161422957277
Position 3188: 0.0016625045844124544
Position 17391: 0.0013962832418945913
Position 9663: 0.001386393239530376
Position 2576: 0.0012227885141330311
Position 1246: 0.0011768155300259954
Position 2751: 0.0010781231670023645
Position 3148: 0.0010711847587891335
Position 13642: 0.0010390802129656785
Position 2427: 0.0009534136849764463
Position 14049: 0.0009310673403504009
Position 2825: 0.0009027907083614173
Position 2424: 0.0008956866900337407
Position 965: 0.0008251925085779727
Position 13043: 0.0008120022428698699
Position 4180: 0.0007898043713010319
Position 17314: 0.0007872540792698337
Position 2373: 0.0007453897024068108
Position 2284: 0.0006376752686225479
Position 4191: 0.0006351060138832377
Position 9325: 0.0005504293637533043
Position 833: 0.000505245431419274
Position 272: 0.0005051811974382564
Position 4394: 0.00048086120866517825
Position 12513: 0.00046532871551323144
Position 4698: 0.00042151293787744576
Position 2451: 0.00038852477376944886
Position 1305: 0.00035334010044618056
Position 2704: 0.0003502666534572251
Position 13194: 0.0003421821171602467
Position 11886: 0.00034030835084641545
Position 1686: 0.00032314303482677413
Position 443: 0.00026201604385816916
Position 1472: 0.0002517735987312178
Position 3377: 0.00019569546638111975
Position 5091: 0.00017086833361774732
Position 13249: 0.00014258286581405965
Position 2377: 0.00013506080715159954
Position 2159: 0.00012100041840491166
Position 3229: 0.00012099943318231012
Position 5516: 0.00011949022161049747
Position 226: 0.00011335230935503335
