Gene = S100PBP
index = 1222
Annotated 5SS: [  158  7988  9489 10640 12626 35725]
Annotated 3SS: [ 7870  8655 10550 12521 35636 38481]
SMsplice 5SS: [   41  9489 10640 10916 35725 37967]
SMsplice 3SS: [ 9384 10553 10709 35636 37829 39889]
top_k =  1000
Partition function (log Z): -18.759467767646537

Sorted 5' Splice Sites (High to Low Probability):
Position 10916: 0.9217722136304046
Position 10640: 0.8684159237555618
Position 9489: 0.7051313683713041
Position 12626: 0.6047525278039579
Position 4804: 0.35901564402730013
Position 41: 0.33214914559151393
Position 34: 0.27520922402051917
Position 16714: 0.2417519571898956
Position 8890: 0.15365690392641645
Position 8803: 0.14606208140226776
Position 8808: 0.14447567063776168
Position 15200: 0.129257105233485
Position 248: 0.12283931370966926
Position 158: 0.1128506090038799
Position 405: 0.05095361174375973
Position 13261: 0.050443988773277555
Position 8507: 0.040281931908888825
Position 14938: 0.03635867712928023
Position 14945: 0.031547964238867805
Position 16: 0.029394150529441172
Position 13269: 0.02823166978125454
Position 10969: 0.026307597745099005
Position 7988: 0.025948527556057706
Position 1729: 0.021337754846866765
Position 167: 0.014267112504437263
Position 272: 0.011619469306771846
Position 728: 0.010249998291872868
Position 12634: 0.010164754916530476
Position 4744: 0.009504228171367465
Position 1014: 0.009257250030278174
Position 8044: 0.009182626263519537
Position 11419: 0.009012454967026422
Position 904: 0.008690063957722883
Position 11685: 0.008608342519885522
Position 10749: 0.007986247266551923
Position 4738: 0.006988530047959113
Position 8237: 0.005796295915219903
Position 3158: 0.005525146404284892
Position 3783: 0.00495506662717722
Position 15509: 0.004745975918991242
Position 1431: 0.004328704399673073
Position 7875: 0.0038594055425994005
Position 5420: 0.003751562981595021
Position 6004: 0.0035542365389392987
Position 120: 0.0033084141014514995
Position 12295: 0.002935454785078677
Position 99: 0.0025789860061527785
Position 633: 0.0022927491421316807
Position 1626: 0.0018839380555837624
Position 10645: 0.0018487271705596566
Position 4477: 0.0015279051651476221
Position 14675: 0.0014986240437424906
Position 11464: 0.0013405837360765387
Position 13079: 0.0012076923400155186
Position 891: 0.0010573320889319475
Position 9509: 0.0010507208298653407
Position 18138: 0.0009596201647793432
Position 1589: 0.0009152238201481813
Position 12896: 0.0008934858949895736
Position 14128: 0.0008498799363840877
Position 1512: 0.0008097738758421533
Position 10798: 0.0006367085423044543
Position 681: 0.0006311385764109022
Position 12951: 0.00032973069507026396
Position 13929: 0.00018496717469690835
Position 1386: 0.00018367614253138475
Position 12859: 0.0001092571344063164
Position 3162: 7.345870234962e-05
Position 7585: 6.892450016669541e-05
Position 6423: 6.19776831251131e-05
Position 3849: 5.543885969642027e-05
Position 1612: 4.5029741381487314e-05
Position 4510: 2.5462926411245332e-05
Position 4958: 2.1008520841360742e-05
Position 6542: 1.980754519108469e-05
Position 872: 1.6406874014260385e-05
Position 546: 1.1768727827742531e-05
Position 204: 1.1495806147699597e-05
Position 25: 5.102198745048731e-06
Position 136: 2.9749402802356637e-06
Position 496: 2.904486167411688e-06
Position 443: 1.474981336967779e-06
Position 1187: 1.3651916913903766e-06
Position 1063: 1.1946568934211086e-06
Position 13756: 1.1752355844461599e-06
Position 999: 1.1276686155703848e-06
Position 540: 8.581098924731963e-07
Position 1023: 3.658431561676071e-07
Position 326: 2.689620918354683e-07
Position 1179: 2.630844905510258e-07
Position 1072: 2.386181730482624e-07
Position 508: 2.2207767582457024e-07
Position 138: 1.6158123419091305e-07
Position 960: 1.2257592810983447e-07
Position 521: 1.1166162327224137e-07
Position 217: 1.0715079818165008e-07
Position 684: 1.0350840277366582e-07
Position 987: 9.02870300256887e-08
Position 1675: 9.753922469346003e-09
Position 4023: 8.671832046919384e-09
Position 1697: 8.35036689642229e-09
Position 2254: 7.323842534285826e-09
Position 5371: 5.754145509602096e-09
Position 214: 5.571044087880812e-09
Position 2492: 5.414872753050103e-09
Position 804: 4.666696576062331e-09
Position 338: 2.128110297356846e-09
Position 624: 1.906039034200213e-09
Position 528: 3.170468325550747e-10
