Gene = NSA2
index = 963
Annotated 5SS: [ 372 2127 2373 3819 7069]
Annotated 3SS: [1938 2221 3638 6875 9611]
SMsplice 5SS: [ 372 2127 2373 3819 7069]
SMsplice 3SS: [1938 2221 3638 6875 9611]
top_k =  1000
Partition function (log Z): 3.6755055226837086

Sorted 5' Splice Sites (High to Low Probability):
Position 2127: 0.9982614705791033
Position 2373: 0.9921510395446819
Position 372: 0.9075338303699346
Position 3819: 0.8945884594596397
Position 10481: 0.6365224421171002
Position 1828: 0.6253355511837098
Position 7069: 0.5940000760774213
Position 7003: 0.2619480515587394
Position 5430: 0.21822643895991234
Position 10983: 0.2059443049132021
Position 6102: 0.07637094773555585
Position 6062: 0.04433665056975041
Position 9932: 0.04102149474185274
Position 9801: 0.04056578660740044
Position 8484: 0.03163004624580297
Position 454: 0.031537858936370886
Position 1250: 0.02899377628005982
Position 10074: 0.02461003876522124
Position 4646: 0.02015440282542554
Position 559: 0.018551428280552982
Position 4641: 0.016701117380273172
Position 3666: 0.01499708820310095
Position 3126: 0.014390258000863203
Position 7023: 0.012103259823397506
Position 447: 0.011147085583329962
Position 1744: 0.010175982844199825
Position 9998: 0.009015063887724717
Position 4055: 0.008998296001237598
Position 839: 0.008780860389636581
Position 8043: 0.00820293431904076
Position 414: 0.007163054981092455
Position 3561: 0.006649422679635787
Position 3851: 0.006562214072833906
Position 1422: 0.006504853562514273
Position 1262: 0.006301369395268241
Position 8083: 0.006218027218101974
Position 1136: 0.005731495961022063
Position 3508: 0.004491909501501031
Position 9739: 0.004406598897156925
Position 2604: 0.0042654321991090005
Position 1242: 0.004215579662364944
Position 254: 0.004141134769691884
Position 4804: 0.0038749091794165816
Position 11159: 0.0034830299511885527
Position 7803: 0.0033743937927387105
Position 464: 0.0031242658212581715
Position 8229: 0.003075588887034561
Position 3531: 0.002806333776780468
Position 2917: 0.0024617575946920033
Position 11090: 0.0023893653376622173
Position 3374: 0.0022072834958462187
Position 2331: 0.0020667698543888643
Position 1330: 0.00183013654867991
Position 7471: 0.0016475970444924885
Position 1412: 0.0015705725786580949
Position 9029: 0.0015459878690438566
Position 8166: 0.001465095250524094
Position 3112: 0.0013444449023548338
Position 10199: 0.0011806495877991188
Position 1144: 0.0011742377206435733
Position 6211: 0.0010827930163641566
Position 7017: 0.001073228689791801
Position 3377: 0.0010186037605901125
Position 7554: 0.0009595156690557121
Position 2985: 0.0008990808604438712
Position 500: 0.0008912091281761844
Position 3837: 0.0008157201974456903
Position 68: 0.0006890429399697591
Position 1103: 0.0006415611431138608
Position 38: 0.0006222661417960027
Position 3206: 0.0005586289343474879
Position 3023: 0.0005194777123455521
Position 10823: 0.0005007620593651098
Position 11352: 0.0004746514277289624
Position 3283: 0.00040251379053072884
Position 1199: 0.000380097807258849
Position 726: 0.0003792838041939301
Position 1795: 0.000342182772776023
Position 4544: 0.00029783175287867024
Position 1369: 0.0002967595628061899
Position 8560: 0.000288124589034412
Position 1811: 0.00028477875744003405
Position 6275: 0.0002831131706880467
Position 513: 0.00027597739313559234
Position 2435: 0.00020672559773672307
Position 3198: 0.0001959321804215149
Position 1832: 0.00019547229273698632
Position 2066: 0.000191846666808505
Position 3158: 0.00018842912120069281
Position 8626: 0.00017929421745986712
Position 292: 0.0001723985427061704
Position 2039: 0.0001214979863435056
Position 1854: 0.0001002909935861931
Position 2789: 9.948379810143399e-05
Position 3522: 9.706198315747576e-05
Position 8154: 9.224068501233974e-05
Position 282: 8.623209980645577e-05
Position 223: 8.429933666266316e-05
Position 1571: 8.36402945712141e-05
Position 7840: 7.711589734466747e-05
Position 6225: 7.027543617864058e-05
Position 4501: 6.676893814593422e-05
Position 943: 5.226071652518327e-05
Position 1867: 5.0029805358657494e-05
Position 2544: 4.911613518935198e-05
Position 143: 4.72146513513637e-05
Position 910: 3.809924180462595e-05
Position 2021: 3.634053351133136e-05
Position 7920: 3.3183753340450226e-05
Position 3155: 3.1641819073826536e-05
Position 9103: 2.9882723999271426e-05
Position 1377: 2.8427021520947507e-05
Position 939: 2.8018551171484245e-05
Position 220: 2.2315381136719206e-05
Position 1436: 2.150165144619802e-05
Position 958: 2.0396496231492515e-05
Position 9058: 1.9655012543533284e-05
Position 3753: 1.91897969590291e-05
Position 8923: 1.7460422438602378e-05
Position 7200: 1.650887314637252e-05
Position 3923: 1.4534450800579898e-05
Position 461: 1.3133896099965186e-05
Position 7924: 1.3125460266468842e-05
Position 1154: 1.30046225032295e-05
Position 3524: 1.2738925561839637e-05
Position 3744: 1.267938686267061e-05
Position 2731: 1.2257582818475467e-05
Position 2131: 1.1780819474187605e-05
Position 2708: 1.0693435537457205e-05
Position 1177: 1.0631609458765085e-05
Position 2157: 1.002535518407558e-05
Position 1635: 9.852436762662197e-06
Position 7759: 9.830964940110694e-06
Position 4073: 9.62730518785424e-06
Position 408: 9.461431829675157e-06
Position 3002: 8.728638917859618e-06
Position 3208: 8.51553849722222e-06
Position 2508: 7.616474721225613e-06
Position 141: 7.453125279636534e-06
Position 2286: 7.057867677218185e-06
Position 2134: 6.902847541574778e-06
Position 21: 6.274863705506959e-06
Position 2828: 6.182038509795234e-06
Position 859: 6.1555303926071125e-06
Position 1260: 5.905158126067277e-06
Position 418: 5.812935906574995e-06
