Gene = SPATA31D3
index = 1302
Annotated 5SS: [ 272 1074 1733 5757]
Annotated 3SS: [ 1027  1671  2046 50920]
SMsplice 5SS: [  272 15891 21658 34369 35330 42688 44115]
SMsplice 3SS: [15662 21574 34082 35245 42588 44035 44195]
top_k =  1000
Partition function (log Z): -25.720227375675996

Sorted 5' Splice Sites (High to Low Probability):
Position 272: 0.9211567340498694
Position 1947: 0.7483327904762923
Position 2138: 0.6091245568683542
Position 15891: 0.5199334431230465
Position 1733: 0.49012186383443823
Position 1074: 0.202467949776185
Position 544: 0.1652847764279497
Position 6941: 0.051451229990413246
Position 3791: 0.04772530077289277
Position 1422: 0.04735033348761843
Position 7689: 0.03685580644353262
Position 1966: 0.02050839795680177
Position 183: 0.009265347874402275
Position 7907: 0.008842882401616075
Position 989: 0.008585844950278861
Position 526: 0.006979518524022602
Position 354: 0.006677637292017728
Position 6626: 0.005415354642521189
Position 8375: 0.004729759171973103
Position 282: 0.0035943201693071987
Position 8170: 0.0032443732557282455
Position 29: 0.0028511072798404857
Position 221: 0.0025413216599547454
Position 5686: 0.0024388012902920655
Position 5587: 0.0016102085593293557
Position 4382: 0.0014807459268174573
Position 672: 0.001290552295711634
Position 6895: 0.0009220132189558099
Position 187: 0.0008531259741529959
Position 286: 0.0007781458517061232
Position 457: 0.0007473313014632058
Position 1106: 0.0006825558548358799
Position 424: 0.0005697856477997686
Position 6154: 0.0005668116449643197
Position 5656: 0.0005655261181601454
Position 735: 0.0004934937639402248
Position 8165: 0.0004591075742599912
Position 1288: 0.0004179767500053975
Position 1158: 0.00036311469489830187
Position 6666: 0.00035668800538225017
Position 1342: 0.000345756209119452
Position 2745: 0.00033824756631789624
Position 1927: 0.00031576139178027306
Position 1922: 0.00031053016359109173
Position 1384: 0.00021044751553527213
Position 3476: 0.0001707512936215642
Position 3453: 0.00016227419203079587
Position 809: 0.00011792500578355439
Position 1477: 0.00011371568445766477
Position 1447: 9.290637135342394e-05
Position 1275: 6.562970039206992e-05
Position 1971: 6.557094272184774e-05
Position 1079: 6.278658202047071e-05
Position 150: 5.520875750683421e-05
Position 205: 5.467912518780621e-05
Position 980: 5.4610348170157995e-05
Position 435: 4.847151180904665e-05
Position 193: 3.546048778269642e-05
Position 441: 1.572780537110937e-05
Position 358: 1.3438895347151843e-05
Position 654: 9.664869691633669e-06
Position 1869: 5.549749728197783e-06
Position 349: 3.633807191040714e-06
Position 20: 3.6163132714090775e-06
Position 585: 3.275251174222625e-06
Position 7: 3.0765067713784943e-06
Position 1450: 2.445241693960085e-06
Position 769: 2.2121750966242447e-06
Position 751: 1.9020019673201338e-06
Position 467: 1.2991372200933484e-06
