Gene = PPP6C
index = 1065
Annotated 5SS: [  175 18734 28978 31578 35913 36286]
Annotated 3SS: [18637 28911 31435 35832 36075 39896]
SMsplice 5SS: [  175 17910 18544 18734 28978 31578 35913 36286]
SMsplice 3SS: [17816 18423 18637 28874 31435 35832 36075 39931]
top_k =  1000
Partition function (log Z): -1.798449783208393

Sorted 5' Splice Sites (High to Low Probability):
Position 175: 0.9916882567176792
Position 18734: 0.9521328507489567
Position 9643: 0.9302017179272215
Position 36286: 0.8923208471142261
Position 17910: 0.8757263394966962
Position 35913: 0.8704915737957909
Position 31578: 0.8491320429115196
Position 18544: 0.7847326522356394
Position 28978: 0.6549929555314712
Position 37569: 0.5207809351798016
Position 35939: 0.12795598553776927
Position 29449: 0.12556222747175258
Position 24545: 0.060944607013831094
Position 36254: 0.05000776344212606
Position 18844: 0.04786713639659402
Position 41357: 0.04777975120811917
Position 41330: 0.046125623700398896
Position 928: 0.04000662887532077
Position 24547: 0.03808489009264936
Position 23871: 0.03668424001412998
Position 39778: 0.020648335925844453
Position 38944: 0.020325548308556214
Position 26850: 0.01527445665213188
Position 37592: 0.014680554751599347
Position 26866: 0.01345419055864101
Position 11569: 0.012059770264297163
Position 2120: 0.011636376176882344
Position 40056: 0.01074508422728429
Position 2384: 0.01022959656633259
Position 40535: 0.009765795905880332
Position 900: 0.009764739347862119
Position 15716: 0.009569890711207986
Position 639: 0.009460284119923123
Position 33786: 0.009257660508905441
Position 661: 0.009098838328651384
Position 20899: 0.008667341389690645
Position 39990: 0.008370239169653848
Position 768: 0.007346764692160247
Position 32680: 0.006321029127269386
Position 123: 0.006151515730554341
Position 629: 0.006059000877831034
Position 36274: 0.005970125823540708
Position 34619: 0.0043032921589601595
Position 679: 0.0041448547617013234
Position 950: 0.003971585017344835
Position 5387: 0.0038867869820626726
Position 36671: 0.00384610637310125
Position 37412: 0.0038023244142806607
Position 11590: 0.0027673807304424364
Position 785: 0.002754858789979786
Position 4962: 0.002699650837728912
Position 940: 0.0026158524209755236
Position 37588: 0.0022216046726670742
Position 6658: 0.0020342085080916226
Position 10016: 0.001964733265925097
Position 38358: 0.0019038351986890916
Position 31562: 0.0018183798915457283
Position 36204: 0.0017847495080569944
Position 8251: 0.0016764381757271298
Position 37508: 0.001619387004630088
Position 41891: 0.0014653944689246696
Position 9619: 0.0014549204389283363
Position 38914: 0.0011624087105424168
Position 11553: 0.0010794965887336364
Position 36199: 0.0010719777631437615
Position 40625: 0.0009506623264616289
Position 31977: 0.0008524567427138487
Position 36432: 0.0008327376932954878
Position 36497: 0.0007515348292464752
Position 20390: 0.0007506087844915295
Position 331: 0.0007480660477981885
Position 28946: 0.0007037432041654777
Position 36309: 0.0006494966942466512
Position 30069: 0.0006490597199766588
Position 39984: 0.0006436086663182257
Position 36512: 0.0005981686043080107
Position 364: 0.0005879572971501422
Position 563: 0.0005298444797672533
Position 20907: 0.0004820669001989731
Position 257: 0.0004783354826050432
Position 373: 0.000465739913430685
