Gene = U2SURP
index = 1516
Annotated 5SS: [  135  9321 10815 12871 14833 15437 18498 19155 19847 20017 21124 21526
 22480 25715 26868 27108 31408 31812 33437 34566 35797 36665 37422 41738
 49511 52256 53581]
Annotated 3SS: [ 9275 10682 12771 14717 15302 18429 19059 19810 19933 20957 21313 22435
 25609 26800 26943 31244 31731 33348 34442 35639 36568 37354 41577 49399
 52136 53403 54772]
SMsplice 5SS: [  135 10835 12871 14833 15437 18498 19155 20017 21124 21526 25715 26868
 27108 33437 34566 35797 36665 37422 41738 41986 49511 52256 53581]
SMsplice 3SS: [10682 12771 14717 15302 18429 19059 19933 20957 21313 25609 26800 26943
 33348 34442 35639 36568 37354 41577 41852 49399 52136 53403 54772]
top_k =  1000
Partition function (log Z): 28.543258059022556

Sorted 5' Splice Sites (High to Low Probability):
Position 21124: 0.9934490951384191
Position 37422: 0.9909337317265206
Position 25715: 0.9898101377991755
Position 33437: 0.9844116719030833
Position 36665: 0.9611141396231287
Position 49511: 0.9417705817940215
Position 14833: 0.9314825663575033
Position 15437: 0.9163182351125745
Position 20017: 0.8960550891812504
Position 18498: 0.8884693368367695
Position 35797: 0.8864764764150593
Position 53581: 0.8855494239250912
Position 21526: 0.8743428063115207
Position 19155: 0.8598590890587837
Position 34566: 0.8050984331941077
Position 135: 0.7895166675973447
Position 41738: 0.7875165747603236
Position 52256: 0.7539204768011412
Position 12871: 0.7420775957602921
Position 9665: 0.685380298390857
Position 10835: 0.5993824527042927
Position 41986: 0.5555739304022314
Position 27108: 0.5062868424573431
Position 54591: 0.4562890660334086
Position 9321: 0.4135979727853707
Position 31812: 0.39836934012053554
Position 30952: 0.3856268670751268
Position 10815: 0.3546841481666271
Position 31408: 0.30971506138820687
Position 54878: 0.29178684103811225
Position 34777: 0.27568601872883336
Position 14003: 0.25408343186573307
Position 54970: 0.24275992280175207
Position 53840: 0.2307565347601792
Position 155: 0.2063446225317008
Position 35428: 0.2047686825911902
Position 31148: 0.1904329029503554
Position 57600: 0.17065015320481486
Position 53785: 0.16128326758939354
Position 10429: 0.15117892051700252
Position 4093: 0.13205392697235152
Position 31859: 0.13005467830828507
Position 36966: 0.12720573114768538
Position 23297: 0.11862187803341316
Position 56030: 0.10712749961237225
Position 19847: 0.09729677047766892
Position 10485: 0.09478747213881096
Position 37176: 0.08641300608597308
Position 38816: 0.07856992390500304
Position 24703: 0.07373674682754215
Position 48104: 0.07291230038240717
