Gene = MCL1
index = 822
Annotated 5SS: [ 748 1347]
Annotated 3SS: [1098 2098]
SMsplice 5SS: [ 443  748 1347 2223]
SMsplice 3SS: [ 558 1098 2098 3764]
top_k =  1000
Partition function (log Z): -1.7041261782527504

Sorted 5' Splice Sites (High to Low Probability):
Position 748: 0.9546334208478126
Position 443: 0.818350355906591
Position 1347: 0.7897858946840246
Position 2223: 0.760850301811679
Position 3164: 0.25760590236397096
Position 1305: 0.12533054616288586
Position 3932: 0.04564282672065675
Position 3929: 0.03092713632170461
Position 84: 0.022962696892567202
Position 1182: 0.019570646813865018
Position 2172: 0.019350238407183792
Position 662: 0.011137772636558607
Position 3972: 0.010575116611857028
Position 2499: 0.008908320506267744
Position 1521: 0.0066413000769975665
Position 2193: 0.003725852088666475
Position 611: 0.003654371913204486
Position 511: 0.0030678889161132716
Position 1414: 0.003065057050854796
Position 3139: 0.002632722451230183
Position 4: 0.0024670635927301165
Position 1155: 0.0024562806947678218
Position 3280: 0.002348326455560601
Position 4282: 0.002206819289892412
Position 3095: 0.0021172624960338264
Position 2667: 0.001922440427786077
Position 2183: 0.0018196433760288273
Position 1029: 0.001785216496460906
Position 960: 0.001735466394414646
Position 1965: 0.0016415480608979339
Position 2952: 0.001453389995174499
Position 1793: 0.0013995541305999982
Position 1734: 0.0013444350388059113
Position 3464: 0.0013294463266333996
Position 3591: 0.001273739188656587
Position 4149: 0.001157795856327614
Position 2296: 0.0011430388050332862
Position 1664: 0.0009423474361062944
Position 2139: 0.0009102766247190165
Position 2843: 0.0008915694835292264
Position 1288: 0.0008033747598915985
Position 978: 0.000716201691248027
Position 225: 0.0005281621530297107
Position 494: 0.0004621174093944497
Position 523: 0.0004073245085505585
Position 1849: 0.0003935865893974983
Position 819: 0.00037954167665700083
Position 1430: 0.0003589610505856309
Position 998: 0.00035298467274294645
Position 2888: 0.00033894205371838375
Position 3261: 0.00032557793992803847
Position 2650: 0.0003246990507749452
Position 1203: 0.00030914792799304993
Position 1892: 0.00030140057307933535
Position 1329: 0.00028560304787459404
Position 705: 0.0002813114304107516
Position 4001: 0.00024526386123535285
Position 1222: 0.00023220705025653237
Position 1008: 0.0002159305088039139
Position 3546: 0.0002147129346039017
Position 315: 0.00020497433647111705
Position 2894: 0.00017206758018538037
Position 2104: 0.00016512977728584986
Position 106: 0.00013433329390300986
Position 4483: 0.00012471897182760389
Position 1857: 0.00010360717755107119
Position 840: 9.989711256546118e-05
Position 3944: 8.388923238395731e-05
Position 3179: 8.250975084163255e-05
Position 1887: 7.881973040711721e-05
Position 1137: 7.868947817687936e-05
Position 1148: 7.377278764381592e-05
Position 756: 6.833814507591388e-05
Position 498: 6.792315406127075e-05
Position 2428: 4.378367959084899e-05
Position 1816: 3.433473149824717e-05
Position 983: 3.4132636904716105e-05
Position 1539: 3.3156164994564295e-05
Position 993: 3.301871013717076e-05
Position 1796: 2.4722255124801034e-05
Position 1351: 2.0428562017155343e-05
Position 1692: 1.9493249750295766e-05
Position 1902: 1.848523817975711e-05
Position 62: 1.6274719750264482e-05
Position 1498: 1.5792322809688442e-05
Position 533: 1.0395623219222776e-05
Position 285: 1.0049809549597309e-05
Position 902: 8.515915383844805e-06
Position 3168: 8.470952020681122e-06
Position 1070: 7.530406442284881e-06
