Gene = ISPD
index = 720
Annotated 5SS: [   257  15262  45231 112800 119902 143194 162403 162933 205257]
Annotated 3SS: [ 14984  45080 112694 119855 143095 162309 162839 205124 329522]
SMsplice 5SS: [   257   8599  15262  38372  44983  45231  63501  71836  73647  85763
  96322 112800 143018 143194 162403 162933 188880 205257 210970 238521
 283096 302302 320805 325785]
SMsplice 3SS: [  8474  14984  38275  44775  45080  63408  71614  73520  85645  96282
 112694 142857 143095 162309 162839 188753 205124 210822 238411 282982
 301946 320731 325641 331166]
top_k =  1000
Partition function (log Z): -148.64787331071756

Sorted 5' Splice Sites (High to Low Probability):
Position 8599: 0.8038414171677687
Position 257: 0.5464744499117609
Position 15262: 0.4629201537057915
Position 936: 0.42255168860161824
Position 13144: 0.2052323640179696
Position 164: 0.1850772549477978
Position 12624: 0.17850538507085434
Position 8017: 0.16118656117279198
Position 13723: 0.13738439395056368
Position 645: 0.08364010590214
Position 2781: 0.08204320448755024
Position 8032: 0.07352376162783905
Position 7424: 0.07135191396947468
Position 2817: 0.06043127375928795
Position 8652: 0.04857558664375788
Position 17316: 0.04321917649974121
Position 8097: 0.03523085604617816
Position 3238: 0.029573420115207468
Position 8304: 0.027739750974624125
Position 2363: 0.023330762501241314
Position 13685: 0.016532419759960164
Position 4750: 0.014731689541095022
Position 2615: 0.013472310703269789
Position 2137: 0.01282889954109997
Position 493: 0.006594401732648827
Position 16537: 0.0032105455839127922
Position 13668: 0.003156688229912383
Position 1939: 0.0022558834316150295
Position 7092: 0.002117707821575703
Position 711: 0.001622421305625985
Position 737: 0.0014055902571716258
Position 3610: 0.0011037968581729778
Position 1276: 0.0009319416540398955
Position 4345: 0.0005968008055260237
Position 672: 0.00034534965947022675
Position 3768: 0.000337464774496141
Position 7130: 0.0002749449066960475
Position 661: 0.0002679286917857074
Position 4227: 0.00022229020054427028
Position 15111: 0.00019494645026522873
Position 58: 0.0001856892986800463
Position 539: 0.00016972119920733556
Position 676: 0.00016826876860169686
Position 284: 7.344040236151916e-05
Position 1523: 6.871366721092875e-05
Position 589: 5.711984959358547e-05
Position 649: 5.606819913716117e-05
Position 2661: 4.180105151768892e-05
Position 633: 3.114471942549849e-05
Position 43: 2.772757828515829e-05
Position 183: 2.6249815078494518e-05
Position 531: 2.183500847770744e-05
Position 642: 1.6937025879524452e-05
Position 419: 1.692797239497285e-05
Position 598: 1.3412439802693158e-05
Position 147: 1.2399264579269776e-05
Position 560: 1.1959834190799858e-05
Position 371: 9.345453166223482e-06
Position 606: 8.930010937340552e-06
Position 514: 8.79025211289388e-06
Position 149: 6.337544254745943e-06
Position 1974: 4.325072100281965e-06
Position 496: 3.7528434864554135e-06
Position 1370: 2.7443406351278425e-06
Position 1391: 2.6882223064633806e-06
Position 2058: 1.806445412667152e-06
Position 1290: 1.2693836591168056e-06
Position 1991: 1.143840938401833e-06
Position 1197: 1.1125566418525773e-06
Position 1192: 1.017568840380358e-06
Position 1593: 9.217432487133394e-07
Position 569: 7.51297790760978e-07
Position 1053: 6.399495435848964e-07
Position 983: 5.188630184924578e-07
Position 1588: 4.1454535888581945e-07
Position 811: 3.4420026022671315e-07
Position 1174: 3.0898603178570063e-07
Position 1305: 2.897641161690795e-07
Position 975: 2.793781736532384e-07
Position 907: 2.0214361237788383e-07
Position 3560: 1.487872410016467e-07
Position 1802: 1.243106153595914e-07
Position 1089: 1.206677362896295e-07
