Gene = DUS4L
index = 475
Annotated 5SS: [  252   719  3229  7309  9864 11353 12635]
Annotated 3SS: [  629  3091  7186  9745 11229 12407 13354]
SMsplice 5SS: [  252  3229  7309 11353 12635]
SMsplice 3SS: [ 3091  7096 11127 12407 13354]
top_k =  1000
Partition function (log Z): 4.55492721492137

Sorted 5' Splice Sites (High to Low Probability):
Position 12635: 0.9870836702281413
Position 3229: 0.9776251018005601
Position 7309: 0.871270661440348
Position 11353: 0.6734609564630805
Position 252: 0.4684218361445529
Position 1042: 0.3609996888826938
Position 719: 0.36005793857817187
Position 1321: 0.32740442824192934
Position 9864: 0.2871646863173788
Position 11303: 0.2791689154612664
Position 1494: 0.2705968106092725
Position 894: 0.22868048504991395
Position 12928: 0.19992522050047992
Position 7775: 0.19137915914945353
Position 1326: 0.1872723934735907
Position 325: 0.18211030952752422
Position 3908: 0.1650729791059464
Position 6368: 0.08681531216840589
Position 102: 0.06796399670883278
Position 890: 0.05595306305381
Position 2824: 0.051956191921816455
Position 9926: 0.041385669025547585
Position 6364: 0.03945431199418607
Position 706: 0.0274698500829976
Position 6953: 0.025063039517362665
Position 3194: 0.020734288275486082
Position 964: 0.02056142274558291
Position 11230: 0.020331689133731738
Position 13186: 0.020087324567456714
Position 9746: 0.016762491334838474
Position 11877: 0.016256775880629903
Position 13537: 0.012472682635968983
Position 8661: 0.012058683753326822
Position 394: 0.011535609888703932
Position 1214: 0.009541085705779207
Position 2724: 0.0090434332755813
Position 294: 0.008490172707570685
Position 9440: 0.008264248561420018
Position 13152: 0.007957168283687489
Position 12323: 0.0076368391467863
Position 8763: 0.0074634018157912155
Position 6961: 0.006284654571449954
Position 446: 0.006141341530056609
Position 1105: 0.005950449215038436
Position 12015: 0.005668502494316689
Position 12025: 0.0056292915423558545
Position 1554: 0.005105042844797329
Position 1101: 0.005057913620447345
Position 2779: 0.004500795589444253
Position 4190: 0.004131352749148331
Position 2786: 0.003926548818524155
Position 1951: 0.003523450730437466
Position 2237: 0.003254603452767788
Position 349: 0.002814071232603294
Position 898: 0.0025533840922706648
Position 9685: 0.002535044519684792
Position 824: 0.0024133552681984928
Position 1359: 0.0020885963995967267
Position 12646: 0.0017946309744254207
Position 12289: 0.0017335481650333285
Position 13497: 0.0014526379101538255
Position 732: 0.0014360416936186234
Position 6427: 0.0013753334021654711
Position 8679: 0.0013597236431092895
Position 3989: 0.0013569992924957772
Position 126: 0.00134732798608258
Position 11247: 0.0010050562324874326
Position 9402: 0.0009688261597754943
Position 11294: 0.000891805791105755
Position 2886: 0.000754358578683298
Position 6421: 0.0007257103769347296
Position 1845: 0.0005767770269891487
Position 3215: 0.0005055340218372053
Position 4765: 0.0005004600899306728
Position 12057: 0.0004536510392571866
Position 1000: 0.00044351109082898496
Position 7796: 0.0003582010957178483
Position 1487: 0.0003344067772162769
Position 12565: 0.00029444054568413366
Position 9567: 0.00028136428060093234
Position 7622: 0.0002793372663122184
Position 12343: 0.00027083208973661244
Position 285: 0.00019152869856040622
Position 11829: 0.00016791218144116552
Position 809: 0.00015631395004891328
Position 3576: 0.00011689654509756266
Position 534: 0.00010881212113942216
Position 695: 0.00010266549672121224
Position 3300: 9.598256570523928e-05
Position 12693: 8.82326913000968e-05
Position 1313: 8.171477522382719e-05
Position 3200: 6.680117751119719e-05
Position 13156: 6.464118332522293e-05
Position 12654: 6.331772490609509e-05
Position 3674: 4.04517906581902e-05
Position 499: 3.5066056045182776e-05
Position 676: 3.291503162538952e-05
Position 7206: 3.0292737690296016e-05
Position 1134: 2.3080009256921485e-05
Position 12902: 2.140396827850173e-05
Position 885: 2.005616085156085e-05
Position 113: 1.5538459678551543e-05
Position 9171: 7.026538301866202e-06
Position 518: 5.1466708480066555e-06
Position 723: 3.350584035280365e-06
Position 132: 2.545160130342329e-06
Position 168: 1.869615596322657e-06
Position 4201: 1.681817615387182e-06
Position 4446: 1.6461471011102954e-06
Position 482: 1.6339650456508115e-06
Position 387: 1.6220318519261171e-06
Position 567: 1.5470372344916337e-06
Position 189: 1.0865869198648331e-06
Position 266: 9.715072771065067e-07
Position 4268: 7.236148146177571e-07
Position 398: 3.9978218008580186e-07
Position 364: 3.096150513065094e-07
Position 629: 2.684923054446125e-07
Position 12610: 2.105294900634323e-07
Position 936: 1.737612699286675e-07
Position 232: 1.512468661176263e-07
Position 229: 1.303818449246321e-07
Position 635: 1.2691479550122727e-07
Position 981: 1.0824651328436903e-07
Position 418: 8.841791651752308e-08
Position 751: 9.025949015192581e-09
