Gene = FAM221B
index = 535
Annotated 5SS: [ 270 3169 3503 8843 9536 9843]
Annotated 3SS: [ 2570  3358  8731  9337  9722 10225]
SMsplice 5SS: [ 270 3503 8843 9416 9843]
SMsplice 3SS: [ 3358  8731  9337  9722 10225]
top_k =  1000
Partition function (log Z): -3.419114789439437

Sorted 5' Splice Sites (High to Low Probability):
Position 8843: 0.9455459966211809
Position 270: 0.9179600237350316
Position 9843: 0.8854539388030706
Position 3503: 0.8311809561933948
Position 8630: 0.49900037208843856
Position 9416: 0.3708467284241506
Position 7295: 0.23217530377294623
Position 9536: 0.18766451738046883
Position 8584: 0.1667627982371759
Position 10328: 0.1266294339810364
Position 1941: 0.12278645535013359
Position 9358: 0.12013612758635468
Position 4615: 0.09737754337195956
Position 9412: 0.09425489915230507
Position 9571: 0.09357401409545069
Position 226: 0.028857233011177975
Position 967: 0.027283429824568706
Position 1308: 0.02710687431990447
Position 9616: 0.025832424535393153
Position 3199: 0.023784495214554415
Position 8158: 0.013789401076367204
Position 8669: 0.012376665493000165
Position 1945: 0.010384828678673595
Position 3707: 0.010069740459837882
Position 8511: 0.009818216235787488
Position 8150: 0.009490231254585216
Position 10645: 0.009171514814511516
Position 10260: 0.009019019078980535
Position 8994: 0.008462571601992942
Position 1203: 0.008011164811773648
Position 8540: 0.007369924740070492
Position 972: 0.006886840554067316
Position 1184: 0.006514738082030966
Position 8598: 0.0056154126299971605
Position 8402: 0.0052247673883775055
Position 9555: 0.004702049673935951
Position 10819: 0.003958355557366124
Position 4779: 0.003606865228965949
Position 10158: 0.0035666014913221136
Position 9879: 0.0035195867384810466
Position 3060: 0.0034391808547702836
Position 55: 0.003277350465112235
Position 2379: 0.0026270800794691196
Position 5386: 0.002583167010387988
Position 9575: 0.002440834555502927
Position 1976: 0.002281547706645543
Position 8104: 0.002267338653823005
Position 274: 0.0018950853707998955
Position 5229: 0.001637524364896007
Position 3192: 0.0014070320210512448
Position 988: 0.0013720054471059561
Position 2714: 0.0013266538853547575
Position 3105: 0.0011701818155197643
Position 10868: 0.0011316111650497218
Position 3205: 0.0007624490247897006
Position 2996: 0.0006949610049197497
Position 8910: 0.0006181351870840699
Position 2979: 0.0005864110921114536
Position 1695: 0.0005252416876129277
Position 10025: 0.0003262000454161635
Position 518: 0.00029372280430779973
Position 244: 0.0002265553250994468
Position 10149: 0.00021570033541692146
Position 10131: 0.00019456075333636934
Position 10693: 0.00016352297853711227
Position 3717: 0.00015216129567716276
Position 2168: 0.00014934254276866986
Position 2551: 0.00012201493812935405
Position 1374: 0.0001201754556170121
Position 3904: 0.0001169755723014205
Position 11006: 0.00010413749022164672
Position 4461: 1.7833900028012364e-05
Position 220: 1.4478013808640576e-05
Position 6441: 1.2016049797653114e-05
Position 5922: 1.0499718941481334e-05
Position 730: 1.016087121624671e-05
Position 9664: 7.280291943063201e-06
Position 79: 7.182837842061203e-06
Position 482: 6.841883573321558e-06
Position 524: 3.936131501614678e-06
Position 3645: 3.5858880348521277e-06
Position 96: 3.035337991744043e-06
Position 277: 2.727197205205125e-06
Position 659: 2.709736614534943e-06
Position 1146: 2.3845906658691692e-06
Position 3359: 1.6932898440634368e-06
Position 4954: 1.654733673889179e-06
