Gene = SST
index = 1343
Annotated 5SS: [246]
Annotated 3SS: [1121]
SMsplice 5SS: [246]
SMsplice 3SS: [1121]
top_k =  1000
Partition function (log Z): -5.499471625340964

Sorted 5' Splice Sites (High to Low Probability):
Position 246: 0.9640188865450409
Position 466: 0.1371159504719129
Position 673: 0.023981369969542858
Position 728: 0.020525932662175953
Position 576: 0.01788502316514143
Position 321: 0.011913892860941458
Position 719: 0.0070540294056834684
Position 202: 0.005640015723419129
Position 26: 0.0017424566286407832
Position 687: 0.0017203877235199793
Position 694: 0.0008185063903036608
Position 935: 0.0007551854500937549
Position 128: 0.0004546703286028878
Position 814: 0.00029258859009222295
Position 842: 0.00023482601978635486
Position 265: 0.00020110416106701578
Position 816: 0.0001527331968576703
Position 820: 0.00014932258945362224
Position 818: 0.00014869550284138817
Position 548: 0.00014044359645844754
Position 507: 0.00013510074936125705
Position 822: 0.00012059108313826998
Position 460: 0.0001127253240089561
Position 632: 0.00011239481432626876
Position 824: 9.227380089568639e-05
Position 753: 9.200724183875783e-05
Position 1020: 7.7557737855851e-05
Position 826: 7.560392941000619e-05
Position 830: 6.758130110102775e-05
Position 828: 6.689895778948391e-05
Position 832: 5.973161185424843e-05
Position 834: 4.7958709341622296e-05
Position 313: 4.78495884677641e-05
Position 848: 4.6115833604247006e-05
Position 806: 4.061858208224943e-05
Position 854: 2.6457096133023614e-05
Position 856: 2.5582389672380565e-05
Position 1330: 2.435857105699642e-05
Position 858: 2.4002774396752986e-05
Position 354: 2.0123763717002583e-05
Position 850: 1.9790505149925093e-05
Position 710: 1.9525745470159737e-05
Position 860: 1.928789330456261e-05
Position 852: 1.918745960858696e-05
Position 891: 1.8083160384014124e-05
Position 846: 1.5892740763357307e-05
Position 1024: 1.4953674330552584e-05
Position 862: 1.3895450455842684e-05
Position 454: 1.3178253999667897e-05
Position 864: 1.1710716153339311e-05
Position 218: 1.1157396998974995e-05
Position 1004: 1.0991071796404319e-05
Position 1022: 1.0940650333511208e-05
Position 615: 1.0359972811674186e-05
Position 758: 9.524899239527717e-06
Position 746: 8.653118168781013e-06
Position 927: 8.15832556611508e-06
Position 450: 7.69940650650364e-06
Position 206: 6.007068781050173e-06
Position 1133: 5.565932332014362e-06
Position 66: 3.746587668999793e-06
Position 1347: 1.2402131736369055e-06
Position 169: 9.600364393751355e-07
Position 470: 8.355069744618276e-07
Position 777: 7.540382232751932e-07
Position 113: 2.1104749640185606e-07
Position 366: 5.432583258472045e-08
Position 335: 4.3155013108488826e-08
Position 171: 1.4152699665486128e-08
Position 348: 7.542316182818804e-09
Position 513: 6.9619601613511285e-09
Position 146: 3.0045861575915463e-09
Position 510: 1.058693480804807e-09
Position 537: 1.3771594498739643e-10
Position 153: 7.60413104904794e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1121: 0.9345967199984714
Position 374: 0.13641050781582445
Position 1049: 0.03224771966209476
Position 589: 0.016131772404533642
Position 325: 0.015188101363669895
Position 445: 0.012199203048453563
Position 1169: 0.006780406891433554
Position 613: 0.0055954205100308945
Position 489: 0.00479653762969752
Position 642: 0.003883507975198527
Position 510: 0.003528879247829734
Position 873: 0.0031535785350465537
Position 710: 0.003151279820161507
Position 1146: 0.0025882466944411845
Position 575: 0.0020920403305674244
Position 526: 0.001934237065031244
Position 128: 0.0016277814258075923
Position 1208: 0.0014947521600037863
Position 749: 0.0011840931143133053
Position 880: 0.000993938989050091
Position 944: 0.0009261839382077067
Position 564: 0.0007773552330933693
Position 346: 0.0006900385369946992
Position 599: 0.0006591590216648068
Position 1413: 0.0005301083645797074
Position 801: 0.0004455467654526247
Position 383: 0.00038545556976065417
Position 1197: 0.0003640472784567033
Position 1362: 0.00024577149749288965
Position 460: 0.000244383492093887
Position 450: 0.0002271587439677145
Position 1244: 0.00021599183383065802
Position 196: 0.00015666273084948668
Position 683: 0.00013982315037150474
Position 1220: 0.00011881881521706403
Position 465: 0.00010915767972083417
Position 1347: 9.613448935711842e-05
Position 335: 8.382927559159734e-05
Position 404: 7.573733142275039e-05
Position 1334: 6.252697723193577e-05
Position 282: 4.2990635290521564e-05
Position 1001: 4.039090385307846e-05
Position 1175: 3.7760150498650927e-05
Position 215: 3.4074313767719475e-05
Position 1148: 3.1716593585685934e-05
Position 1133: 2.6867012428674367e-05
Position 348: 2.2974872337742623e-05
Position 917: 2.249812928092542e-05
Position 1437: 2.058758130559251e-05
Position 1420: 1.9152188571460356e-05
Position 649: 1.5612495437010233e-05
Position 409: 1.234358462266904e-05
Position 694: 1.1169310658631287e-05
Position 107: 9.09183219748671e-06
Position 1290: 8.291923333606736e-06
Position 391: 5.813636146740465e-06
Position 1238: 5.687917047874467e-06
Position 1316: 4.6190274552028054e-06
Position 1281: 4.473585242879071e-06
Position 293: 3.5899545814342855e-06
Position 206: 2.6720457923913594e-06
Position 218: 2.4774736908570216e-06
Position 886: 2.3277165300955684e-06
Position 691: 1.52072642506748e-06
Position 662: 1.4771696047480562e-06
Position 245: 7.442505158652449e-07
Position 1424: 4.1198924400737483e-07
Position 242: 4.33930711373628e-08
Position 470: 3.015816400680508e-10
Position 250: 4.628294407110324e-12
Position 253: 2.868559203156498e-12
