Gene = DHDDS
index = 444
Annotated 5SS: [   22   654  5930 10519 14078 15306 25551 27790]
Annotated 3SS: [  535  5812 10375 13960 15203 25435 27681 36536]
SMsplice 5SS: [  654  5930 10519 14078 15306 25551 27790]
SMsplice 3SS: [ 5812 10375 13960 15203 25435 27681 36539]
top_k =  1000
Partition function (log Z): -0.3136278543781157

Sorted 5' Splice Sites (High to Low Probability):
Position 27790: 0.9915449206192104
Position 15306: 0.981030590724983
Position 14078: 0.966455256180028
Position 10519: 0.8991620810960269
Position 654: 0.883674847283745
Position 5930: 0.8815971015100155
Position 4346: 0.49670518646335643
Position 25551: 0.4880185185760069
Position 10018: 0.3605706062745774
Position 9941: 0.2716597380846957
Position 4601: 0.23241666863593044
Position 397: 0.2268003660493049
Position 2092: 0.20365138898090432
Position 25822: 0.16448844341387162
Position 9777: 0.13127716733845354
Position 2217: 0.10682038999560882
Position 28878: 0.10642834129477136
Position 689: 0.09729208710309517
Position 287: 0.09305872903876584
Position 10463: 0.07259368675001103
Position 5934: 0.06881155132617096
Position 22: 0.062435553071623864
Position 14485: 0.04818508603921776
Position 33471: 0.04599021190909587
Position 22692: 0.044759701898867445
Position 2610: 0.04466938707369876
Position 1233: 0.04083144100631406
Position 13790: 0.03904971637281299
Position 3862: 0.03628426835972355
Position 369: 0.035077083640476216
Position 22658: 0.03368661516962402
Position 32385: 0.025980520437080497
Position 11909: 0.02591359741306049
Position 1064: 0.024821992163388807
Position 5974: 0.024074135169987652
Position 4035: 0.022576518625780046
Position 34869: 0.018032100330647494
Position 5882: 0.01759180077067563
Position 15328: 0.016703508883151204
Position 4633: 0.01637130840506448
Position 1969: 0.016206783944993614
Position 11116: 0.014504534215131655
Position 4686: 0.014147262175399288
Position 164: 0.013501839670300782
Position 14496: 0.013294860457346857
Position 7415: 0.012756964323754226
Position 4371: 0.012675812385923142
Position 4027: 0.010904884852456383
Position 14907: 0.010822257981650029
Position 30889: 0.010672570553417486
Position 9987: 0.010608847445482827
Position 61: 0.010290326833696543
Position 14824: 0.006832131812522401
Position 10458: 0.0067327201856129315
Position 1908: 0.006558926456665163
Position 33478: 0.006188846039786197
Position 138: 0.005074452742031901
Position 5634: 0.004850827834974265
Position 11875: 0.004306271151234925
Position 5938: 0.00415310806100719
Position 6180: 0.0041016103941243975
Position 2149: 0.003549205424772679
Position 32627: 0.002674819879644047
Position 3721: 0.002666602862567361
Position 2065: 0.002646520102641479
Position 28027: 0.002570169271498776
Position 32550: 0.002558865013316978
Position 34930: 0.002340444407454177
Position 41: 0.002225149341960826
Position 677: 0.0021246384057959674
Position 30867: 0.0020780525998881057
Position 147: 0.00198775286522057
Position 168: 0.00181158391043361
Position 476: 0.0016773914468812025
Position 15073: 0.001620014521894954
Position 240: 0.0014229578349679902
Position 14192: 0.0013652969224634383
Position 797: 0.001354485173488125
Position 9723: 0.0013503364985591234
Position 9945: 0.001213841519228169
Position 276: 0.001200075040603023
Position 6274: 0.0011963750631194471
Position 3060: 0.0011852446213166863
Position 4970: 0.0011231941927404268
Position 4558: 0.0011106063986842808
Position 324: 0.0009446597151810325
Position 16435: 0.0009419488071276656
Position 5478: 0.0009286167995518448
Position 11330: 0.0008406224566621695
Position 16594: 0.000764972239528743
Position 21221: 0.0005957714255800554
Position 28400: 0.0005774556596638293
Position 394: 0.0005230410794443258
Position 503: 0.000483242034893352
Position 14511: 0.00043171838335135315
Position 2153: 0.00040697503064949776
Position 9971: 0.0004056357617513926
Position 14537: 0.00035161347953469274
Position 19991: 0.00034122385113207816
Position 19037: 0.0002780566315872956
Position 14557: 0.00025042667552617237
Position 1221: 0.0002215609307155578
Position 4527: 0.0001908394666940513
Position 14784: 0.00017759809042478518
Position 1615: 0.000175767685079544
Position 12521: 0.00015198909391061493
Position 1161: 0.00015102791342003013
Position 14672: 0.00013682713863624036
Position 11808: 0.0001321461342735871
Position 291: 0.00012238175208344724
Position 14530: 0.00011511265150441572
Position 14555: 0.00011385433759810442
Position 7555: 0.00011362635071283766
Position 11372: 9.783246847300892e-05
Position 14738: 8.856724374293758e-05
Position 14627: 8.288009707596588e-05
Position 1508: 8.142465343008559e-05
Position 14355: 5.8934126299898364e-05
Position 821: 4.6650606246420444e-05
Position 4164: 3.062672577846535e-05
Position 808: 2.8429226951130007e-05
Position 456: 2.541476884275515e-05
Position 1089: 2.265395245875001e-05
Position 1702: 2.212927709402956e-05
Position 185: 2.0706694751425316e-05
Position 1268: 2.0662230249247728e-05
Position 254: 1.8142826031113898e-05
Position 16096: 1.604836938490278e-05
Position 1005: 1.4735353448328404e-05
Position 133: 1.3501531338152865e-05
Position 632: 1.1936341015987332e-05
Position 10495: 1.1897185675669704e-05
Position 1991: 9.811337308551887e-06
Position 897: 4.079062118344685e-06
Position 5955: 3.7362077464053716e-06
Position 480: 3.503767896173972e-06
Position 10631: 3.2786030868679435e-06
Position 421: 2.4379770080183847e-06
Position 727: 2.257362082973349e-06
Position 15259: 2.216103444913862e-06
Position 11286: 2.035365924141597e-06
Position 16184: 8.642373619583001e-07
Position 736: 8.456459745135036e-07
Position 15403: 7.965189112528178e-07
Position 548: 4.2983055592705504e-07
Position 954: 4.268577975654545e-07
Position 755: 4.015133960119407e-07
Position 693: 2.944957960457155e-07
Position 423: 2.6773677851245927e-07
Position 741: 1.028873780512614e-07
Position 379: 9.745874547931417e-08
