Gene = IGSF21
index = 682
Annotated 5SS: [   453 120265 184242 227265 254485 257952 268650 269247 269686]
Annotated 3SS: [120151 184119 227145 254368 257476 268563 269053 269646 270509]
SMsplice 5SS: [   453  13381  46330  50234  50614  62367  63132  71940  83176  83376
  84397 117901 118631 120265 133172 146214 159378 161461 173425 175591
 178400 184242 205434 227265 235596 250835 252227 254485 257952 265160
 266095]
SMsplice 3SS: [ 13271  46069  50175  50451  62185  62866  71820  82933  83287  84307
 117820 118483 120151 133113 146004 159220 161284 173334 175404 178270
 184119 205321 227145 235445 250706 252138 254368 257775 265027 265871
 266297]
top_k =  1000
Partition function (log Z): -117.61390085251706

Sorted 5' Splice Sites (High to Low Probability):
Position 453: 0.9888341431955504
Position 13381: 0.8638391560162176
Position 19164: 0.40827730908985854
Position 21184: 0.2917487687900345
Position 7280: 0.24989060737892257
Position 7254: 0.2270072703841861
Position 1200: 0.20846663318802616
Position 7136: 0.10941287370163198
Position 7658: 0.10473780206563112
Position 3365: 0.09054797068431661
Position 5917: 0.05093539692006596
Position 10789: 0.044202035081685326
Position 11960: 0.041594655596969884
Position 8011: 0.035423370370544195
Position 8536: 0.034388007503780675
Position 10998: 0.02833662474206232
Position 7547: 0.02347268988623151
Position 20977: 0.021961534525187523
Position 4150: 0.017789583982949886
Position 18268: 0.016764032701899124
Position 4798: 0.013750518882822223
Position 1119: 0.010961072960055267
Position 3349: 0.010723706673334181
Position 6358: 0.010243734107261497
Position 16899: 0.006485524436721476
Position 648: 0.0037473733268021474
Position 7922: 0.002391282106672162
Position 10229: 0.0016411575649241921
Position 5626: 0.0016319572252933266
Position 853: 0.0015143877677614758
Position 8710: 0.0014102609041793932
Position 15404: 0.0012087540359310986
Position 795: 0.0008455187452364051
Position 4015: 0.0008413087335325261
Position 16863: 0.0006809068268176526
Position 728: 0.0006638458312644419
Position 101: 0.0005310289850545635
Position 692: 0.0005149189785983903
Position 2136: 0.0005022457712445741
Position 4418: 0.00045988742889904006
Position 576: 0.00038152451406861325
Position 1107: 0.00037116537740786957
Position 10185: 0.0003371523315805398
Position 2686: 0.0003309130314842772
Position 1867: 0.00032890039454051416
Position 492: 0.0002978667452383749
Position 457: 0.00027184117991818694
Position 762: 0.0002471367802157181
Position 10662: 0.00018979796474438023
Position 10767: 0.00017672113324778235
Position 869: 0.00015114932696432852
Position 7163: 0.0001266779966943104
Position 486: 0.0001253960852336374
Position 973: 8.930577829610619e-05
Position 652: 8.904084142814491e-05
Position 1893: 7.711099401009545e-05
Position 915: 7.442120535013228e-05
Position 1685: 6.767655094934595e-05
Position 654: 6.674769537547377e-05
Position 2385: 6.525080788156178e-05
Position 754: 6.271619263658394e-05
Position 5521: 6.254847603848391e-05
Position 2556: 5.896766358997688e-05
Position 656: 5.744074887003465e-05
Position 799: 5.712100747139198e-05
Position 658: 5.6348617174543896e-05
Position 650: 5.379772159551904e-05
Position 3151: 4.7224527646913196e-05
Position 780: 3.605568007205923e-05
Position 662: 3.523666225810278e-05
Position 589: 3.158485981572005e-05
Position 4579: 2.455648219729309e-05
Position 1228: 2.4058195592351417e-05
Position 4220: 2.368604389448156e-05
Position 921: 2.0061604407164942e-05
Position 3649: 1.946246469751513e-05
Position 891: 1.840727273390102e-05
Position 4291: 1.823990439582986e-05
Position 861: 1.7656393009155644e-05
Position 1622: 1.6147550055202856e-05
Position 4322: 1.569021715252117e-05
Position 932: 1.543799077537985e-05
Position 2673: 1.4081495446983928e-05
Position 3687: 1.3823258289142e-05
Position 768: 1.3170938893264492e-05
Position 168: 1.2425309983439064e-05
Position 969: 1.2361044857931279e-05
Position 1731: 1.1946026961196409e-05
Position 1653: 1.0742479180965208e-05
Position 928: 1.0703754611676593e-05
Position 1242: 1.0286775882481623e-05
Position 4023: 9.952019743179313e-06
Position 3173: 9.800784121867974e-06
Position 756: 8.922269980817865e-06
Position 4170: 8.753792852889722e-06
Position 948: 8.514810132121864e-06
Position 2815: 8.449954704268593e-06
Position 1159: 7.909609652896644e-06
Position 2065: 7.727115654584941e-06
Position 857: 7.258903322390035e-06
Position 2622: 7.202576647594871e-06
Position 758: 6.9976723259997e-06
Position 766: 6.611199767426787e-06
Position 1461: 6.420423291494088e-06
Position 1113: 6.3783952995300366e-06
Position 787: 6.0985267439443726e-06
Position 809: 5.217531323161892e-06
Position 770: 5.206890534441305e-06
Position 3166: 5.04369711989345e-06
Position 564: 4.889323385410724e-06
Position 2582: 4.788805625999362e-06
Position 4278: 4.706541660273311e-06
Position 507: 4.656202148266597e-06
Position 4339: 4.589018812227256e-06
Position 1155: 4.541929240001209e-06
Position 3664: 3.822494355760682e-06
Position 3117: 3.791747795970956e-06
Position 669: 3.667998865592706e-06
Position 1240: 3.6564396893725807e-06
Position 1244: 3.4101383681907294e-06
Position 4546: 3.2994501097574026e-06
Position 855: 3.170291792496451e-06
Position 2607: 3.0319727312171905e-06
Position 3220: 2.772084340628151e-06
Position 1246: 2.7078165110906118e-06
Position 1899: 2.652982689291891e-06
Position 1348: 2.4923952092208125e-06
Position 1098: 2.4349187051137016e-06
Position 2765: 2.22579001315909e-06
Position 1248: 2.0470626330445774e-06
Position 982: 2.031538683540378e-06
Position 1153: 1.997143694878115e-06
Position 1250: 1.7962243694664812e-06
Position 197: 1.5146300719430774e-06
