Gene = CIZ1
index = 373
Annotated 5SS: [  158   902  1261  3727  6043 10869 11175 12881 13221 14024 15239 21570
 22184 22538 24495 24831]
Annotated 3SS: [  726  1144  3654  5812 10774 11065 12173 13098 13825 15113 21481 22069
 22387 24424 24708 25182]
SMsplice 5SS: [  385   902  1261  6043 10869 11175 14024 15239 21570 22184 22538 24831]
SMsplice 3SS: [  726  1144  5812 10789 11065 13923 15113 21481 22069 22387 24708 25182]
top_k =  1000
Partition function (log Z): 22.22311589392349

Sorted 5' Splice Sites (High to Low Probability):
Position 11175: 0.994839986497025
Position 902: 0.9925283621007568
Position 10869: 0.9570933048980712
Position 1261: 0.9537017450008762
Position 21570: 0.9397674983315075
Position 6043: 0.909493223400064
Position 22538: 0.9067642609394735
Position 14024: 0.85126534839993
Position 15239: 0.8132577181188804
Position 24831: 0.8101800170327256
Position 22184: 0.7293988837959994
Position 12881: 0.6097851563909374
Position 8127: 0.5237585531562685
Position 1073: 0.4895253336566736
Position 21986: 0.4631658840431623
Position 24495: 0.44809254010331223
Position 385: 0.4462402689435915
Position 13221: 0.34830940128135673
Position 13826: 0.3316390403264558
Position 19571: 0.27291258876152663
Position 158: 0.2346221446822467
Position 5548: 0.20167764020903697
Position 22222: 0.19095539944808176
Position 15274: 0.14510532809544588
Position 548: 0.10566261139457844
Position 24051: 0.09959222872973161
Position 369: 0.09283870591535207
Position 6050: 0.08775783477676947
Position 8614: 0.08673461258912961
Position 12346: 0.08641159797057091
Position 12517: 0.07830533999282727
Position 13486: 0.07557617415170079
Position 310: 0.058406086470067294
Position 11503: 0.05164444019303968
Position 22514: 0.03832896098849189
Position 3727: 0.031808282146756836
Position 1544: 0.029846865221104923
Position 21967: 0.028266244942685634
Position 318: 0.027355469411757607
Position 11582: 0.026711383817183135
Position 13225: 0.024308780769725584
Position 4400: 0.021926172980598114
Position 22253: 0.01873062788575618
Position 9707: 0.016341842882689393
Position 1462: 0.016052862461378443
Position 12217: 0.015726823965956777
Position 3686: 0.015313580388638063
Position 2094: 0.015168264649877885
Position 8827: 0.014305525452698047
Position 12334: 0.013072474248410437
Position 2260: 0.012842034744655723
Position 15888: 0.01253971723467441
Position 22552: 0.011721042892211469
Position 17189: 0.011679774648789616
Position 327: 0.011579191975753463
Position 265: 0.010302834933633383
