Gene = HMP19
index = 659
Annotated 5SS: [  240  1281 18712 58735]
Annotated 3SS: [ 1129 18627 58623 61709]
SMsplice 5SS: [  240 16741 17042 18712 20676 24263 42554 58735]
SMsplice 3SS: [16586 16851 18627 20599 24125 42448 58623 61709]
top_k =  1000
Partition function (log Z): -16.3359458017389

Sorted 5' Splice Sites (High to Low Probability):
Position 18712: 0.9973256805378129
Position 240: 0.9700128185880276
Position 24263: 0.9180915056501924
Position 20676: 0.7027390295260144
Position 1281: 0.5617953055555118
Position 16641: 0.4154229322525446
Position 36104: 0.33285110102700316
Position 16741: 0.29198707874812635
Position 1464: 0.22057816562980084
Position 22133: 0.18210024414808149
Position 723: 0.17424141456965048
Position 37712: 0.13027974589643931
Position 14914: 0.0959597369042914
Position 1626: 0.08762072014624984
Position 32244: 0.08612354268779492
Position 20801: 0.0718657010592628
Position 17042: 0.06503660376709108
Position 23300: 0.05107087466265512
Position 23318: 0.046401597382162575
Position 728: 0.040073176354789415
Position 23265: 0.028847993138336196
Position 23212: 0.02749951599415862
Position 23159: 0.02413510448257515
Position 27: 0.023947721042574158
Position 23247: 0.021156448047174092
Position 22636: 0.020920158071863076
Position 23194: 0.01962526084685761
Position 21769: 0.019189906982436236
Position 761: 0.01864182198618739
Position 19040: 0.01530956021833391
Position 17677: 0.015231896816413225
Position 22293: 0.01415255152885455
Position 1921: 0.013156485418540163
Position 23353: 0.012394302530985439
Position 21204: 0.01135904789993922
Position 19093: 0.010622953826988865
Position 4091: 0.009673961065346124
Position 559: 0.009632241022580042
Position 7223: 0.009086055008677138
Position 22165: 0.009047015081000052
Position 2883: 0.008749597012214465
Position 4568: 0.00830870580045328
Position 9267: 0.00788360311747657
Position 2525: 0.006332419590943325
Position 19292: 0.006064583799002027
Position 2857: 0.005843458174655401
Position 23141: 0.0054054184478059455
Position 812: 0.005370289360707253
Position 6484: 0.005172908821041437
Position 32251: 0.0046448443683906725
Position 4358: 0.004141682654220976
Position 21765: 0.003808204255001145
Position 678: 0.003803829317791195
Position 29058: 0.0037569057665576993
Position 21687: 0.0033922373080065016
Position 20719: 0.003289292552444842
Position 244: 0.003221775451038737
Position 23762: 0.0030245280004174164
Position 21470: 0.0029914055647113987
Position 22091: 0.002930231962937325
Position 24257: 0.0025900685631759074
Position 23754: 0.0025170130614594714
Position 1248: 0.002366347996891129
Position 22537: 0.0023371820791981022
Position 20793: 0.0022340938076560193
Position 1771: 0.002202121941010615
Position 22929: 0.002189314439954749
Position 22982: 0.002165522204741609
