Gene = UROD
index = 1539
Annotated 5SS: [ 139  873 1069 1208 1645 1924 2430 2690 2860]
Annotated 3SS: [ 759  988 1144 1446 1761 2291 2588 2792 3189]
SMsplice 5SS: [ 139  873 1069 1208 1924 2430 2690 2860]
SMsplice 3SS: [ 709  988 1144 1761 2336 2588 2792 3189]
top_k =  1000
Partition function (log Z): 2.136831768077642

Sorted 5' Splice Sites (High to Low Probability):
Position 1208: 0.9446773445933295
Position 2690: 0.8884686804027735
Position 873: 0.8341124679024378
Position 1924: 0.7666333713142944
Position 1069: 0.7557964063783496
Position 2430: 0.6810930065983459
Position 139: 0.6680091168383573
Position 2860: 0.5775575092544549
Position 1645: 0.1310904908788847
Position 2396: 0.08506781793169414
Position 1897: 0.0763872892940351
Position 1650: 0.07562597477967237
Position 1549: 0.06984338724873149
Position 1696: 0.059837375514968844
Position 2705: 0.048378539026299586
Position 1613: 0.04255369729382128
Position 1637: 0.04226703707885286
Position 658: 0.023388185948474145
Position 78: 0.01649077713063413
Position 1280: 0.010485610015957705
Position 160: 0.009375138013283078
Position 1462: 0.007863564526264102
Position 401: 0.007789834437175168
Position 2847: 0.007688315308558673
Position 1719: 0.007630895230683991
Position 2457: 0.005966319265413326
Position 1326: 0.005573401187412882
Position 1471: 0.005169964675716202
Position 2120: 0.00228677000034148
Position 2385: 0.002261829059894589
Position 2724: 0.0022468621576137624
Position 2880: 0.001872146204430654
Position 1965: 0.0016955037653634375
Position 635: 0.0014775059186243396
Position 3295: 0.0014054334141087386
Position 2812: 0.001352462293036468
Position 2143: 0.001241653910625879
Position 1546: 0.0010895117160313252
Position 1615: 0.0009025047919166318
Position 133: 0.0006979250687466259
Position 2718: 0.00039328421858181127
Position 2231: 0.00030073803792728376
Position 1703: 0.0002721997562266943
Position 2884: 0.0002613311606686678
Position 1199: 0.0002509422978534454
Position 841: 0.0002462509162847274
Position 885: 0.00023818434294794322
Position 2523: 0.00021452043652139837
Position 2649: 0.0002099127510950895
Position 535: 0.000164841819537106
Position 1961: 0.00013309719434826132
Position 1916: 0.00012345882932477764
Position 2179: 0.0001080898138495296
Position 3043: 9.88292349121596e-05
