Gene = PI4KB
index = 1025
Annotated 5SS: [  387  1486 12085 17447 20084 21522 24117 25464 25814 28850 33249 33640]
Annotated 3SS: [ 1283 11147 17401 19855 21293 24006 25358 25689 28583 33115 33518 34623]
SMsplice 5SS: [  387  2913 21522 24117 25464 25814 28850 33249 33640]
SMsplice 3SS: [ 2739 21293 24006 25358 25689 28697 33115 33518 34194]
top_k =  1000
Partition function (log Z): 13.754486250275173

Sorted 5' Splice Sites (High to Low Probability):
Position 387: 0.9960899340554875
Position 25814: 0.9884034355820871
Position 25464: 0.9784611907444118
Position 2913: 0.9534917718470901
Position 33249: 0.8518322534361419
Position 24117: 0.802836297646279
Position 33640: 0.8019052393949007
Position 28850: 0.7673250554385409
Position 21522: 0.511478850227098
Position 17447: 0.4673457121261577
Position 34258: 0.44048325275984
Position 32701: 0.31721450367909765
Position 12085: 0.2991424981417634
Position 21541: 0.2420753589587163
Position 21392: 0.19072089006347404
Position 8871: 0.1604093168283632
Position 15891: 0.14949364676726426
Position 34951: 0.1077752913030817
Position 34517: 0.10174495273523151
Position 33651: 0.09263254778436601
Position 17748: 0.09226031678227406
Position 34286: 0.08317058386247995
Position 32557: 0.07681820920053085
Position 33267: 0.07052798755865766
Position 33816: 0.05309494942386137
Position 20084: 0.04398583355615315
Position 33656: 0.042687013438807445
Position 21488: 0.033350246514081514
Position 33057: 0.03213121900405295
Position 33661: 0.031500753862306025
Position 4888: 0.030408458411930097
Position 29601: 0.02874885394773639
Position 33609: 0.027460110475821146
Position 28698: 0.0266431056966727
Position 29139: 0.023254332277226876
Position 17: 0.019698591831502726
Position 34741: 0.01893118588265451
Position 22309: 0.018405655718084946
Position 2233: 0.01652920940717001
Position 50: 0.01647561538582686
Position 2114: 0.016091605438287297
Position 25459: 0.015198969364670061
Position 29229: 0.012644514607913436
Position 33042: 0.012365322396502199
Position 18460: 0.01236071557921818
Position 35412: 0.012177536730143606
Position 34828: 0.011594014510932935
Position 2816: 0.011487750402647332
Position 1650: 0.011105969820074032
Position 28854: 0.010613788709131043
Position 21616: 0.010498006824435576
Position 29035: 0.0092577437324586
Position 8534: 0.008916653205084002
Position 34251: 0.00867918914582093
Position 27502: 0.008516083059779606
Position 28811: 0.008288184145580357
Position 34144: 0.0069736058671447665
Position 28451: 0.006794391889357
Position 35089: 0.005972525442183897
Position 22246: 0.005869115119465121
Position 1977: 0.00522343661052559
Position 34781: 0.005153546511000679
Position 27358: 0.005080934071375237
Position 33446: 0.005068264705472879
