Gene = AJAP1
index = 45
Annotated 5SS: [   723  57968 115209 117794 119827]
Annotated 3SS: [ 57167 115120 117547 119694 122668]
SMsplice 5SS: [   723  10917  11293  14173  17358  22981  47917  64663 115209 117794
 118258 119827]
SMsplice 3SS: [ 10763  11090  13983  17247  22777  47814  64592 115120 117547 118102
 119694 122613]
top_k =  1000
Partition function (log Z): -48.526448084811754

Sorted 5' Splice Sites (High to Low Probability):
Position 22981: 0.9171854573807176
Position 17358: 0.9123343924949366
Position 11293: 0.6645885639166111
Position 723: 0.6059023509658364
Position 10917: 0.5872302411299761
Position 14173: 0.48043254467480434
Position 16999: 0.4470499495643471
Position 17622: 0.443864359930428
Position 746: 0.2932280221442263
Position 14184: 0.2891809271286579
Position 18469: 0.26896642171689944
Position 21143: 0.259839396898905
Position 23964: 0.2215789194854007
Position 10940: 0.21473982661561716
Position 23188: 0.19927228505395414
Position 18199: 0.15243382781362552
Position 11176: 0.15144857902506337
Position 15500: 0.15074815299935024
Position 15779: 0.14674647608325686
Position 4735: 0.13091214607720925
Position 7655: 0.12135020123318345
Position 18418: 0.09754840328588812
Position 16456: 0.08727004598412104
Position 5362: 0.07787459969376344
Position 18481: 0.0757841574959378
Position 664: 0.07114603753494246
Position 20694: 0.05884781687889379
Position 15815: 0.056227989537646364
Position 2606: 0.055908365734057476
Position 21183: 0.05421387719169899
Position 4279: 0.05199753140494784
Position 11165: 0.051576645162587156
Position 15784: 0.045384537481536716
Position 17951: 0.042724768181203285
Position 10141: 0.04218825529449847
Position 12467: 0.03872741030389651
Position 10501: 0.03820354343717396
Position 15541: 0.033058998485427794
Position 9702: 0.03248574661521367
Position 13197: 0.030623457718631248
Position 16424: 0.029372110259906267
Position 284: 0.026815952465267353
Position 18290: 0.02582072430623518
Position 17383: 0.02300228086149247
Position 25221: 0.022997118794198825
Position 18068: 0.021137865390965127
Position 10957: 0.020692336803163514
Position 2898: 0.01875597440365576
Position 9653: 0.01801336740906156
Position 17963: 0.017479594444253035
Position 7705: 0.017417442992266167
Position 27432: 0.017075713571049523
Position 14736: 0.016958927277050517
Position 9732: 0.01595224614169402
Position 6682: 0.015560960153682322
Position 14894: 0.015490282349925218
Position 20201: 0.013862921376082993
Position 19805: 0.013755736771957508
Position 2850: 0.013626581148058828
Position 15155: 0.012350079668232677
Position 12844: 0.011948057172602304
Position 20666: 0.010887129249621161
Position 16777: 0.008393843280512065
Position 14188: 0.00774629494745686
Position 29182: 0.007602090552967853
Position 12965: 0.00755306924316967
Position 17353: 0.006916621506550405
Position 25929: 0.006548515639801692
Position 14120: 0.006188223365195852
Position 14039: 0.00420741362765199
