Gene = TBCA
index = 1379
Annotated 5SS: [  157 68119 83095]
Annotated 3SS: [68012 83007 84861]
SMsplice 5SS: [  157 30763 43625 61137 68119 83095]
SMsplice 3SS: [30633 43474 61045 68012 83007 84861]
top_k =  1000
Partition function (log Z): -41.27787274939434

Sorted 5' Splice Sites (High to Low Probability):
Position 157: 0.9927166829745641
Position 6813: 0.609292762166242
Position 4835: 0.08923433330033936
Position 6349: 0.07551955750341688
Position 11283: 0.06963363972795694
Position 7336: 0.047718354027511775
Position 8872: 0.04720645183938986
Position 8313: 0.020025650645843364
Position 1354: 0.01632916427371561
Position 952: 0.016005814645797437
Position 1796: 0.010746305351651707
Position 5512: 0.009885538972871998
Position 2933: 0.009321662551646128
Position 1924: 0.00916045313580301
Position 4065: 0.009023699182672262
Position 2724: 0.008986324514317304
Position 1198: 0.008390245368969306
Position 7711: 0.004856236906710855
Position 8069: 0.004489533020996978
Position 2915: 0.003999529194190222
Position 8283: 0.0026794603294420633
Position 7384: 0.0022971778862591785
Position 119: 0.0018345152792169333
Position 1720: 0.0012785334996610904
Position 4486: 0.0006490622685592839
Position 2277: 0.0006464202659336925
Position 4040: 0.0006208925370573645
Position 4511: 0.0004943751337518653
Position 3852: 0.0004677402317657818
Position 4906: 0.0002893779229818247
Position 5359: 0.00022401337721492082
Position 441: 0.00021264671635937184
Position 4574: 0.00020312842527245303
Position 5990: 0.00015800943877540907
Position 1811: 0.00013920988647943318
Position 998: 0.0001332657720153067
Position 433: 0.00012815718793450216
Position 7020: 0.00012261032864100828
Position 870: 0.00011370479109623177
Position 1786: 0.00010514802328572936
Position 1896: 0.00010225251523405827
Position 3301: 9.523978288376322e-05
Position 2177: 9.052486255456119e-05
Position 766: 8.83555826083938e-05
Position 813: 6.613789233807287e-05
Position 149: 5.940760502486988e-05
Position 1978: 4.1420599931118055e-05
Position 444: 4.1137922501845986e-05
Position 6296: 4.081845478946483e-05
Position 5488: 3.794851789299113e-05
Position 5444: 3.4881911423678005e-05
Position 1857: 3.383989825711888e-05
Position 800: 3.35026999360828e-05
Position 1088: 2.7611266723335787e-05
Position 495: 2.4846356008667173e-05
Position 1014: 1.9383799898504327e-05
Position 1307: 1.777842498553651e-05
Position 1423: 1.6995218335300945e-05
Position 895: 1.6919166721827775e-05
Position 957: 1.5167055042956796e-05
Position 1950: 1.1758644996015394e-05
Position 1727: 1.1696327153371902e-05
Position 1605: 1.0475575392455442e-05
Position 416: 1.0143260665668315e-05
Position 1658: 9.201973090106925e-06
Position 2758: 8.443940150852533e-06
Position 1735: 6.126969973225245e-06
Position 585: 4.640009283306337e-06
Position 2233: 3.912905175724658e-06
Position 58: 3.875866802172096e-06
Position 3352: 3.096724898884147e-06
Position 1159: 3.031884640756053e-06
Position 2937: 2.659918641337739e-06
Position 4979: 2.6474711124082515e-06
