Gene = GHRL
index = 590
Annotated 5SS: [ 106 2232 2875 3186 6244]
Annotated 3SS: [1495 2737 3068 6134 7052]
SMsplice 5SS: [ 106 3186 6244]
SMsplice 3SS: [3071 6134 7052]
top_k =  1000
Partition function (log Z): -1.7792215750691556

Sorted 5' Splice Sites (High to Low Probability):
Position 106: 0.9101993406263928
Position 3186: 0.7747986359572604
Position 2232: 0.6727077596721823
Position 6244: 0.5985274464422902
Position 2875: 0.5936196175856117
Position 3975: 0.4179524441126397
Position 358: 0.34093502972498135
Position 1152: 0.26171609635958903
Position 3190: 0.18746898227889938
Position 2641: 0.1326203365535675
Position 389: 0.083521960800219
Position 133: 0.07779970428017972
Position 4487: 0.06862581525371221
Position 411: 0.0633067314721795
Position 1323: 0.052961790207595914
Position 1359: 0.03462134456104528
Position 1410: 0.030217460134440207
Position 4327: 0.026634175568501284
Position 5938: 0.025950850175868664
Position 5920: 0.02573939196917872
Position 4395: 0.019836208755729272
Position 526: 0.018813133932238175
Position 382: 0.01734374246031472
Position 4923: 0.016665529607848752
Position 5950: 0.01555102396301512
Position 3683: 0.013566583529751031
Position 378: 0.012101763616890781
Position 2534: 0.01055536966118594
Position 2254: 0.0091097869302265
Position 4496: 0.008548605886874932
Position 2596: 0.005667264360401679
Position 6881: 0.005614199820756203
Position 1883: 0.005228036809268471
Position 1708: 0.0037321668663096107
Position 298: 0.003016263200116715
Position 327: 0.002993641786161133
Position 3180: 0.0027201507444530332
Position 3229: 0.002434552698486486
Position 6400: 0.002081455457328208
Position 3148: 0.002067427032434024
Position 4968: 0.001885305466832377
Position 746: 0.0014045170347007233
Position 4081: 0.0009762153268147647
Position 149: 0.0009524404654545831
Position 2110: 0.0008829371773835357
Position 4045: 0.0007589754355005342
Position 1435: 0.0006868584547880369
Position 3234: 0.0005800017618471954
Position 3709: 0.00041649400192492246
Position 1729: 0.0003748936411961928
Position 1496: 0.0003515317387752959
Position 3000: 0.0003076207044564985
Position 1828: 0.00024317877988420136
Position 2270: 0.00020222792090132547
Position 507: 0.0001638944550753891
Position 187: 0.0001366775160909248
Position 4862: 0.00010644977701345951
Position 4464: 6.80986037202243e-05
Position 2521: 5.9107034692072784e-05
Position 140: 4.2987591684879755e-05
Position 604: 4.196579390407046e-05
Position 100: 4.189274617792386e-05
Position 386: 3.988041029808498e-05
Position 676: 1.0508021552392088e-05
Position 3970: 8.418370012945347e-06
Position 4026: 8.058886463409327e-06
Position 110: 4.496756430226111e-06
Position 530: 4.416274775832784e-06
Position 637: 2.3439957663960968e-06
Position 48: 2.1667237801303976e-06
Position 163: 1.2110730244150996e-06
Position 79: 8.250380149556725e-07
Position 123: 5.776363282729614e-07
Position 191: 3.4088305795862524e-07
Position 313: 2.80286293651312e-07
Position 51: 1.4974062345003535e-07
