Gene = PPP1R15B
index = 1059
Annotated 5SS: [2300]
Annotated 3SS: [5477]
SMsplice 5SS: [ 557 2300]
SMsplice 3SS: [2203 6502]
top_k =  1000
Partition function (log Z): -10.368863311336968

Sorted 5' Splice Sites (High to Low Probability):
Position 2300: 0.914796934033854
Position 557: 0.5937250912752634
Position 3238: 0.3077496701270961
Position 3976: 0.30536271343199356
Position 3655: 0.17801236220539218
Position 1713: 0.16920242009844885
Position 620: 0.15445728113741855
Position 23: 0.13751021568677427
Position 5570: 0.05856107227981196
Position 3503: 0.025291667335065195
Position 7038: 0.01572232324813171
Position 301: 0.01369646622255087
Position 3707: 0.012710953283290959
Position 1611: 0.01268276131440457
Position 1118: 0.01251858101718628
Position 1034: 0.010053863463610226
Position 3230: 0.009401297761983209
Position 4015: 0.008280318854628385
Position 56: 0.005807272798967727
Position 436: 0.005572555401319017
Position 1542: 0.0040426362830103205
Position 2246: 0.004020213470868963
Position 2954: 0.003155155498733154
Position 4121: 0.002648508722445779
Position 3367: 0.0019055674266601579
Position 6452: 0.0018822809906595683
Position 114: 0.0017463376899724183
Position 1493: 0.0016494277903426327
Position 3923: 0.0015971326921801299
Position 3347: 0.0014352376873123405
Position 4057: 0.001354274306277132
Position 785: 0.0012459768882359256
Position 104: 0.0010541493211427822
Position 4112: 0.0010466611077232441
Position 1414: 0.0010339892345459273
Position 753: 0.0007577268003591835
Position 2903: 0.0007203066824131135
Position 5260: 0.0006893372830020742
Position 645: 0.0006674459871047901
Position 2701: 0.0006528674537079576
Position 5868: 0.0006053095169575249
Position 2556: 0.0005043324360856902
Position 1674: 0.00043851987027982055
Position 4657: 0.0004068117614629723
Position 1586: 0.0003775733137970217
Position 2662: 0.00037352490891580885
Position 3573: 0.0003387497155678922
Position 1930: 0.0003288417520185069
Position 5749: 0.00032007734438895853
Position 3234: 0.00026905626220289
Position 2058: 0.00025691844545916144
Position 2204: 0.00019580859145187888
Position 2943: 0.00019309226038779017
Position 3169: 0.0001922881702922228
Position 83: 0.00017966702129784755
Position 2840: 0.000155003615998662
Position 942: 0.00015257610669798766
Position 957: 0.00012772022487319426
Position 3681: 0.00012338230872308665
Position 1768: 0.00011433661245658696
Position 4051: 0.00010583014629422452
Position 2199: 0.00010396007312256882
Position 3074: 9.181761068355016e-05
Position 1085: 8.906154896549786e-05
Position 652: 7.90933844116148e-05
Position 2517: 6.468679379633373e-05
Position 2560: 5.05661041129732e-05
Position 2527: 4.4525688908809276e-05
Position 2801: 3.6775279080000354e-05
Position 4190: 2.0645967848735394e-05
Position 3105: 1.9947829332403594e-05
Position 873: 9.785392094009433e-06
Position 5117: 7.903885806985556e-06
Position 2891: 4.1483102769813226e-06
Position 3291: 4.005866801846235e-06
Position 164: 1.2292087386282972e-06
Position 186: 1.186667690626989e-06
Position 155: 1.0493895595014143e-06
Position 106: 8.744186946147664e-07
Position 198: 6.933905193402122e-07
Position 561: 6.221775922359013e-07
Position 321: 3.765642457993197e-07
Position 232: 3.5713123877107925e-07
Position 2442: 3.263270885688282e-07
Position 1746: 3.2227051131570087e-07
Position 60: 1.7689898539739744e-07
Position 1031: 1.739364296461801e-07
Position 14: 1.636766681594289e-07
Position 792: 1.2050691778493521e-07
Position 919: 1.1322176368368939e-07
Position 961: 8.514242293728478e-08
Position 1101: 5.2628249073780404e-08
Position 365: 4.858400805190144e-08
Position 484: 4.642252358788366e-08
Position 683: 3.8226555643474184e-08
Position 1029: 3.6850872025414505e-08
Position 196: 1.8729460827604043e-08
Position 1755: 1.5722234554844957e-08
Position 934: 3.296265709411168e-09
Position 926: 2.930463602053136e-09
Position 30: 9.446836649368843e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2203: 0.7697470357596381
Position 6502: 0.31730532351240415
Position 3122: 0.28430767004549823
Position 3466: 0.2693524493845211
Position 5477: 0.2571416912207347
Position 3902: 0.19891926443525743
Position 3792: 0.12364745162086234
Position 1632: 0.09701365609601115
Position 7313: 0.08747744403201284
Position 2095: 0.07533482226372312
Position 3570: 0.055098188649608894
Position 2209: 0.0416521206818502
Position 5045: 0.038860704582436276
Position 3168: 0.03480022485905046
Position 6954: 0.03307594254735191
Position 7178: 0.02231648732955718
Position 7792: 0.021408218312481693
Position 5066: 0.019740697456182895
Position 6321: 0.017186100696430975
Position 7037: 0.01621173886026319
Position 2114: 0.015460974147657302
Position 7309: 0.012085757456864065
Position 3749: 0.011378703478428748
Position 6646: 0.009686775971926137
Position 7916: 0.008721757343560732
Position 5935: 0.00732520274274882
Position 2778: 0.006912042029785448
Position 3392: 0.005798519742329942
Position 7591: 0.00552491483977762
Position 3023: 0.005470922492313737
Position 1827: 0.004511714858366387
Position 5376: 0.004456365635648144
Position 1333: 0.004182704754323565
Position 1398: 0.004171045010435511
Position 2179: 0.0038057276482439326
Position 1637: 0.0036909136769283962
Position 1490: 0.003679015170891227
Position 5801: 0.003584053122672422
Position 1542: 0.0035392761626464424
Position 3184: 0.0035203408595616656
Position 7473: 0.003431170616710293
Position 544: 0.00338352085897002
Position 1077: 0.002975842304923914
Position 6199: 0.0029203365120091737
Position 3493: 0.00274968881201562
Position 4222: 0.0026198683866391964
Position 6465: 0.0025923088123959177
Position 8251: 0.002486527017979595
Position 4922: 0.0023087496701130273
Position 908: 0.0022719297887097995
Position 1607: 0.002238300896854399
Position 2919: 0.0022039887551909064
Position 6133: 0.0020296170649652255
Position 1511: 0.0020040519803502096
Position 3851: 0.0019442791075850153
Position 3258: 0.001714927979215372
Position 6842: 0.001661876911111106
Position 2407: 0.0016180566905091818
Position 3073: 0.001580918474846718
Position 2650: 0.0014707391642855834
Position 8023: 0.0014652621657424525
Position 4049: 0.0013793121756393494
Position 1658: 0.0013372272819669397
Position 6573: 0.001333928192328848
Position 4788: 0.001296850727944313
Position 7476: 0.001221175788205703
Position 4642: 0.0010519055832217494
Position 1453: 0.000997293274455964
Position 890: 0.000995911049240765
Position 5116: 0.0009935674546217043
Position 6702: 0.000890166390491814
Position 5208: 0.0008691737774243866
Position 1219: 0.0008305034558097342
Position 1433: 0.0008249261235144993
Position 3502: 0.0007608381343171206
Position 4981: 0.0006746289651722606
Position 1514: 0.0006729476820949664
Position 5535: 0.0006282195967373599
Position 2563: 0.0006124986803922044
Position 1610: 0.0006017553496414254
Position 5857: 0.0005455077531277824
Position 7640: 0.0005394048752207831
Position 3006: 0.0005382064061422319
Position 5041: 0.0005379808654736774
Position 6578: 0.0005033791570993898
Position 6331: 0.000502659007135988
Position 3046: 0.0004963827810924554
Position 3099: 0.0004832712039528029
Position 2362: 0.00048256554335205845
Position 3542: 0.0004802832023912747
Position 1244: 0.00044467924061247115
Position 4615: 0.00044423878157305623
Position 8133: 0.00044314223115774046
Position 332: 0.00044226897332624507
Position 5259: 0.00042260230427906506
Position 1849: 0.000417006886587576
Position 1297: 0.0003873420966553666
Position 1183: 0.00034934166263465556
Position 3426: 0.0003401536704815699
Position 7114: 0.00033128657922615887
Position 2745: 0.0003205118790306955
Position 5493: 0.0003144102242620091
Position 254: 0.0003089751401684996
Position 1673: 0.00029408635134587914
Position 913: 0.0002862291630507991
Position 2270: 0.0002857519592104112
Position 2585: 0.0002766957293204615
Position 4577: 0.0002605725603222718
Position 147: 0.0002456302724621113
Position 2021: 0.00023335709011865075
Position 2251: 0.00022310845616976114
Position 1019: 0.0002092403998779436
Position 4247: 0.00020107932259643153
Position 1683: 0.00019433569037086712
Position 663: 0.00018191800906845493
Position 2274: 0.0001653914431453173
Position 1832: 0.0001607453622535836
Position 895: 0.00015848422315574204
Position 1516: 0.00015740368159176802
Position 616: 0.00014737384344280853
Position 2016: 0.00013686585838505193
Position 2146: 0.0001247330019152027
Position 5515: 0.00012146212632971241
Position 737: 0.00012023456855175886
Position 1350: 0.00011992989023898483
Position 1196: 0.00011663395708813839
Position 5569: 0.00011540422957243999
Position 5496: 0.00011195813634830511
Position 842: 0.00011100770126058042
Position 473: 0.00011018192373101316
Position 2384: 0.0001087550463778477
Position 3321: 0.00010728721703973366
Position 2673: 0.00010626745836655557
