Gene = ASZ1
index = 105
Annotated 5SS: [  168   688  5287  7361 41826 42798 44538 45455 46513 47586 58912 60172]
Annotated 3SS: [  587  5163  7248 41713 42662 44412 45378 46455 47475 58805 60057 63774]
SMsplice 5SS: [  168   688  5287 41826 42798 44538 47586]
SMsplice 3SS: [  587  5163 41713 42662 44412 47475 58805]
top_k =  1000
Partition function (log Z): -28.66709612915899

Sorted 5' Splice Sites (High to Low Probability):
Position 168: 0.9747593309211736
Position 688: 0.9641289482632376
Position 5287: 0.8296579294496883
Position 7361: 0.43546025614188505
Position 11957: 0.06527278283256434
Position 13305: 0.04502233124773502
Position 11091: 0.029856327354244087
Position 5840: 0.023994482411957178
Position 4722: 0.017500928870233388
Position 146: 0.016843250541193094
Position 5727: 0.016603373114282796
Position 5069: 0.010946512003865524
Position 13438: 0.007874999988148295
Position 4118: 0.006071463025964192
Position 6235: 0.005996821087065603
Position 5263: 0.005731003619263872
Position 3377: 0.005206512059234944
Position 11460: 0.0029736771571429125
Position 12528: 0.0025738399291882785
Position 6750: 0.002079475701270939
Position 5104: 0.0019837713909745596
Position 3372: 0.001636925913355347
Position 759: 0.0012284200629502763
Position 7664: 0.0011747687835131915
Position 4438: 0.0011717130537404641
Position 7357: 0.0010827430367556315
Position 4878: 0.0009642398697525116
Position 12198: 0.0008992923601380616
Position 112: 0.0007112648681187969
Position 1688: 0.000674472967777087
Position 383: 0.0006739126332544374
Position 399: 0.0006482014651155852
Position 1328: 0.0005510260176133562
Position 6278: 0.0005186182983025583
Position 464: 0.0004730091480358529
Position 3344: 0.00041787455238814395
Position 7143: 0.0003665518628560769
Position 2359: 0.0003043895422119165
Position 2023: 0.0003009333832682796
Position 377: 0.0002907794761267035
Position 266: 0.00028783819081903083
Position 2922: 0.0002796554597341057
Position 731: 0.0002546941056019519
Position 502: 0.00024361919415633217
Position 3134: 0.00021188645888062244
Position 11947: 0.00016850261172900904
Position 3116: 0.00015422347111200313
Position 9559: 8.923452853909635e-05
Position 666: 8.346340302573991e-05
Position 3432: 8.24432333339732e-05
Position 2182: 7.880300433929224e-05
Position 2861: 7.640750028274001e-05
Position 35: 7.624598667398791e-05
Position 982: 7.491801653814161e-05
Position 298: 4.783958137310643e-05
Position 2431: 4.2624473089152885e-05
Position 3591: 4.233784958576524e-05
Position 264: 3.824015536307953e-05
Position 4752: 3.60734699159979e-05
