Gene = TBL2
index = 1381
Annotated 5SS: [ 372 4409 4854 5472 5948 7603]
Annotated 3SS: [4277 4668 5319 5820 7449 7818]
SMsplice 5SS: [ 372 4409 4854 5472 5948 7603]
SMsplice 3SS: [4277 4735 5319 5820 7478 7818]
top_k =  1000
Partition function (log Z): 7.286487482905183

Sorted 5' Splice Sites (High to Low Probability):
Position 4409: 0.9962682974869056
Position 5472: 0.9766153454490559
Position 7603: 0.8683676549358699
Position 5948: 0.8045606855476812
Position 372: 0.4764987706938509
Position 4831: 0.3825485735312117
Position 4854: 0.3635219246842338
Position 2251: 0.2960797295301782
Position 4876: 0.2327225964679299
Position 320: 0.19687291235505472
Position 502: 0.13807633199399474
Position 4608: 0.08150717431985564
Position 507: 0.07609520250884196
Position 7973: 0.059899943130751226
Position 2002: 0.05758998182958573
Position 5750: 0.04205847216785969
Position 6991: 0.03979018554224522
Position 1152: 0.031633704817530285
Position 7932: 0.02992652913014628
Position 6899: 0.026737878390180523
Position 3858: 0.020690513415723432
Position 819: 0.017140913022398414
Position 546: 0.015970907686939532
Position 8126: 0.015055825958807402
Position 168: 0.015028783203420446
Position 2526: 0.01284711924727175
Position 3129: 0.012532414736316186
Position 1072: 0.012473354728311955
Position 5931: 0.011862651367558848
Position 767: 0.011766488151495844
Position 49: 0.010110595045327778
Position 9356: 0.008434842047953382
Position 5962: 0.008068632511963447
Position 3929: 0.006828725915301393
Position 8064: 0.006721905522147247
Position 6949: 0.0058224253707986695
Position 4178: 0.005795588203416455
Position 1047: 0.0038604657280282826
Position 1434: 0.0037932126477797402
Position 5658: 0.0036847711208349405
Position 222: 0.003583072816031582
Position 1295: 0.003015663380010139
Position 4418: 0.002931829058256848
Position 2015: 0.0023229072433512397
Position 4930: 0.0017648885023198294
Position 462: 0.0016223823973478425
Position 277: 0.0015457261161909521
Position 2267: 0.0013346427172409997
Position 7842: 0.0012906573455483377
Position 3895: 0.0011661947043892602
Position 2679: 0.0011266971949029083
Position 3899: 0.0010745809413495362
Position 386: 0.000856756929890252
Position 3832: 0.0007388102212129918
Position 2470: 0.0006517355712794047
Position 2518: 0.0006470568154313844
Position 8495: 0.0006221752565181612
Position 3876: 0.000523992449764451
Position 391: 0.0004746422861587088
Position 259: 0.0004613551980503173
Position 331: 0.0004594557560045889
Position 4807: 0.00040000250656259964
Position 5055: 0.0003952025499343233
Position 6056: 0.000383238887567171
Position 5645: 0.00036779475482752694
Position 7487: 0.00032844625732472184
Position 5286: 0.00031822332696714793
Position 192: 0.0002857408261331063
Position 779: 0.0002566799041114815
Position 987: 0.00024496730828628806
Position 445: 0.00024114883108202652
Position 835: 0.00021603510432835176
Position 281: 0.00017432111159266988
Position 9306: 0.00016300380521161662
Position 790: 0.00014893563115392898
Position 1182: 0.00014879989468881492
Position 2309: 0.00013984133719264442
Position 651: 0.0001336082255513451
Position 7607: 0.0001326711734183181
Position 1796: 0.00012932314692713385
Position 172: 0.0001283879151962763
Position 2169: 0.0001233653828629993
Position 5782: 0.0001181699601667024
Position 1327: 0.00010505338965502301
Position 8447: 0.00010003278299709455
Position 6051: 9.728455134711759e-05
Position 8051: 9.65090218241511e-05
Position 4241: 9.269868275387518e-05
Position 8558: 8.50339973407212e-05
Position 1111: 8.465097938633921e-05
Position 709: 8.193509601781984e-05
Position 7697: 7.579918820261573e-05
Position 3205: 7.204694938066907e-05
Position 742: 7.105831867992263e-05
Position 376: 6.843579555420571e-05
Position 3266: 5.6004400008054615e-05
Position 9370: 5.062870752099558e-05
Position 7532: 4.8459200102478456e-05
Position 4413: 4.8088715435469186e-05
Position 4220: 4.747861201447288e-05
