Gene = ANKMY2
index = 81
Annotated 5SS: [  311  9427 18778 20835 30074 35269 36188 41097 43438]
Annotated 3SS: [ 9361 18638 20735 29912 35053 36051 40967 43307 44871]
SMsplice 5SS: [  311  9427 18778 20835 28425 28609 41097]
SMsplice 3SS: [ 9361 18638 20735 28340 28523 40967 44871]
top_k =  1000
Partition function (log Z): -3.700948269744119

Sorted 5' Splice Sites (High to Low Probability):
Position 9427: 0.9998676734907889
Position 28609: 0.9931077091094653
Position 20835: 0.9778991548668685
Position 311: 0.9492869607828625
Position 36188: 0.7221431724157941
Position 1133: 0.7210646897846329
Position 18778: 0.6892745038984132
Position 30074: 0.6496291181394486
Position 30355: 0.5707720202291842
Position 41097: 0.4878700932900386
Position 28425: 0.4573151965174348
Position 29215: 0.4416003889891261
Position 33814: 0.2286955398006917
Position 31166: 0.20186604518430679
Position 8825: 0.18187727370999865
Position 12461: 0.1791348827847423
Position 24383: 0.16756206222933573
Position 24774: 0.15568294769508226
Position 4217: 0.15402030822351126
Position 2376: 0.14882289600531903
Position 43438: 0.14426120863879485
Position 21584: 0.14108891279647381
Position 15131: 0.12348504853204306
Position 33666: 0.12062826409556839
Position 8700: 0.08371148615150138
Position 22019: 0.07186853862927697
Position 1903: 0.07080069217398376
Position 18720: 0.07016060442244226
Position 1682: 0.06848762951959225
Position 660: 0.06017030649243238
Position 35269: 0.05457836922934214
Position 29443: 0.05211592748524768
Position 2348: 0.05099712494413939
Position 1428: 0.04603541334773594
Position 13504: 0.04461281335609226
Position 33215: 0.04032281599683286
Position 17591: 0.037360936797290294
Position 24605: 0.03510515032023809
Position 25034: 0.03441886413303659
Position 7423: 0.02966383370005268
Position 2841: 0.028208304730493204
Position 1473: 0.026378348302452326
Position 3787: 0.02430062700346129
Position 25766: 0.023766569390916016
Position 35607: 0.023561611404515008
Position 418: 0.023236837434060423
Position 15436: 0.02125338879750182
Position 27191: 0.017120787495446658
Position 3449: 0.01701383373936674
Position 26016: 0.016636837151733197
Position 13673: 0.014325262485547089
Position 8799: 0.012082163936429757
Position 561: 0.01125746676645749
Position 1174: 0.011046665126040427
Position 11419: 0.01080881978425645
Position 10300: 0.010507324337492852
Position 670: 0.009805510988443657
Position 1185: 0.009371503232764896
Position 2887: 0.008967697624783898
Position 680: 0.008669758483882795
Position 34420: 0.008122985497282176
Position 36161: 0.007574680330559765
