Gene = SEC61B
index = 1239
Annotated 5SS: [  66  343 5700]
Annotated 3SS: [ 244 5597 8035]
SMsplice 5SS: [  66  343 5700]
SMsplice 3SS: [ 244 5597 8035]
top_k =  1000
Partition function (log Z): -4.602811553676317

Sorted 5' Splice Sites (High to Low Probability):
Position 5700: 0.9406414237282243
Position 343: 0.8826674424604701
Position 66: 0.7086573108335539
Position 1870: 0.5558303367152301
Position 1688: 0.3057173283822548
Position 2883: 0.1608022498582463
Position 6178: 0.06311539139361945
Position 4101: 0.05842229566994521
Position 2892: 0.053888076274493615
Position 5415: 0.04391573159915469
Position 2148: 0.018164221326511885
Position 2442: 0.017629626708115142
Position 631: 0.01720838435464885
Position 6501: 0.016099996314321175
Position 7791: 0.0132083338545773
Position 170: 0.009897085780130044
Position 3708: 0.006248548158154747
Position 7863: 0.005481220046956939
Position 4053: 0.004711038927340412
Position 2822: 0.004612117228524459
Position 4412: 0.0045939901298434754
Position 3235: 0.0045794557912091785
Position 2402: 0.0045680520606578
Position 2224: 0.00449027186279369
Position 3744: 0.004374126687183382
Position 6912: 0.003977287304793196
Position 2601: 0.0038801589294781284
Position 4397: 0.0037540629944798824
Position 3706: 0.0034528747393483116
Position 2109: 0.003315667743170331
Position 3154: 0.0032254740723616873
Position 3542: 0.003184324686030807
Position 3030: 0.0029062962146562802
Position 5277: 0.0025654428408122256
Position 2733: 0.0018364641977898942
Position 4436: 0.0017966690001417014
Position 142: 0.0017643990950796894
Position 6171: 0.001545296178061885
Position 172: 0.0014889963990743801
Position 7195: 0.0013839155466577728
Position 4388: 0.0011520871243477738
Position 2474: 0.001109345868728433
Position 1549: 0.00109823339007461
Position 4691: 0.001048714855582918
Position 6388: 0.0010134702492138555
Position 6582: 0.0010030751510048102
Position 2187: 0.0008943696602424166
Position 4423: 0.000835992481824201
Position 6931: 0.0008200562518775435
Position 1371: 0.0008123683436413472
Position 6959: 0.00078062056184181
Position 3262: 0.0006549181185631917
Position 358: 0.0006539046060157015
Position 6538: 0.00054660996317895
Position 2954: 0.0005419132249217872
Position 427: 0.0003952441196796185
Position 2870: 0.00038640263844014086
Position 6496: 0.00035509230721227043
Position 14: 0.00033608930683218696
