Gene = CGGBP1
index = 364
Annotated 5SS: [ 234 1030]
Annotated 3SS: [ 824 3048]
SMsplice 5SS: [ 676 1030]
SMsplice 3SS: [ 824 4173]
top_k =  1000
Partition function (log Z): -9.570738665477837

Sorted 5' Splice Sites (High to Low Probability):
Position 1030: 0.7342564830085516
Position 2900: 0.5347595230723884
Position 3166: 0.483219734572045
Position 676: 0.3151658464580293
Position 276: 0.17442228134616167
Position 260: 0.1324053000278933
Position 2417: 0.09798556205564252
Position 1858: 0.09387193971660053
Position 2028: 0.09338941914108902
Position 234: 0.0833634843339441
Position 626: 0.06077318057469197
Position 693: 0.05178130086258612
Position 2857: 0.027516565112209644
Position 6468: 0.02304180373931108
Position 1602: 0.015962114075963936
Position 2317: 0.01531228970198882
Position 6524: 0.014544310262644489
Position 1181: 0.010049105126598257
Position 2719: 0.009316284685107139
Position 1384: 0.007228855472757595
Position 4276: 0.0028466540198927364
Position 6253: 0.002383133665397514
Position 2685: 0.002309444373856379
Position 3583: 0.002268204025672296
Position 6414: 0.0022419433887623
Position 3372: 0.0020986570287103057
Position 2377: 0.002002834965791989
Position 670: 0.001912583406832316
Position 2014: 0.0014903893203224163
Position 3128: 0.0014895253278043616
Position 3306: 0.0013780369201122546
Position 6850: 0.0011780025015596773
Position 997: 0.0010854689777122502
Position 272: 0.0009186029182731952
Position 498: 0.0008141410772983601
Position 2096: 0.000668606959577054
Position 1270: 0.0006665418161034917
Position 968: 0.0006282092986355419
Position 712: 0.00046584585893225225
Position 1518: 0.0004290873910690734
Position 1541: 0.0003046007958014882
Position 1436: 0.00024023598361840577
Position 434: 0.00023590141605932052
Position 2261: 0.0002166200389415546
Position 2124: 0.00021084719509146074
Position 303: 0.000150166954532258
Position 50: 0.00013242606186486522
Position 1459: 9.365964228237224e-05
Position 2148: 7.45390454413711e-05
Position 824: 7.049379526104479e-05
Position 1499: 7.013737259886162e-05
Position 3213: 5.887096239772978e-05
Position 1817: 5.12925135462599e-05
Position 862: 2.6366626249426904e-05
Position 697: 2.466130074708514e-05
Position 668: 2.3218950629636733e-05
Position 961: 1.599020468559965e-05
Position 2611: 1.5720693850711348e-05
Position 14: 1.3681180862857602e-05
Position 340: 1.223364127640478e-05
Position 343: 9.86076293016728e-06
Position 564: 8.278029119773288e-06
Position 682: 6.991140627808302e-06
