Gene = GRIFIN
index = 621
Annotated 5SS: [  12  464  714 1242]
Annotated 3SS: [ 383  554 1074 1496]
SMsplice 5SS: [183 464]
SMsplice 3SS: [383 554]
top_k =  1000
Partition function (log Z): -7.444809486422847

Sorted 5' Splice Sites (High to Low Probability):
Position 464: 0.8502630943973916
Position 183: 0.4784058895057238
Position 100: 0.2905921190800612
Position 714: 0.18351181531675922
Position 672: 0.12343267263629717
Position 281: 0.09275812752994066
Position 12: 0.092129456639337
Position 1177: 0.04293193158637852
Position 647: 0.024484919640104862
Position 16: 0.018195460850846303
Position 265: 0.01210186207950627
Position 809: 0.009469632271605034
Position 46: 0.006064422236567692
Position 555: 0.004622746186203963
Position 1242: 0.004294897043382815
Position 155: 0.004009352176456711
Position 315: 0.003089121541851357
Position 149: 0.0028351361518900047
Position 873: 0.0027423924612116715
Position 1210: 0.0013460791072834528
Position 869: 0.0012249275216515518
Position 729: 0.0011763029755968973
Position 1129: 0.0009765456379938466
Position 828: 0.0007519171561471401
Position 1081: 0.00040204676532531525
Position 185: 0.0003212727246751668
Position 1446: 0.00026399841365844836
Position 253: 0.0002262331250946108
Position 1265: 0.00018408062665696643
Position 321: 0.00017267111797959135
Position 208: 0.0001281816460060362
Position 143: 3.856964435122394e-05
Position 432: 1.3411484083191818e-05
Position 327: 2.17733182130969e-06
Position 504: 2.0753784289892953e-06
Position 397: 1.637646869897692e-06
Position 6: 6.167397780653498e-07
Position 187: 4.0685458710185495e-07
Position 544: 2.857591350446118e-07
Position 674: 1.8502258206120352e-07
Position 612: 1.58574969470652e-07
Position 361: 5.078957972280145e-08
Position 628: 3.621613711481957e-08
Position 216: 3.0029439634490856e-08
Position 76: 1.294684425038208e-08
Position 631: 5.632870175890034e-09
Position 369: 8.849749284146137e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 383: 0.9015764565527993
Position 554: 0.714404669998606
Position 1395: 0.1468414587894777
Position 1496: 0.08407580495256209
Position 808: 0.07149999739736383
Position 1264: 0.04129990803221728
Position 92: 0.03017788777792687
Position 969: 0.029322463516975827
Position 1065: 0.026628545024729652
Position 526: 0.023070692470626288
Position 202: 0.021540864854518005
Position 579: 0.015795870452803226
Position 872: 0.015276969887493873
Position 1074: 0.014888696255130356
Position 1301: 0.010766064943464491
Position 985: 0.009775254289842541
Position 852: 0.009102735563980783
Position 1461: 0.0088005758186435
Position 1304: 0.008796396834027295
Position 606: 0.007218167809622343
Position 1530: 0.007026614317771836
Position 620: 0.0059006190500447055
Position 1078: 0.005831095959582807
Position 390: 0.004947291612035308
Position 916: 0.004130990890803678
Position 1122: 0.003098021291199396
Position 123: 0.0030390140497967033
Position 1175: 0.003001704043569392
Position 769: 0.0028248101612095033
Position 869: 0.002778547180476001
Position 1080: 0.002357793959702722
Position 1128: 0.0022041006684784905
Position 1421: 0.001983309824272605
Position 996: 0.0018233177546264137
Position 895: 0.0016803798663017403
Position 182: 0.0014756843788729167
Position 1209: 0.0014248370914454673
Position 1051: 0.0012080070842179441
Position 1014: 0.0011654142608399328
Position 647: 0.0007741919575291816
Position 1466: 0.0005165222196727846
Position 1152: 0.0005022829500919278
Position 425: 0.00046864853939680506
Position 784: 0.0002350361219665641
Position 1533: 0.0002122924016229082
Position 1023: 0.0001736591918359384
Position 561: 0.0001555339656776103
Position 744: 0.00013156476089909067
Position 463: 0.00012236336656435215
Position 130: 0.00011693833895950227
Position 304: 0.00010952131759202642
Position 944: 8.597228678957974e-05
Position 671: 7.543655659586135e-05
Position 347: 7.150147496456428e-05
Position 949: 7.10049551354393e-05
Position 164: 7.057125521668653e-05
Position 224: 6.457965006950817e-05
Position 340: 5.536383427046769e-05
Position 912: 5.167205211532106e-05
Position 813: 4.936255558579748e-05
Position 94: 4.525616368140617e-05
Position 1030: 4.145785039685243e-05
Position 437: 3.673475734388581e-05
Position 356: 3.303480473194641e-05
Position 1098: 2.8191333061996224e-05
Position 313: 2.5484389460871907e-05
Position 275: 1.9965914754513605e-05
Position 516: 1.580719395222773e-05
Position 337: 1.2704837331269885e-05
Position 1085: 8.534514914909596e-06
Position 231: 6.180813203698192e-06
Position 154: 4.597498740067406e-06
Position 1137: 3.295150218729524e-06
Position 777: 2.4115817143807357e-06
Position 668: 2.1954536972842863e-06
Position 288: 2.033682864204609e-06
Position 720: 1.3321530080790772e-06
Position 458: 1.1110620720197173e-06
Position 333: 7.158459337464584e-07
Position 166: 6.906022930757044e-07
Position 713: 5.668343813585945e-07
Position 147: 5.414809231075914e-07
Position 456: 3.794079108170866e-07
Position 748: 2.1165168660771863e-07
Position 239: 1.179430678966465e-07
Position 137: 9.833086280573964e-08
Position 139: 9.38309169661584e-08
Position 821: 7.205541683121191e-08
Position 704: 5.516186436436113e-08
Position 247: 3.330391212007295e-08
Position 679: 5.180785229969184e-09
Position 241: 8.785013047334514e-10
Position 468: 1.1748337002779452e-10
Position 69: 2.485703953045977e-13
