Gene = HLTF
index = 653
Annotated 5SS: [  214  1849 10650 12316 13306 14948 15279 18291 21740 23100 25752 25888
 26813 31228 36299 37668 38503 40451 44365 45041 46500 46950 47482 51613]
Annotated 3SS: [ 1640 10482 12181 13207 14872 15086 18194 21663 23005 25671 25842 26722
 31129 36154 37528 38366 40270 44239 44861 46373 46836 47300 51531 54157]
SMsplice 5SS: [  214 12316 13306 14380 14948 15279 18291 21740 23100 25752 26813 31228
 36299 37668 44365 46500 46950 47482 51613]
SMsplice 3SS: [12181 13207 14229 14872 15086 18194 21663 23005 25671 26725 31129 36154
 37528 44239 46373 46836 47300 51531 54157]
top_k =  1000
Partition function (log Z): 18.66326254786409

Sorted 5' Splice Sites (High to Low Probability):
Position 25752: 0.9710787053352239
Position 51613: 0.9664980436319754
Position 37668: 0.9604758711412074
Position 14948: 0.9585977624249519
Position 46500: 0.9430695039891728
Position 46950: 0.9418539294908387
Position 12316: 0.9389287059791296
Position 47482: 0.9038609414473968
Position 21740: 0.8951174053323333
Position 31228: 0.865819830174104
Position 23100: 0.8080725572034949
Position 214: 0.8031232083850984
Position 14380: 0.8021086426946392
Position 26813: 0.7837230140719421
Position 44365: 0.7832795631196068
Position 15279: 0.75593796130853
Position 36299: 0.681220130201835
Position 13306: 0.6728624499400615
Position 54330: 0.6569996528051828
Position 38503: 0.578398355445815
Position 31430: 0.5656468240376122
Position 40451: 0.5376800380277764
Position 18291: 0.5236192421953326
Position 10650: 0.4431631353680003
Position 18302: 0.43927922423772364
Position 53025: 0.40883059722635157
Position 25888: 0.39032095260664373
Position 32689: 0.38424061249168395
Position 22818: 0.37763073649842127
Position 18664: 0.2976505861804437
Position 46255: 0.2432664722254726
Position 45041: 0.20567600843969144
Position 13357: 0.1992825239450411
Position 38017: 0.16306418397110994
Position 7582: 0.1527673386329467
Position 26567: 0.12869726534214576
Position 822: 0.1265025367648132
Position 33464: 0.1192830362133328
Position 18995: 0.11655581086503464
Position 23057: 0.11586405040130682
Position 1849: 0.11050548150636845
Position 24271: 0.10840159442626743
Position 33391: 0.10803495301001892
Position 16282: 0.10726665790681987
Position 10604: 0.10384238784015175
Position 11706: 0.10098651571560265
Position 31611: 0.09364570717573485
Position 44369: 0.09306260597160858
Position 2194: 0.08052040046340458
Position 44627: 0.07863154458235849
Position 40052: 0.07591552751006901
Position 40634: 0.07012438949539421
Position 40801: 0.06350340152759641
Position 3121: 0.0631603152554087
Position 3990: 0.056543806458305014
Position 55771: 0.05596645342072858
Position 31634: 0.054759344597930935
Position 43925: 0.0514640528615922
Position 44666: 0.050424735940337834
Position 45542: 0.04611094629271665
Position 40930: 0.03826425155775958
Position 549: 0.038144922675075583
Position 15274: 0.03729016297438407
Position 53047: 0.03674871896743207
Position 36341: 0.034610282827661876
