Gene = TMA7
index = 1405
Annotated 5SS: [ 56 202 372]
Annotated 3SS: [ 145  283 3588]
SMsplice 5SS: [ 56 202 372]
SMsplice 3SS: [ 145  283 3588]
top_k =  1000
Partition function (log Z): 1.0612026760491644

Sorted 5' Splice Sites (High to Low Probability):
Position 202: 0.9961868629857238
Position 372: 0.9779811832752334
Position 56: 0.9610149648655
Position 656: 0.018676340114055716
Position 73: 0.01119492484520663
Position 1909: 0.010873799865460975
Position 1206: 0.008204043845879047
Position 535: 0.00672215862951484
Position 3620: 0.0035837331487984375
Position 1616: 0.0026297499343419795
Position 2591: 0.0023429028396590697
Position 3514: 0.002267878703551986
Position 1542: 0.002253353963440985
Position 2568: 0.0018658624242302146
Position 2023: 0.001785762677448939
Position 560: 0.0017261156426108418
Position 1576: 0.001245185267341715
Position 1305: 0.0007210918957795673
Position 230: 0.000684944256648739
Position 2642: 0.0006098768482771531
Position 630: 0.0005075428673686869
Position 1690: 0.00048065261777050454
Position 1620: 0.0003366673364202236
Position 2751: 0.00032253523895726927
Position 3649: 0.00029124965990157164
Position 2841: 0.0002885857770408142
Position 3543: 0.00028293480816419815
Position 472: 0.00027245742562379184
Position 3108: 0.0002574260520327921
Position 886: 0.0002171175292416342
Position 2472: 0.00021278022373943408
Position 854: 0.00019232942081093653
Position 3479: 0.00017912862894442968
Position 1067: 0.00016244210129324202
Position 376: 7.672294319724382e-05
Position 706: 6.69016141774102e-05
Position 946: 6.614315163124203e-05
Position 504: 6.569413031777728e-05
Position 1402: 6.566565844132268e-05
Position 2289: 5.815412343300977e-05
Position 2539: 4.037264500131844e-05
Position 671: 3.685173905454574e-05
Position 681: 3.5161593332731936e-05
Position 42: 3.303580080774511e-05
Position 2546: 3.1642340382832386e-05
Position 1245: 2.6990603413233985e-05
Position 15: 2.513865989052942e-05
Position 1162: 2.3880013335980224e-05
Position 623: 2.0113668608340106e-05
Position 3595: 1.598980655354881e-05
Position 2607: 1.5649035539663747e-05
Position 146: 1.184910305029933e-05
Position 1946: 1.0140143022399235e-05
Position 3711: 7.861793884554398e-06
Position 96: 4.252369721521764e-06
Position 661: 4.054392723867011e-06
Position 62: 3.914161494500961e-06
Position 60: 3.2494251902587972e-06
Position 7: 8.128006065902671e-07
Position 970: 2.0628234167874737e-07
Position 726: 1.8682764966742137e-07
Position 487: 1.573403746889657e-07
Position 1107: 5.520990708568913e-08
Position 2960: 4.675345607793402e-08
Position 2295: 4.045513183817857e-08
Position 1729: 4.001311566332176e-08
Position 2183: 3.6938902387984764e-08
Position 1141: 3.291016289453785e-08
Position 1050: 2.8985777671512362e-08
Position 1453: 2.0566132040972823e-08
Position 1328: 1.632752347753411e-08
Position 135: 1.5280461688000622e-08
Position 678: 5.558541988644335e-09
