Gene = CREBRF
index = 410
Annotated 5SS: [  128 24433 30275 35050 52467 54360 56028 66851]
Annotated 3SS: [24232 30148 33962 52271 54169 55953 66727 77277]
SMsplice 5SS: [  128  2009 24433 30275 52467 54360 56028 66851]
SMsplice 3SS: [ 1916 24232 30148 52271 54169 55953 66727 82469]
top_k =  1000
Partition function (log Z): -37.80921559468708

Sorted 5' Splice Sites (High to Low Probability):
Position 128: 0.9903289934827384
Position 2009: 0.7579113803059855
Position 14713: 0.1213293497961086
Position 10087: 0.11005308463552008
Position 4157: 0.08797324938913989
Position 3738: 0.04565075467842908
Position 925: 0.044454873669226826
Position 6331: 0.025070374664648343
Position 1332: 0.02012652373911288
Position 10606: 0.018280046242057594
Position 529: 0.014505531929288527
Position 1828: 0.013311346523248566
Position 8184: 0.010242513227264357
Position 4538: 0.009893257928887293
Position 7863: 0.008858703997974005
Position 14115: 0.007974325214319646
Position 9434: 0.006887769255700647
Position 908: 0.004193504324929625
Position 884: 0.0029233776455937013
Position 1999: 0.0026228449352188564
Position 13686: 0.002541616459496656
Position 10739: 0.002272694003093091
Position 1656: 0.0021348245575729843
Position 6673: 0.0016719008880012765
Position 8937: 0.0010736699082246515
Position 10102: 0.0008686054855425975
Position 7297: 0.00073798494615813
Position 382: 0.0006234178782715616
Position 3575: 0.0005993197127401729
Position 2724: 0.00047915565454665867
Position 1439: 0.00043451330920105563
Position 972: 0.00036473061238233843
Position 314: 0.00030878100212310746
Position 5908: 0.00029723576627830526
Position 1722: 0.00028370764396277504
Position 1131: 0.0002454480399360159
Position 3148: 0.00016622059301141454
Position 512: 0.00014305773987846447
Position 1968: 0.00013337721858470178
Position 4947: 0.00012471892941613732
Position 4300: 8.220766570195394e-05
Position 2113: 7.967663109391844e-05
Position 3233: 7.544652317402272e-05
Position 3192: 6.482355061227219e-05
Position 1622: 4.946014627431126e-05
Position 1956: 4.796679105452559e-05
Position 2051: 4.6962151181967e-05
Position 6963: 3.9971394008167165e-05
Position 6249: 3.8798025002636365e-05
Position 2413: 3.807332315374824e-05
Position 1994: 3.511075210129175e-05
Position 11434: 3.176246514673946e-05
Position 872: 2.982821291324268e-05
Position 1350: 2.8054195072409963e-05
Position 406: 2.60691525369537e-05
Position 691: 2.4617649957636717e-05
Position 2814: 2.0667976317829398e-05
Position 3671: 1.960055232649039e-05
Position 3008: 1.8327530503879645e-05
Position 593: 1.7359418284859272e-05
Position 669: 1.715246380767008e-05
Position 947: 1.4204273244182031e-05
Position 618: 1.4198868742422718e-05
Position 1068: 1.4182215251872278e-05
Position 1763: 1.3102288124775521e-05
Position 1720: 1.142433230006467e-05
Position 4223: 9.3291484055265e-06
Position 358: 8.673666140241351e-06
Position 3471: 8.266936191316173e-06
Position 916: 7.280620314639578e-06
Position 3449: 6.976197024459122e-06
Position 2726: 6.230448251737863e-06
Position 438: 5.724193440186988e-06
Position 1281: 5.364730964638976e-06
Position 1250: 4.960686710990701e-06
Position 1731: 4.152664884202801e-06
Position 1161: 2.5971386680437054e-06
Position 1406: 2.0885956659380268e-06
Position 1401: 2.0740583309663392e-06
Position 1456: 1.9999546148297334e-06
Position 1559: 1.8881788040333138e-06
Position 277: 1.8717921198494679e-06
Position 24: 1.5504554457142367e-06
Position 1529: 1.5089470967383404e-06
Position 4071: 1.2631342303116398e-06
Position 1390: 1.2616030054368466e-06
Position 976: 9.361078146592758e-07
