Gene = ASB6
index = 100
Annotated 5SS: [ 279 1625 2764 2964 3593]
Annotated 3SS: [1442 2656 2854 3505 3707]
SMsplice 5SS: [ 279 1625 2764 2964 3593]
SMsplice 3SS: [1527 2656 2854 3505 3707]
top_k =  1000
Partition function (log Z): 8.325054347918883

Sorted 5' Splice Sites (High to Low Probability):
Position 2764: 0.9986729973056636
Position 2964: 0.9755985640014634
Position 3593: 0.954364858738717
Position 279: 0.836497720643087
Position 1625: 0.7651038409438004
Position 3987: 0.45852325969816754
Position 1159: 0.281799998249762
Position 4417: 0.2413348345259971
Position 2397: 0.24039850497164372
Position 3774: 0.20147397560180516
Position 2501: 0.1759425996030469
Position 632: 0.10508286543358884
Position 1956: 0.07660310152455921
Position 2141: 0.043368104083280415
Position 296: 0.030726511167031234
Position 4510: 0.018603849456795968
Position 71: 0.01774233901826311
Position 1652: 0.01669932630184175
Position 1678: 0.012671282505396059
Position 1644: 0.011106764161730913
Position 2367: 0.010878155141613466
Position 4954: 0.008159315546580451
Position 3050: 0.006785527146830912
Position 987: 0.006150348252391066
Position 4295: 0.006110810713496661
Position 995: 0.005931089051180873
Position 217: 0.005916895399985498
Position 2569: 0.005803392277552208
Position 733: 0.005445749070471936
Position 821: 0.005438830260128082
Position 4109: 0.0046401529104600735
Position 4330: 0.004230624941688039
Position 596: 0.00394247582230081
Position 3269: 0.003836750367856393
Position 815: 0.0038025556780891053
Position 838: 0.003383694700496587
Position 100: 0.003367352518584751
Position 4828: 0.002799903753576043
Position 4855: 0.0027000232654926233
Position 1163: 0.002142890843369482
Position 879: 0.0021381086551837455
Position 957: 0.0020698318059810586
Position 2531: 0.001874011942824223
Position 2968: 0.0017368429382279918
Position 1534: 0.0015088505892669037
Position 4379: 0.0013600419371400383
Position 204: 0.001307956878824301
Position 4429: 0.0012641458933205997
Position 2775: 0.0011513369716071996
Position 676: 0.0008344649779982443
Position 917: 0.0007484060018829034
Position 76: 0.0007221777571626843
Position 2281: 0.0006563116407028631
Position 2494: 0.0005216059795602439
Position 1036: 0.0004058652212893579
Position 3642: 0.0003794220629952734
Position 1062: 0.00037394427745425144
Position 5058: 0.0003292967404340564
Position 1401: 0.0002941316770709385
Position 1132: 0.0002882402458270778
Position 267: 0.0002753778415886785
Position 4160: 0.00025831397405906575
Position 1102: 0.00024356442439052247
Position 893: 0.00016552977284064563
Position 3029: 0.00016161470618679876
Position 702: 0.00015375595847372229
Position 420: 0.00013231338964255523
Position 1448: 0.00011828014361045434
Position 1262: 0.00011824003144936206
Position 2414: 0.00011309590922740036
Position 901: 0.00010029801386947444
Position 2728: 6.933465575844429e-05
Position 2293: 6.026442549757757e-05
Position 3782: 5.930712432570761e-05
Position 3874: 5.638637894332242e-05
Position 2458: 4.270876852039235e-05
Position 3013: 3.868103083490762e-05
Position 1318: 2.4520824298986503e-05
Position 626: 2.3837074442869894e-05
Position 1412: 2.0216323037609477e-05
Position 749: 1.946410035054802e-05
Position 359: 1.8818807018403674e-05
Position 2942: 1.8813985430646613e-05
Position 1393: 1.824666286323678e-05
