Gene = LRRIQ3
index = 798
Annotated 5SS: [   249   1147  27952  74291 109024 142472]
Annotated 3SS: [   822  27817  74130 108893 141750 156714]
SMsplice 5SS: [   249   1147   8702  13369  27952  74291 109024 123539 130119 133281]
SMsplice 3SS: [  1013   8480  13228  27817  74130 108893 123267 129998 133112 156714]
top_k =  1000
Partition function (log Z): -63.086359043376426

Sorted 5' Splice Sites (High to Low Probability):
Position 1147: 0.989826951341315
Position 13369: 0.977931143433896
Position 249: 0.9571095173808776
Position 8702: 0.8573216783543656
Position 27952: 0.8556559825799379
Position 7631: 0.4623590907770418
Position 897: 0.3148152004337185
Position 27463: 0.22819289524048858
Position 12131: 0.1512729161927635
Position 906: 0.14954262014053582
Position 18226: 0.08887780889492698
Position 3454: 0.04586283127004692
Position 8550: 0.03933679100284768
Position 973: 0.031850721449442516
Position 12474: 0.02448991355301492
Position 6814: 0.020221238880613078
Position 76: 0.01871897316999811
Position 524: 0.01771861747711145
Position 5115: 0.016472105238342045
Position 457: 0.015788076379357526
Position 2307: 0.013382496029739612
Position 3845: 0.01255880550717749
Position 4190: 0.012508856529653244
Position 7647: 0.01181154824614493
Position 593: 0.011282404752746448
Position 10286: 0.01015876802439759
Position 393: 0.008721056406722574
Position 922: 0.008190020091570263
Position 3337: 0.0075466600273716
Position 3859: 0.0060389769142168625
Position 16297: 0.00574954134299582
Position 5426: 0.0052801722524159255
Position 159: 0.004953121873434031
Position 6159: 0.004856502018766637
Position 12870: 0.004055522797120986
Position 1103: 0.002470614629624229
Position 5365: 0.001972729043132516
Position 5043: 0.0016695630637595987
Position 920: 0.0008555637563995589
Position 784: 0.0007146080589547168
Position 4852: 0.0006163459591456105
Position 7066: 0.0006161019453148369
Position 648: 0.0005729581943138382
Position 306: 0.0005211601234032243
Position 424: 0.0003847274712720513
Position 748: 0.0003428758158166208
Position 598: 0.00028993729578280004
Position 14491: 0.00016644062349142392
Position 656: 0.00014008632496879402
Position 101: 0.00013617168051752946
Position 208: 0.00010575707616849767
