Gene = G0S2
index = 571
Annotated 5SS: [130]
Annotated 3SS: [232]
SMsplice 5SS: [130 342]
SMsplice 3SS: [232 425]
top_k =  1000
Partition function (log Z): -2.5034411649579313

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9927017517387448
Position 342: 0.5852368382665973
Position 334: 0.017429069077586876
Position 53: 0.005062921821832535
Position 170: 0.0016158532807211549
Position 57: 0.0003730808566410106
Position 532: 0.00020069836542153217
Position 133: 0.00012478386807438088
Position 379: 0.00011044728943423383
Position 346: 3.2091308642518656e-05
Position 400: 2.267104811161798e-05
Position 582: 1.907124092627229e-05
Position 376: 1.4930350142518078e-05
Position 274: 1.0112125322835577e-05
Position 402: 4.789858903927406e-06
Position 428: 2.8793097890449253e-06
Position 358: 2.1447348330591725e-06
Position 598: 1.127881516280086e-06
Position 614: 9.169254069546907e-07
Position 5: 2.4307049279327103e-07
Position 119: 1.737055010991681e-07
Position 233: 1.40808621627955e-07
Position 794: 1.4017310472344126e-07
Position 782: 1.3932458333905314e-07
Position 702: 6.355376516547165e-08
Position 690: 3.68128430190901e-08
Position 805: 2.9497513734779867e-08
Position 180: 1.725258481822095e-08
Position 177: 1.7990039917199995e-10
Position 197: 2.4325288321931407e-11
Position 451: 7.163845163491338e-16
Position 189: 3.4897863690905917e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.9992368364475506
Position 425: 0.4109678381672661
Position 441: 0.07834796487816444
Position 564: 0.024170163920850377
Position 731: 0.017994572848090303
Position 444: 0.016989235772059692
Position 750: 0.011232056392486655
Position 465: 0.009351938142064668
Position 576: 0.007870292614215565
Position 407: 0.0058834970268949825
Position 877: 0.0058692552843104435
Position 483: 0.005370527201428417
Position 810: 0.002587449473313048
Position 695: 0.001306625609459941
Position 668: 0.001229294227280614
Position 495: 0.0009127210985081453
Position 448: 0.0005495435273773807
Position 767: 0.0005442231594218036
Position 779: 0.00046261795822336634
Position 733: 0.00036973561671375325
Position 206: 0.00022801659399998805
Position 492: 0.00022696097271987083
Position 507: 0.0002059053659725948
Position 782: 0.0001373776739111919
Position 477: 0.00012037754656890245
Position 671: 0.00011385976309170795
Position 688: 0.00010447707082112408
Position 499: 9.012119823338209e-05
Position 514: 8.662085449240062e-05
Position 510: 3.9233621530456817e-05
Position 593: 3.858275208675175e-05
Position 257: 3.727158823813323e-05
Position 794: 3.314098772235555e-05
Position 252: 3.081077835648671e-05
Position 300: 2.9228861002632704e-05
Position 250: 2.870345933510121e-05
Position 690: 2.7209972364178823e-05
Position 396: 1.5308964908002555e-05
Position 627: 1.4051321872418258e-05
Position 617: 1.3814528043099213e-05
Position 356: 1.315763739414756e-05
Position 608: 1.1402676877052956e-05
Position 651: 1.060051814183241e-05
Position 279: 9.567727781371926e-06
Position 459: 8.938105655697515e-06
Position 881: 8.436359434100234e-06
Position 885: 8.151037991512382e-06
Position 303: 7.296246843069744e-06
Position 259: 5.147004583003378e-06
Position 519: 4.461172160613148e-06
Position 525: 4.074159945030445e-06
Position 614: 1.714858942103537e-06
Position 698: 1.0286072321537343e-06
Position 522: 1.0015213299462313e-06
Position 637: 9.067922937120128e-07
Position 647: 7.31990954322886e-07
Position 318: 5.365003419111536e-07
Position 315: 4.704128506193581e-07
Position 621: 4.5534478079982703e-07
Position 598: 3.784927822323495e-07
Position 653: 3.729122393921342e-07
Position 588: 2.0391052671744327e-07
Position 282: 1.8519250845818092e-07
Position 324: 1.2212591598557003e-07
Position 623: 5.969296763271288e-08
Position 339: 4.935158974908876e-08
Position 633: 4.7331137858995285e-08
Position 160: 4.3110967391092927e-08
Position 165: 3.370530032335771e-08
Position 604: 3.327893970488909e-08
Position 129: 2.7919436464605248e-08
Position 330: 2.7640934384388883e-08
Position 94: 2.1137308337110856e-08
Position 264: 1.574864524558456e-08
Position 149: 1.8428204442022675e-10
Position 133: 5.0909498048900064e-11
Position 186: 4.900924792541241e-11
