Gene = KLHDC9
index = 749
Annotated 5SS: [ 669 1112 1403]
Annotated 3SS: [ 951 1203 1666]
SMsplice 5SS: [669]
SMsplice 3SS: [1666]
top_k =  1000
Partition function (log Z): -10.47900856469035

Sorted 5' Splice Sites (High to Low Probability):
Position 1112: 0.3594647734805545
Position 669: 0.29775146217898074
Position 485: 0.16134772281540016
Position 1437: 0.14671075959670726
Position 34: 0.13142526121979756
Position 268: 0.08929155403945738
Position 72: 0.05096093430230959
Position 1032: 0.050607904202028875
Position 164: 0.048359126706995936
Position 1403: 0.03580862824266886
Position 1252: 0.028426597370395275
Position 424: 0.028313726491604255
Position 599: 0.02542083334516639
Position 1488: 0.019356510661771468
Position 580: 0.016494394714514752
Position 515: 0.014541735512198112
Position 11: 0.014218727091126487
Position 1568: 0.01344253325804217
Position 88: 0.013133466495022963
Position 346: 0.010509223460983473
Position 990: 0.009625212089621967
Position 1079: 0.0038673040825810802
Position 316: 0.003853600541732058
Position 441: 0.003414900598972948
Position 1778: 0.0033581874548850904
Position 1807: 0.0027977118293063146
Position 1056: 0.0021036688930446477
Position 996: 0.0015812799077030793
Position 258: 0.0014533085919552762
Position 272: 0.0012767357205484087
Position 44: 0.0009146682250552716
Position 1171: 0.00045135748458912604
Position 460: 0.00043710776079760135
Position 1315: 0.0002497095840422249
Position 148: 0.00024657578032908744
Position 489: 0.00017198547638881947
Position 1340: 0.00011686668083623533
Position 1765: 0.000111383809167906
Position 421: 0.00010814930718715081
Position 539: 9.399688918345178e-05
Position 1259: 8.163635937262995e-05
Position 275: 7.960164996528374e-05
Position 1307: 3.7846658062864546e-05
Position 1335: 3.129512350957e-05
Position 823: 2.3580286777608602e-05
Position 487: 2.13227891180197e-05
Position 29: 1.9406914236453713e-05
Position 319: 6.358417137390478e-06
Position 199: 4.677187680413814e-06
Position 410: 2.4837239069868003e-06
Position 1480: 2.653024658447531e-07
Position 154: 2.6261148106030146e-07
Position 400: 1.9081295522934346e-07
Position 1095: 1.360299221926724e-07
Position 380: 6.120935927849851e-08
Position 498: 2.7427358688809446e-08
Position 98: 3.0141412578912753e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1666: 0.5332005098057403
Position 1203: 0.35980881448007673
Position 951: 0.3334444593341467
Position 1705: 0.11011341421343172
Position 1139: 0.04206761064167394
Position 1206: 0.04074871773069085
Position 271: 0.03264715538673105
Position 914: 0.02115079754714284
Position 579: 0.018779489997258963
Position 1239: 0.013994975550926572
Position 784: 0.013110669979011015
Position 539: 0.010469473777705273
Position 1031: 0.010316380811888445
Position 1170: 0.00799403425692888
Position 1184: 0.007406063390606852
Position 460: 0.004773004843480609
Position 1890: 0.003944082717169457
Position 989: 0.0036078462261338678
Position 770: 0.0034737217613189293
Position 331: 0.0026964525625172426
Position 571: 0.002623847852492083
Position 1902: 0.0022776714502966942
Position 1345: 0.002162157308338916
Position 175: 0.0014935187372629422
Position 1834: 0.0014615520200381292
Position 542: 0.0013876922433664596
Position 890: 0.0010487653843490004
Position 573: 0.000819294901616615
Position 1515: 0.0006285776520569301
Position 286: 0.0005143109428304181
Position 1259: 0.00033134337161155853
Position 283: 0.00027066490584623406
Position 977: 0.000255177920974767
Position 612: 0.0002491781530187424
Position 380: 0.0002478155578392455
Position 1946: 0.00024055671102417612
Position 804: 0.0002278066007595278
Position 224: 0.0002159352308505542
Position 927: 0.0001911538951829827
Position 808: 0.00019092527000792346
Position 1358: 0.00017992400337984952
Position 1625: 0.00016313605945433892
Position 1275: 0.0001512302690284134
Position 478: 0.00014499108415380035
Position 505: 0.0001423536761242604
Position 1755: 0.00012685844050160935
Position 335: 0.00012649340813929602
Position 1055: 8.639953780134962e-05
Position 91: 6.994140591081643e-05
Position 1278: 6.66303932523711e-05
Position 958: 4.801789975717749e-05
Position 823: 3.6180818524846016e-05
Position 368: 3.520102523636389e-05
Position 641: 2.9421402835652936e-05
Position 111: 2.2020841565527968e-05
Position 962: 1.734031145641409e-05
Position 594: 1.701032162564261e-05
Position 965: 1.4782492352867742e-05
Position 226: 1.1984039684301054e-05
Position 1841: 1.0889419358429345e-05
Position 105: 8.322109799510547e-06
Position 1067: 7.916529707305593e-06
Position 1039: 7.86421845129504e-06
Position 626: 7.829277318759735e-06
Position 342: 4.229911560140812e-06
Position 181: 1.6060408030327987e-06
Position 653: 1.2990196732336096e-06
Position 480: 8.88172789263169e-07
Position 358: 8.797835831546285e-07
Position 495: 6.654369740078356e-07
Position 199: 4.4714050379013604e-07
Position 194: 2.839478463095395e-07
Position 289: 5.5404207290238414e-08
Position 292: 1.0305633904018452e-08
Position 296: 6.378431294718454e-09
Position 305: 4.025213446539429e-09
Position 308: 2.571294072681859e-09
Position 300: 3.108124111246396e-10
Position 298: 1.392867699689099e-10
