Gene = NOBOX
index = 947
Annotated 5SS: [   85  5672  8359  9182 10022 10471 10831 11278 11946]
Annotated 3SS: [ 5546  8276  8629  9914 10363 10744 11048 11640 12685]
SMsplice 5SS: [   85  8605  9182 10022 10471 10831 11278]
SMsplice 3SS: [ 8513  9083  9914 10363 10744 11048 11640]
top_k =  1000
Partition function (log Z): 5.436530459378359

Sorted 5' Splice Sites (High to Low Probability):
Position 10471: 0.9675817712137397
Position 10831: 0.9050773815461404
Position 11278: 0.8575494751541107
Position 85: 0.8449533995198397
Position 8605: 0.71276854134877
Position 11946: 0.6797463997600145
Position 9182: 0.6671738799372615
Position 10022: 0.5986548665775309
Position 9995: 0.3621385734113649
Position 8359: 0.2837922831526026
Position 11295: 0.1171553730198609
Position 12734: 0.09923434523049825
Position 11898: 0.09520787602919913
Position 118: 0.08842003446787197
Position 6571: 0.07780558976263258
Position 12265: 0.06474961278427416
Position 254: 0.04357608241298073
Position 11990: 0.022218736272169047
Position 5672: 0.0180838617902021
Position 5408: 0.018034625447025835
Position 5092: 0.01673957378859772
Position 11562: 0.016057162764149594
Position 10118: 0.015203941939911494
Position 9235: 0.012699546091247087
Position 12686: 0.009634225986661974
Position 7698: 0.008914521409364572
Position 9840: 0.008511666993601228
Position 10095: 0.008236548343075932
Position 8483: 0.008109237180639575
Position 9566: 0.007794312776906642
Position 177: 0.007565251969842086
Position 10001: 0.0070305041135454854
Position 874: 0.0069890889062119745
Position 40: 0.006763975462634123
Position 11259: 0.005530613239917517
Position 12410: 0.005507798940192748
Position 10903: 0.00516875894046611
Position 10503: 0.005097658133547851
Position 8911: 0.0050156824169448255
Position 9281: 0.004971849819694829
Position 3531: 0.00459275642935913
Position 12124: 0.0037734089275654635
Position 12435: 0.003757659874633324
Position 5129: 0.003738272870569736
Position 12176: 0.003234741001932911
Position 3173: 0.002970947318466999
Position 12570: 0.0027730870497342727
Position 8720: 0.0025869900641772242
Position 507: 0.0022840317882689798
Position 4555: 0.002113524628115368
Position 5452: 0.0019953010151797825
Position 11969: 0.0017741656761061644
Position 4242: 0.0017124080729296926
Position 3888: 0.0016725373064448148
Position 3576: 0.001661182050640423
Position 10507: 0.0016171885483927874
Position 10109: 0.0010426485994097057
Position 11773: 0.0009873682140897563
Position 11471: 0.0008548731122791978
Position 12588: 0.0008430458755632366
