Gene = GLE1
index = 595
Annotated 5SS: [  205  4398 10940 18117 18641 19147 20724 22592 22826 28956 29252 31785
 33391 34999 35639]
Annotated 3SS: [ 4175 10828 17967 18579 18891 20491 22478 22755 28812 29060 31654 33285
 34915 35574 36401]
SMsplice 5SS: [  205  4398 10940 18117 18641 19147 20630 22592 22826 29252 31785 33391
 34999]
SMsplice 3SS: [ 4259 10828 17967 18579 18891 20491 22478 22755 29060 31654 33285 34915
 35574]
top_k =  1000
Partition function (log Z): 5.8647663368117495

Sorted 5' Splice Sites (High to Low Probability):
Position 10940: 0.9792689889718372
Position 205: 0.9791044641891751
Position 19147: 0.9616879721055485
Position 4398: 0.9233304194378756
Position 20630: 0.9131516330686154
Position 22592: 0.8780631820893442
Position 22826: 0.8583052435749517
Position 34999: 0.8439249991655212
Position 29252: 0.7852148119752713
Position 31785: 0.7069837490822813
Position 18641: 0.5739098723380847
Position 33391: 0.546557256940421
Position 35639: 0.49890181751925694
Position 18117: 0.4593015692439655
Position 950: 0.3330391690787718
Position 28978: 0.30004252913953294
Position 1247: 0.18093232813778715
Position 27992: 0.17121282864270185
Position 1274: 0.1584096805549932
Position 14719: 0.10985311657022635
Position 22603: 0.09696897021503037
Position 8728: 0.09326838714915174
Position 31789: 0.08876770961228522
Position 2641: 0.0869737910240159
Position 19992: 0.08375722444765754
Position 28956: 0.06221158965619819
Position 2435: 0.060888578598483574
Position 20321: 0.05875073112438671
Position 35458: 0.05789344873625578
Position 5244: 0.04537443591228647
Position 24548: 0.04488650301705762
Position 1255: 0.03617176487350136
Position 28012: 0.03467697142493549
Position 2751: 0.022620339825216454
Position 17188: 0.021524396609883922
Position 20757: 0.02086702681586738
Position 2743: 0.02024381290482495
Position 2651: 0.02017291533204998
Position 20724: 0.019231718054912243
Position 32333: 0.01916489962767338
Position 4143: 0.018644522085868732
Position 33772: 0.018361131244018974
Position 13334: 0.017280115283414492
Position 997: 0.016829613499867876
Position 28879: 0.016197880160840783
Position 28511: 0.015881138656104753
Position 504: 0.01557832460844496
Position 14602: 0.01478484951600734
Position 16388: 0.014728409676410878
Position 227: 0.012408340898183861
Position 18706: 0.012293454541671758
Position 33434: 0.01080616431376759
Position 7900: 0.010663965257096501
Position 19069: 0.010538553150613672
Position 18754: 0.008963168320534157
Position 520: 0.007237758489907045
Position 28018: 0.007107999212218473
Position 8914: 0.007051677140091597
Position 23883: 0.006731510806719346
Position 31819: 0.006706152720225162
Position 20011: 0.006382557805436083
Position 9955: 0.006139017125501813
Position 1229: 0.005816537776833419
Position 35498: 0.005734149779225814
Position 35114: 0.005641350882346477
Position 32040: 0.005551743677181462
Position 27480: 0.00539838186002891
Position 9935: 0.004442544215061197
Position 35034: 0.0043968708993365165
Position 18663: 0.0042491102135338455
Position 4403: 0.004128667651114796
Position 27879: 0.003696628851181756
Position 18685: 0.0035996564458158657
Position 5805: 0.0035719309358105506
Position 18661: 0.003537043419347483
Position 20439: 0.0032609467776226926
Position 24587: 0.0030699545321740923
Position 18321: 0.0030199645359688557
Position 22801: 0.0029651134110762725
Position 28225: 0.0025825581756611653
Position 35506: 0.002574336336944956
Position 36900: 0.0021993576263071987
Position 4192: 0.002131769805557615
Position 14761: 0.0020181472481763498
Position 21895: 0.0019721822966894224
Position 19658: 0.001958960197021249
Position 21598: 0.0019538186132033236
Position 415: 0.0016355099894620974
Position 10482: 0.0013972816106426608
Position 22830: 0.0012989987723570785
Position 22548: 0.0011792457477451557
Position 899: 0.001170878294263499
Position 22899: 0.0011117557613362279
Position 33732: 0.0009777371160180311
Position 10909: 0.0009763598384934924
Position 17305: 0.0009540530856242284
Position 164: 0.0008909197121213642
Position 13648: 0.000867251213943823
Position 24402: 0.0008368266220627964
Position 22493: 0.0007312334843784596
Position 29611: 0.0007168051284234635
Position 11763: 0.000692055526595315
Position 21465: 0.0006752746634955442
Position 20898: 0.0005736066140300812
Position 10919: 0.000545462227743764
Position 5078: 0.0005402144324618222
Position 633: 0.0005312093413185146
Position 34864: 0.0004870310248205558
Position 29528: 0.00044266775467827473
Position 1020: 0.00043641903159836857
Position 37172: 0.0004210069900070182
Position 1630: 0.0004196015527343261
Position 35094: 0.00038124002374234975
Position 1040: 0.00037613765271988717
Position 21752: 0.0003693134083157472
Position 22546: 0.00036057808124158737
Position 29660: 0.0003364016821078814
Position 31972: 0.00031487880333618695
Position 21209: 0.00030170779784789443
Position 36555: 0.00024554736375044013
Position 21167: 0.0002390950569654241
Position 17356: 0.00020872320162978195
Position 22613: 0.00019584909763470552
Position 33395: 0.0001944721559654513
Position 17049: 0.00018924506263333233
Position 22487: 0.0001823913381583996
Position 65: 0.0001622935320215202
Position 703: 0.00015171301581688726
Position 22587: 0.00013692645762833992
Position 22949: 0.00012234275851603202
Position 24222: 0.00011890463166019466
Position 509: 0.00010898975175633016
Position 34949: 0.00010259626127752737
Position 4104: 0.00010047834986643303
Position 2296: 7.20655461873096e-05
Position 854: 5.748051906821964e-05
Position 797: 5.446909985484181e-05
Position 2394: 5.23456250820343e-05
Position 335: 4.1547510057031835e-05
Position 212: 3.635641431514285e-05
Position 22670: 3.137554185751037e-05
Position 1932: 3.0045774252292445e-05
Position 1074: 2.8964866872799586e-05
Position 1824: 2.7418860187335627e-05
Position 531: 2.118886255548876e-05
